,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,OneQuietNight-ML,UCF-AEM,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-OneQuietNight-ML,error-UCF-AEM,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-OneQuietNight-ML,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Alabama,175688,99995.0,,106900.6,,93997.0,160237.8,120704.3,185217.0,,68347.3,42997.9,59414.0,-75693.0,,-68787.4,,-81691.0,-15450.2,-54983.7,9529.0,,-107340.7,-132690.1,-116274.0,,True,,False,True,True,True,,False,False,False
Alaska,20209,29540.0,,26538.4,,,46718.8,18828.2,41833.0,,36099.1,11963.0,17873.0,9331.0,,6329.4,,,26509.8,-1380.8,21624.0,,15890.1,-8246.0,-2336.0,,True,,,False,True,False,,False,True,True
Arizona,344127,192080.0,,187938.1,,174489.0,301088.8,510743.7,249971.0,,167803.0,85824.3,112902.0,-152047.0,,-156188.9,,-169638.0,-43038.2,166616.7,-94156.0,,-176324.0,-258302.7,-231225.0,,False,,False,True,False,True,,False,False,False
Arkansas,115152,78435.0,,74809.1,,102298.0,147286.2,73207.1,127615.0,,86118.9,23971.3,42153.0,-36717.0,,-40342.9,,-12854.0,32134.2,-41944.9,12463.0,,-29033.1,-91180.7,-72999.0,,False,,True,True,False,True,,True,False,False
California,1770886,666323.0,,724305.9,,640003.0,1133565.4,1855555.1,944689.0,,963852.5,544841.4,350553.0,-1104563.0,,-1046580.1,,-1130883.0,-637320.6,84669.1,-826197.0,,-807033.5,-1226044.6,-1420333.0,,True,,False,True,True,True,,True,False,False
Colorado,148200,214228.0,,190784.3,,199066.0,429866.9,208325.3,246788.0,,234217.9,65011.1,102952.0,66028.0,,42584.3,,50866.0,281666.9,60125.3,98588.0,,86017.9,-83188.9,-45248.0,,True,,True,False,True,False,,False,False,True
Connecticut,110841,77784.0,,77136.7,,75052.0,147376.4,79871.3,103776.0,,93338.8,14630.0,25294.0,-33057.0,,-33704.3,,-35789.0,36535.4,-30969.7,-7065.0,,-17502.2,-96211.0,-85547.0,,False,,False,False,True,True,,True,False,False
Delaware,34702,23443.0,,20970.4,,22944.0,35020.9,34283.4,35459.0,,28442.7,15800.4,16411.0,-11259.0,,-13731.6,,-11758.0,318.9,-418.6,757.0,,-6259.3,-18901.6,-18291.0,,False,,False,True,True,True,,True,False,False
District of Columbia,12229,7539.0,,7121.5,,9070.0,13575.1,9296.2,5792.0,,4362.9,12451.6,3775.0,-4690.0,,-5107.5,,-3159.0,1346.1,-2932.8,-6437.0,,-7866.1,222.6,-8454.0,,False,,True,True,True,False,,False,True,False
Florida,574889,374290.0,,322433.4,,334010.0,586733.4,517683.3,568981.0,,452814.7,238135.8,156706.0,-200599.0,,-252455.6,,-240879.0,11844.4,-57205.7,-5908.0,,-122074.3,-336753.2,-418183.0,,False,,False,True,True,True,,True,False,False
Georgia,342099,145320.0,,153123.0,,164982.0,235984.6,85980.9,247696.0,,123817.1,90115.4,84249.0,-196779.0,,-188976.0,,-177117.0,-106114.4,-256118.1,-94403.0,,-218281.9,-251983.6,-257850.0,,True,,True,True,False,True,,False,False,False
Hawaii,6392,5047.0,,5427.7,,,5178.2,3222.1,7092.0,,2965.0,4840.7,4209.0,-1345.0,,-964.3,,,-1213.8,-3169.9,700.0,,-3427.0,-1551.3,-2183.0,,True,,,True,False,True,,False,False,False
Idaho,55616,61782.0,,57487.8,,64342.0,108021.0,47103.8,82140.0,,40724.2,16301.0,29347.0,6166.0,,1871.8,,8726.0,52405.0,-8512.2,26524.0,,-14891.8,-39315.0,-26269.0,,True,,False,False,False,False,,False,False,False
Illinois,351731,466550.0,,363129.5,,473494.0,793789.6,255933.2,535818.0,,805052.7,124922.7,202365.0,114819.0,,11398.5,,121763.0,442058.6,-95797.8,184087.0,,453321.7,-226808.3,-149366.0,,True,,False,False,True,False,,False,False,False
Indiana,258041,278775.0,,242346.5,,273121.0,530100.7,265843.3,336570.0,,322789.2,64834.9,135674.0,20734.0,,-15694.5,,15080.0,272059.7,7802.3,78529.0,,64748.2,-193206.1,-122367.0,,True,,True,False,True,False,,False,False,False
Iowa,77569,125832.0,,104652.7,,135021.0,238035.9,50887.1,183134.0,,128178.1,19277.4,48090.0,48263.0,,27083.7,,57452.0,160466.9,-26681.9,105565.0,,50609.1,-58291.6,-29479.0,,True,,False,False,True,False,,False,False,True
Kansas,103126,129038.0,,114435.4,,116153.0,257811.5,126661.9,192871.0,,123355.4,20537.9,47570.0,25912.0,,11309.4,,13027.0,154685.5,23535.9,89745.0,,20229.4,-82588.1,-55556.0,,True,,True,False,True,False,,True,False,False
Kentucky,150142,127918.0,,146151.8,,131825.0,238043.8,214178.8,179618.0,,99130.0,49485.6,76684.0,-22224.0,,-3990.2,,-18317.0,87901.8,64036.8,29476.0,,-51012.0,-100656.4,-73458.0,,True,,True,False,False,False,,False,False,False
Louisiana,134251,97251.0,,103351.5,,112446.0,166408.0,271143.3,195243.0,,57763.3,18552.2,46986.0,-37000.0,,-30899.5,,-21805.0,32157.0,136892.3,60992.0,,-76487.7,-115698.8,-87265.0,,True,,True,True,False,False,,False,False,False
Maine,21931,8155.0,,9902.5,,13190.0,16217.9,14973.2,32265.0,,22266.5,2349.2,3637.0,-13776.0,,-12028.5,,-8741.0,-5713.1,-6957.8,10334.0,,335.5,-19581.8,-18294.0,,True,,True,True,True,True,,True,False,False
Maryland,129583,101339.0,,89890.6,,101964.0,199900.5,195332.9,118518.0,,126834.7,47288.3,69078.0,-28244.0,,-39692.4,,-27619.0,70317.5,65749.9,-11065.0,,-2748.3,-82294.7,-60505.0,,False,,True,False,False,True,,True,False,False
Massachusetts,243257,128198.0,,126955.7,,126697.0,235176.1,126131.6,201472.0,,166040.2,69690.9,75247.0,-115059.0,,-116301.3,,-116560.0,-8080.9,-117125.4,-41785.0,,-77216.8,-173566.1,-168010.0,,False,,False,True,False,True,,True,False,False
Michigan,203633,343917.0,,319254.2,,361074.0,666389.5,267718.1,429064.0,,221915.1,90105.1,178015.0,140284.0,,115621.2,,157441.0,462756.5,64085.1,225431.0,,18282.1,-113527.9,-25618.0,,True,,False,False,True,False,,True,True,True
Minnesota,141024,287497.0,,208818.5,,294783.0,650817.5,256010.4,380394.0,,331581.8,155316.3,128557.0,146473.0,,67794.5,,153759.0,509793.5,114986.4,239370.0,,190557.8,14292.3,-12467.0,,True,,False,False,True,False,,False,True,True
Mississippi,100929,52773.0,,47651.2,,56799.0,87141.7,71955.9,105814.0,,60557.3,37217.8,24424.0,-48156.0,,-53277.8,,-44130.0,-13787.3,-28973.1,4885.0,,-40371.7,-63711.2,-76505.0,,False,,True,True,True,True,,True,False,False
Missouri,150122,183918.0,,179458.5,,182180.0,342481.6,106291.5,276414.0,,276953.3,49307.0,80828.0,33796.0,,29336.5,,32058.0,192359.6,-43830.5,126292.0,,126831.3,-100815.0,-69294.0,,True,,True,False,False,False,,False,False,False
Montana,28211,44121.0,,42012.8,,46083.0,88664.0,65026.7,55542.0,,20381.7,10133.6,18089.0,15910.0,,13801.8,,17872.0,60453.0,36815.7,27331.0,,-7829.3,-18077.4,-10122.0,,True,,False,False,False,False,,True,False,True
Nebraska,55587,86058.0,,70503.9,,93286.0,141867.8,37868.7,122997.0,,76389.1,19891.6,33937.0,30471.0,,14916.9,,37699.0,86280.8,-17718.3,67410.0,,20802.1,-35695.4,-21650.0,,True,,False,False,True,False,,True,False,True
Nevada,110861,122472.0,,101478.8,,111497.0,180736.2,174011.3,137901.0,,58124.9,41424.1,76593.0,11611.0,,-9382.2,,636.0,69875.2,63150.3,27040.0,,-52736.1,-69436.9,-34268.0,,True,,True,False,False,False,,False,False,False
New Hampshire,35920,18970.0,,25248.1,,26805.0,39818.4,54482.9,40423.0,,32206.1,20834.1,11510.0,-16950.0,,-10671.9,,-9115.0,3898.4,18562.9,4503.0,,-3713.9,-15085.9,-24410.0,,True,,True,True,False,True,,True,True,False
New Jersey,263234,192598.0,,197819.4,,174934.0,327562.4,253872.0,246843.0,,309864.2,78275.9,112961.0,-70636.0,,-65414.6,,-88300.0,64328.4,-9362.0,-16391.0,,46630.2,-184958.1,-150273.0,,True,,False,True,True,True,,True,False,False
New Mexico,68911,101794.0,,98336.6,,94344.0,190036.7,395837.5,109465.0,,128324.4,21248.6,51086.0,32883.0,,29425.6,,25433.0,121125.7,326926.5,40554.0,,59413.4,-47662.4,-17825.0,,True,,True,False,False,False,,False,False,True
New York,585704,305305.0,,363835.1,,286362.0,460222.6,726414.7,530631.0,,284668.6,268389.0,223093.0,-280399.0,,-221868.9,,-299342.0,-125481.4,140710.7,-55073.0,,-301035.4,-317315.0,-362611.0,,True,,False,True,True,True,,False,False,False
North Carolina,309868,179879.0,,160400.1,,186496.0,279611.6,238789.9,287064.0,,131412.7,134221.0,124444.0,-129989.0,,-149467.9,,-123372.0,-30256.4,-71078.1,-22804.0,,-178455.3,-175647.0,-185424.0,,False,,True,True,True,True,,False,False,False
North Dakota,17779,44765.0,,39252.6,,50411.0,80341.8,19329.6,60271.0,,12444.4,7323.9,27354.0,26986.0,,21473.6,,32632.0,62562.8,1550.6,42492.0,,-5334.6,-10455.1,9575.0,,True,,False,False,True,False,,True,True,True
