,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FAIR-NRAR,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UCLA-SuEIR,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FAIR-NRAR,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FAIR-NRAR,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-UpstateSU-GRU
12133,103,141.0,,149.5,,142.0,149.0,,,,,120.4,,162.2,,,144.0,134.6,118.2,,,90.0,123.9,,,169.0,143.0,107.7,,,,,,121.5,136.4,,,,194.7,167.2,38.0,,46.5,,39.0,46.0,,,,,17.4,,59.2,,,41.0,31.6,15.2,,,-13.0,20.9,,,66.0,40.0,4.7,,,,,,18.5,33.4,,,,91.7,64.2,,False,,False,False,,,,,True,,False,,,False,True,True,,,True,True,,,False,False,True,,,,,,True,True,,,,False,False
13001,77,96.0,,100.4,,111.0,105.0,,,,,104.2,,136.3,,,159.0,141.4,67.1,,,85.0,110.7,,,140.0,121.0,117.3,,,,,,,122.1,,,,113.6,81.3,19.0,,23.4,,34.0,28.0,,,,,27.2,,59.3,,,82.0,64.4,-9.9,,,8.0,33.7,,,63.0,44.0,40.3,,,,,,,45.1,,,,36.6,4.3,,False,,False,False,,,,,False,,False,,,False,False,True,,,True,False,,,False,False,False,,,,,,,False,,,,False,True
13003,40,61.0,,60.8,,57.0,65.0,,,,,47.9,,68.4,,,57.0,44.1,26.7,,,47.0,55.5,,,74.0,64.0,41.9,,,,,,,96.9,,,,84.7,27.1,21.0,,20.8,,17.0,25.0,,,,,7.9,,28.4,,,17.0,4.1,-13.3,,,7.0,15.5,,,34.0,24.0,1.9,,,,,,,56.9,,,,44.7,-12.9,,True,,True,False,,,,,True,,False,,,True,True,True,,,True,True,,,False,False,True,,,,,,,False,,,,False,True
13005,50,125.0,,120.8,,100.0,122.0,,,,,74.1,,164.1,,,102.0,36.4,41.1,,,69.0,99.9,,,121.0,106.0,58.5,,,,,,,133.9,,,,77.9,68.9,75.0,,70.8,,50.0,72.0,,,,,24.1,,114.1,,,52.0,-13.6,-8.9,,,19.0,49.9,,,71.0,56.0,8.5,,,,,,,83.9,,,,27.9,18.9,,True,,True,True,,,,,True,,False,,,True,True,True,,,True,True,,,True,True,True,,,,,,,False,,,,True,True
13007,8,14.0,,12.4,,12.0,7.0,,,,,10.4,,13.1,,,26.0,13.5,5.9,,,5.0,11.4,,,18.0,17.0,8.0,,,,,,,32.4,,,,19.9,6.2,6.0,,4.4,,4.0,-1.0,,,,,2.4,,5.1,,,18.0,5.5,-2.1,,,-3.0,3.4,,,10.0,9.0,0.0,,,,,,,24.4,,,,11.9,-1.8,,True,,True,True,,,,,True,,True,,,False,True,True,,,True,True,,,False,False,True,,,,,,,False,,,,False,True
13009,199,199.0,,202.6,,211.0,203.0,,,,,202.9,,237.7,,,264.0,280.4,108.9,199.5,,237.0,221.1,,,260.0,241.0,192.3,,,,,,170.7,220.0,,,,433.8,198.6,0.0,,3.6,,12.0,4.0,,,,,3.9,,38.7,,,65.0,81.4,-90.1,0.5,,38.0,22.1,,,61.0,42.0,-6.7,,,,,,-28.3,21.0,,,,234.8,-0.4,,False,,False,False,,,,,False,,False,,,False,False,False,False,,False,False,,,False,False,False,,,,,,False,False,,,,False,False
13011,88,101.0,,98.4,,101.0,105.0,,,,,89.5,,118.2,,,161.0,91.3,58.4,,,81.0,101.4,,,110.0,115.0,124.7,,,,,,,111.2,,,,198.4,70.8,13.0,,10.4,,13.0,17.0,,,,,1.5,,30.2,,,73.0,3.3,-29.6,,,-7.0,13.4,,,22.0,27.0,36.7,,,,,,,23.2,,,,110.4,-17.2,,True,,False,False,,,,,True,,False,,,False,True,False,,,True,False,,,False,False,False,,,,,,,False,,,,False,False
13013,707,629.0,,629.3,,621.0,689.0,,,,,408.9,,751.1,,,569.0,637.8,285.5,608.0,,580.0,628.8,,,709.0,641.0,438.2,,,,,,587.9,611.5,,,,912.4,435.2,-78.0,,-77.7,,-86.0,-18.0,,,,,-298.1,,44.1,,,-138.0,-69.2,-421.5,-99.0,,-127.0,-78.2,,,2.0,-66.0,-268.8,,,,,,-119.1,-95.5,,,,205.4,-271.8,,True,,False,True,,,,,False,,True,,,False,True,False,False,,False,False,,,True,True,False,,,,,,False,False,,,,False,False
13015,764,959.0,,969.9,,902.0,1061.0,,,,,582.7,,1179.3,,1057.3,892.0,825.7,403.0,862.5,,960.0,973.7,,,1013.0,917.0,601.3,,,,,,901.0,878.8,,,,1041.1,679.2,195.0,,205.9,,138.0,297.0,,,,,-181.3,,415.3,,293.3,128.0,61.7,-361.0,98.5,,196.0,209.7,,,249.0,153.0,-162.7,,,,,,137.0,114.8,,,,277.1,-84.8,,False,,True,False,,,,,True,,False,,False,True,True,False,True,,False,False,,,False,True,True,,,,,,True,True,,,,False,True
13017,125,178.0,,178.6,,152.0,178.0,,,,,115.4,,227.0,,,112.0,140.4,59.9,,,122.0,155.3,,,166.0,164.0,104.8,,,,,,,213.0,,,,149.3,,53.0,,53.6,,27.0,53.0,,,,,-9.6,,102.0,,,-13.0,15.4,-65.1,,,-3.0,30.3,,,41.0,39.0,-20.2,,,,,,,88.0,,,,24.3,,,False,,True,False,,,,,True,,False,,,True,True,False,,,True,True,,,True,True,True,,,,,,,False,,,,True,
13019,96,120.0,,114.6,,120.0,117.0,,,,,91.6,,152.7,,,184.0,157.0,69.4,,,138.0,118.6,,,156.0,132.0,120.8,,,,,,,134.4,,,,143.7,77.1,24.0,,18.6,,24.0,21.0,,,,,-4.4,,56.7,,,88.0,61.0,-26.6,,,42.0,22.6,,,60.0,36.0,24.8,,,,,,,38.4,,,,47.7,-18.9,,True,,False,True,,,,,True,,False,,,False,False,False,,,False,True,,,False,False,False,,,,,,,False,,,,False,True
13021,835,826.0,,822.5,,903.0,833.0,,,,,686.9,,953.5,,,927.0,1126.1,501.9,819.5,,1062.0,926.2,,,1060.0,926.0,721.0,,,,,,751.2,846.8,921.0,,,1565.8,733.4,-9.0,,-12.5,,68.0,-2.0,,,,,-148.1,,118.5,,,92.0,291.1,-333.1,-15.5,,227.0,91.2,,,225.0,91.0,-114.0,,,,,,-83.8,11.8,86.0,,,730.8,-101.6,,False,,False,True,,,,,False,,False,,,False,False,False,False,,False,False,,,False,False,False,,,,,,False,False,False,,,False,False
13023,104,88.0,,88.5,,89.0,79.0,,,,,75.6,,99.6,,,118.0,89.1,53.2,,,115.0,98.7,,,107.0,95.0,78.6,,,,,,,120.1,,,,97.8,70.4,-16.0,,-15.5,,-15.0,-25.0,,,,,-28.4,,-4.4,,,14.0,-14.9,-50.8,,,11.0,-5.3,,,3.0,-9.0,-25.4,,,,,,,16.1,,,,-6.2,-33.6,,True,,True,False,,,,,False,,True,,,True,True,False,,,True,True,,,True,True,False,,,,,,,False,,,,True,False
13025,52,79.0,,77.8,,84.0,84.0,,,,,64.1,,106.7,,,118.0,98.4,35.8,,,99.0,82.2,,,97.0,93.0,72.2,,,,,,,95.0,,,,99.5,71.3,27.0,,25.8,,32.0,32.0,,,,,12.1,,54.7,,,66.0,46.4,-16.2,,,47.0,30.2,,,45.0,41.0,20.2,,,,,,,43.0,,,,47.5,19.3,,True,,False,False,,,,,True,,False,,,False,False,True,,,False,False,,,False,False,True,,,,,,,False,,,,False,True
13027,60,37.0,,38.8,,44.0,29.0,,,,,65.0,,65.5,,,106.0,48.5,51.9,,,24.0,49.6,,,60.0,62.0,55.5,,,,,,,63.1,,,,59.0,33.6,-23.0,,-21.2,,-16.0,-31.0,,,,,5.0,,5.5,,,46.0,-11.5,-8.1,,,-36.0,-10.4,,,0.0,2.0,-4.5,,,,,,,3.1,,,,-1.0,-26.4,,True,,True,False,,,,,True,,True,,,False,True,True,,,False,True,,,True,True,True,,,,,,,True,,,,True,False
13029,191,200.0,,203.7,,186.0,223.0,,,,,137.1,,199.7,,,208.0,131.5,80.3,174.0,,147.0,178.0,,,220.0,214.0,143.0,,,,,,,262.2,,,,191.5,147.0,9.0,,12.7,,-5.0,32.0,,,,,-53.9,,8.7,,,17.0,-59.5,-110.7,-17.0,,-44.0,-13.0,,,29.0,23.0,-48.0,,,,,,,71.2,,,,0.5,-44.0,,False,,True,False,,,,,False,,True,,,False,False,False,False,,False,False,,,False,False,False,,,,,,,False,,,,True,False
13031,300,338.0,,338.5,,349.0,419.0,,,,,269.6,,422.6,,,470.0,348.9,177.3,297.0,,370.0,388.8,,,401.0,406.0,191.3,,,,,,298.6,333.8,,,,460.8,278.3,38.0,,38.5,,49.0,119.0,,,,,-30.4,,122.6,,,170.0,48.9,-122.7,-3.0,,70.0,88.8,,,101.0,106.0,-108.7,,,,,,-1.4,33.8,,,,160.8,-21.7,,False,,False,False,,,,,True,,False,,,False,False,False,True,,False,False,,,False,False,False,,,,,,True,True,,,,False,True
13033,172,131.0,,130.5,,143.0,145.0,,,,,104.9,,139.0,,,148.0,129.3,53.5,,,159.0,145.3,,,156.0,142.0,87.4,,,,,,,140.1,,,,158.9,102.4,-41.0,,-41.5,,-29.0,-27.0,,,,,-67.1,,-33.0,,,-24.0,-42.7,-118.5,,,-13.0,-26.7,,,-16.0,-30.0,-84.6,,,,,,,-31.9,,,,-13.1,-69.6,,False,,True,True,,,,,False,,True,,,True,False,False,,,True,True,,,True,True,False,,,,,,,True,,,,True,False
13035,166,176.0,,173.9,,183.0,191.0,,,,,137.4,,220.2,,,154.0,190.9,95.8,,,216.0,182.8,,,225.0,182.0,145.9,,,,,,,187.2,,,,251.6,108.3,10.0,,7.9,,17.0,25.0,,,,,-28.6,,54.2,,,-12.0,24.9,-70.2,,,50.0,16.8,,,59.0,16.0,-20.1,,,,,,,21.2,,,,85.6,-57.7,,True,,False,False,,,,,False,,False,,,False,False,False,,,False,False,,,False,False,False,,,,,,,False,,,,False,False
13037,42,66.0,,69.1,,41.0,30.0,,,,,25.2,,70.8,,,41.0,139.0,12.8,,,38.0,45.8,,,,54.0,39.6,,,,,,,87.3,,,,42.4,37.8,24.0,,27.1,,-1.0,-12.0,,,,,-16.8,,28.8,,,-1.0,97.0,-29.2,,,-4.0,3.8,,,,12.0,-2.4,,,,,,,45.3,,,,0.4,-4.2,,False,,True,True,,,,,True,,False,,,True,False,False,,,True,True,,,,True,True,,,,,,,False,,,,True,True
13039,181,199.0,,195.4,,220.0,223.0,,,,,167.7,,254.4,,,280.0,260.8,130.2,215.5,,220.0,209.5,,,259.0,258.0,172.5,,,,,,187.0,244.4,,,,491.9,146.2,18.0,,14.4,,39.0,42.0,,,,,-13.3,,73.4,,,99.0,79.8,-50.8,34.5,,39.0,28.5,,,78.0,77.0,-8.5,,,,,,6.0,63.4,,,,310.9,-34.8,,True,,False,False,,,,,True,,False,,,False,False,False,False,,False,False,,,False,False,True,,,,,,True,False,,,,False,False
13043,53,49.0,,47.5,,59.0,45.0,,,,,44.4,,54.9,,,68.0,126.7,19.9,,,91.0,64.2,,,65.0,63.0,57.4,,,,,,,78.8,,,,36.6,29.5,-4.0,,-5.5,,6.0,-8.0,,,,,-8.6,,1.9,,,15.0,73.7,-33.1,,,38.0,11.2,,,12.0,10.0,4.4,,,,,,,25.8,,,,-16.4,-23.5,,False,,False,False,,,,,False,,True,,,False,False,False,,,False,False,,,False,False,False,,,,,,,False,,,,False,False
13045,478,457.0,,457.6,,502.0,546.0,,,,,425.5,,726.7,,524.3,859.0,438.4,249.7,458.5,,492.0,555.0,,,546.0,636.0,536.4,,,,,,387.2,571.4,,,,641.6,504.0,-21.0,,-20.4,,24.0,68.0,,,,,-52.5,,248.7,,46.3,381.0,-39.6,-228.3,-19.5,,14.0,77.0,,,68.0,158.0,58.4,,,,,,-90.8,93.4,,,,163.6,26.0,,True,,False,False,,,,,False,,False,,False,False,False,False,True,,True,False,,,False,False,False,,,,,,False,False,,,,False,False
13047,346,411.0,,413.2,,371.0,559.0,,,,,253.6,,552.8,,,744.0,279.8,212.6,372.5,,312.0,416.5,,,453.0,457.0,415.7,,,,,,390.8,450.4,,,,258.0,281.8,65.0,,67.2,,25.0,213.0,,,,,-92.4,,206.8,,,398.0,-66.2,-133.4,26.5,,-34.0,70.5,,,107.0,111.0,69.7,,,,,,44.8,104.4,,,,-88.0,-64.2,,False,,True,False,,,,,False,,False,,,False,False,False,True,,True,False,,,False,False,False,,,,,,True,False,,,,False,True
13049,51,75.0,,74.4,,68.0,68.0,,,,,64.0,,75.2,,,95.0,32.6,32.8,,,55.0,62.7,,,83.0,79.0,59.7,,,,,,,88.7,,,,82.1,53.8,24.0,,23.4,,17.0,17.0,,,,,13.0,,24.2,,,44.0,-18.4,-18.2,,,4.0,11.7,,,32.0,28.0,8.7,,,,,,,37.7,,,,31.1,2.8,,True,,True,True,,,,,True,,False,,,False,True,True,,,True,True,,,False,False,True,,,,,,,False,,,,False,True
13051,1144,1065.0,,1077.9,,1072.0,1614.0,,,,,886.9,,1152.0,,,1536.0,966.8,510.2,980.5,,1050.5,1123.5,,,1197.0,1331.0,824.2,,,,,,1030.1,1186.8,1280.0,,,1497.7,770.0,-79.0,,-66.1,,-72.0,470.0,,,,,-257.1,,8.0,,,392.0,-177.2,-633.8,-163.5,,-93.5,-20.5,,,53.0,187.0,-319.8,,,,,,-113.9,42.8,136.0,,,353.7,-374.0,,True,,True,False,,,,,False,,True,,,False,False,False,False,,False,True,,,True,False,False,,,,,,False,True,False,,,False,False
13053,26,31.0,,36.3,,34.0,11.0,,,,,85.1,,44.5,,,99.0,23.8,29.8,,,15.0,26.5,,,31.0,56.0,70.8,,,,,,26.8,49.6,,,,40.5,62.6,5.0,,10.3,,8.0,-15.0,,,,,59.1,,18.5,,,73.0,-2.2,3.8,,,-11.0,0.5,,,5.0,30.0,44.8,,,,,,0.8,23.6,,,,14.5,36.6,,False,,False,False,,,,,False,,False,,,False,True,True,,,False,True,,,False,False,False,,,,,,True,False,,,,False,False
13055,160,162.0,,162.1,,167.0,172.0,,,,,130.7,,225.0,,,235.0,167.1,75.5,,,194.0,188.0,,,171.0,174.0,132.2,,,,,,,165.9,,,,159.8,103.5,2.0,,2.1,,7.0,12.0,,,,,-29.3,,65.0,,,75.0,7.1,-84.5,,,34.0,28.0,,,11.0,14.0,-27.8,,,,,,,5.9,,,,-0.2,-56.5,,False,,False,False,,,,,False,,False,,,False,False,False,,,False,False,,,False,False,False,,,,,,,False,,,,True,False
13057,1980,2162.0,,2165.1,,2165.0,2189.0,,,,,1290.1,,2760.3,,2708.0,1832.0,2289.0,876.8,2121.5,,2490.0,2438.5,,,2547.0,2120.0,1604.7,,,,,,1945.6,1833.4,2520.0,,,2388.2,1420.4,182.0,,185.1,,185.0,209.0,,,,,-689.9,,780.3,,728.0,-148.0,309.0,-1103.2,141.5,,510.0,458.5,,,567.0,140.0,-375.3,,,,,,-34.4,-146.6,540.0,,,408.2,-559.6,,False,,False,False,,,,,False,,False,,False,True,False,False,True,,False,False,,,False,True,False,,,,,,True,True,False,,,False,False
13059,725,831.0,,844.3,,844.0,1112.0,,,,,618.4,,1037.9,,1033.7,606.0,811.7,326.3,687.5,,945.0,934.3,,,964.0,898.0,570.9,,,,,,804.2,950.0,876.0,,,1186.9,628.3,106.0,,119.3,,119.0,387.0,,,,,-106.6,,312.9,,308.7,-119.0,86.7,-398.7,-37.5,,220.0,209.3,,,239.0,173.0,-154.1,,,,,,79.2,225.0,151.0,,,461.9,-96.7,,False,,False,False,,,,,False,,False,,False,False,True,False,True,,False,False,,,False,False,False,,,,,,True,False,False,,,False,True
13061,6,15.0,,14.8,,15.0,5.0,,,,,10.6,,16.8,,,16.0,21.4,5.2,,,13.0,11.9,,,18.0,17.0,9.6,,,,,,,34.4,,,,15.0,4.7,9.0,,8.8,,9.0,-1.0,,,,,4.6,,10.8,,,10.0,15.4,-0.8,,,7.0,5.9,,,12.0,11.0,3.6,,,,,,,28.4,,,,9.0,-1.3,,True,,False,True,,,,,True,,False,,,False,False,True,,,True,True,,,False,False,True,,,,,,,False,,,,True,True
13063,1349,1212.0,,1242.8,,1332.0,1404.0,,,,,957.4,,1788.0,,1348.2,1511.0,1474.1,704.6,1113.5,,1574.0,1386.5,,,1575.0,1518.0,991.2,,,,,,1135.2,1321.0,1447.0,,,992.4,799.0,-137.0,,-106.2,,-17.0,55.0,,,,,-391.6,,439.0,,-0.8,162.0,125.1,-644.4,-235.5,,225.0,37.5,,,226.0,169.0,-357.8,,,,,,-213.8,-28.0,98.0,,,-356.6,-550.0,,True,,True,True,,,,,False,,False,,True,False,True,False,False,,False,True,,,False,False,False,,,,,,False,True,True,,,False,False
13065,50,64.0,,64.5,,54.0,6.0,,,,,35.1,,88.6,,,54.0,42.8,24.0,,,97.0,57.3,,,72.0,59.0,36.1,,,,,,,97.6,,,,42.8,28.3,14.0,,14.5,,4.0,-44.0,,,,,-14.9,,38.6,,,4.0,-7.2,-26.0,,,47.0,7.3,,,22.0,9.0,-13.9,,,,,,,47.6,,,,-7.2,-21.7,,False,,True,False,,,,,False,,False,,,True,True,False,,,False,True,,,False,True,True,,,,,,,False,,,,True,False
13067,4477,4938.0,,4881.6,3511.9,4910.0,6259.0,,,,,3397.5,,6187.3,,5916.1,4496.0,5147.1,2594.3,4801.5,,6420.5,5513.6,,,6023.0,5249.0,3884.3,,,,,,4559.6,4679.5,5830.0,,,4295.7,3343.7,461.0,,404.6,-965.1,433.0,1782.0,,,,,-1079.5,,1710.3,,1439.1,19.0,670.1,-1882.7,324.5,,1943.5,1036.6,,,1546.0,772.0,-592.7,,,,,,82.6,202.5,1353.0,,,-181.3,-1133.3,,True,False,True,False,,,,,False,,False,,False,True,False,False,True,,False,False,,,False,False,False,,,,,,True,True,False,,,True,False
13069,205,324.0,,322.2,,258.0,253.0,,,,,275.8,,413.4,,,299.0,159.3,142.3,293.0,,244.0,293.3,,,284.0,336.0,248.6,,,,,,269.5,363.7,,,,257.8,209.2,119.0,,117.2,,53.0,48.0,,,,,70.8,,208.4,,,94.0,-45.7,-62.7,88.0,,39.0,88.3,,,79.0,131.0,43.6,,,,,,64.5,158.7,,,,52.8,4.2,,True,,True,True,,,,,True,,False,,,True,True,True,True,,True,True,,,True,False,True,,,,,,True,False,,,,True,True
13071,246,209.0,,212.3,,220.0,237.0,,,,,200.4,,218.0,,,315.0,298.7,92.0,203.0,,330.0,288.4,,,273.0,256.0,210.9,,,,,,187.7,200.4,,,,160.1,183.0,-37.0,,-33.7,,-26.0,-9.0,,,,,-45.6,,-28.0,,,69.0,52.7,-154.0,-43.0,,84.0,42.4,,,27.0,10.0,-35.1,,,,,,-58.3,-45.6,,,,-85.9,-63.0,,True,,True,True,,,,,False,,True,,,False,False,False,False,,False,False,,,True,True,True,,,,,,False,False,,,,False,False
13073,1205,999.0,,990.9,,1030.0,1141.0,,,,,765.2,,1212.1,,,990.0,1596.7,576.2,1037.5,,1222.0,1369.7,,,1311.0,1113.0,842.8,,,,,,877.9,1085.6,1358.0,,,909.4,838.4,-206.0,,-214.1,,-175.0,-64.0,,,,,-439.8,,7.1,,,-215.0,391.7,-628.8,-167.5,,17.0,164.7,,,106.0,-92.0,-362.2,,,,,,-327.1,-119.4,153.0,,,-295.6,-366.6,,False,,True,True,,,,,False,,True,,,False,False,False,True,,True,True,,,True,True,False,,,,,,False,True,True,,,False,False
13075,81,92.0,,89.9,,92.0,90.0,,,,,88.8,,121.5,,,146.0,165.5,62.0,,,78.0,89.1,,,130.0,110.0,100.5,,,,,,,119.9,,,,120.6,64.0,11.0,,8.9,,11.0,9.0,,,,,7.8,,40.5,,,65.0,84.5,-19.0,,,-3.0,8.1,,,49.0,29.0,19.5,,,,,,,38.9,,,,39.6,-17.0,,True,,False,True,,,,,True,,False,,,False,False,False,,,True,True,,,False,False,False,,,,,,,False,,,,False,False
13077,721,800.0,,802.4,,816.0,801.0,,,,,591.9,,1220.3,,943.0,944.0,964.5,383.2,775.0,,838.0,916.7,,,1038.0,919.0,573.6,,,,,,711.3,791.9,816.0,,,993.3,667.1,79.0,,81.4,,95.0,80.0,,,,,-129.1,,499.3,,222.0,223.0,243.5,-337.8,54.0,,117.0,195.7,,,317.0,198.0,-147.4,,,,,,-9.7,70.9,95.0,,,272.3,-53.9,,False,,False,False,,,,,False,,False,,False,False,False,False,True,,False,False,,,False,False,False,,,,,,True,True,False,,,False,True
13079,34,35.0,,35.5,,37.0,30.0,,,,,35.1,,41.2,,,79.0,47.8,31.8,,,27.0,37.2,,,57.0,54.0,47.3,,,,,,,50.5,,,,50.8,21.7,1.0,,1.5,,3.0,-4.0,,,,,1.1,,7.2,,,45.0,13.8,-2.2,,,-7.0,3.2,,,23.0,20.0,13.3,,,,,,,16.5,,,,16.8,-12.3,,False,,False,False,,,,,False,,False,,,False,False,False,,,False,False,,,False,False,False,,,,,,,False,,,,False,False
13081,94,90.0,,91.3,,94.0,94.0,,,,,98.8,,130.7,,,161.0,76.8,57.5,,,99.0,94.9,,,130.0,114.0,69.6,,,,,,,103.7,,,,186.3,59.9,-4.0,,-2.7,,0.0,0.0,,,,,4.8,,36.7,,,67.0,-17.2,-36.5,,,5.0,0.9,,,36.0,20.0,-24.4,,,,,,,9.7,,,,92.3,-34.1,,True,,True,True,,,,,False,,False,,,False,False,False,,,False,True,,,False,False,False,,,,,,,False,,,,False,False
13083,67,100.0,,104.2,,100.0,105.0,,,,,58.7,,107.5,,,162.0,84.2,37.4,,,100.0,98.1,,,111.0,109.0,79.4,,,,,,,109.5,,,,126.4,67.1,33.0,,37.2,,33.0,38.0,,,,,-8.3,,40.5,,,95.0,17.2,-29.6,,,33.0,31.1,,,44.0,42.0,12.4,,,,,,,42.5,,,,59.4,0.1,,False,,False,False,,,,,True,,False,,,False,True,True,,,False,True,,,False,False,True,,,,,,,False,,,,False,True
13085,194,201.0,,201.2,,189.0,201.0,,,,,137.0,,233.7,,,150.0,172.1,98.0,,,148.0,187.3,,,233.0,200.0,177.8,,,,,,,172.1,,,,347.6,132.4,7.0,,7.2,,-5.0,7.0,,,,,-57.0,,39.7,,,-44.0,-21.9,-96.0,,,-46.0,-6.7,,,39.0,6.0,-16.2,,,,,,,-21.9,,,,153.6,-61.6,,False,,True,False,,,,,False,,False,,,False,False,False,,,False,True,,,False,True,False,,,,,,,False,,,,False,False
13087,136,136.0,,137.9,,144.0,150.0,,,,,123.6,,177.3,,,174.0,114.4,68.2,,,119.5,154.3,,,165.0,160.0,133.0,,,,,,117.2,156.8,,,,156.3,227.0,0.0,,1.9,,8.0,14.0,,,,,-12.4,,41.3,,,38.0,-21.6,-67.8,,,-16.5,18.3,,,29.0,24.0,-3.0,,,,,,-18.8,20.8,,,,20.3,91.0,,False,,False,False,,,,,False,,False,,,False,False,False,,,False,False,,,False,False,False,,,,,,False,False,,,,False,False
13089,3555,3034.0,,3045.3,2750.3,3064.0,3284.0,,,,,2557.0,,4045.9,,3696.1,3442.0,3084.9,2178.6,3051.5,,3024.0,3834.0,,,3736.0,3955.0,2554.2,,,,,,2939.2,2909.9,3082.0,,,2781.6,1979.8,-521.0,,-509.7,-804.7,-491.0,-271.0,,,,,-998.0,,490.9,,141.1,-113.0,-470.1,-1376.4,-503.5,,-531.0,279.0,,,181.0,400.0,-1000.8,,,,,,-615.8,-645.1,-473.0,,,-773.4,-1575.2,,True,False,True,True,,,,,False,,True,,True,True,True,False,True,,False,True,,,True,True,False,,,,,,False,False,True,,,False,False
13091,138,192.0,,190.0,,188.0,218.0,,,,,116.4,,181.1,,,164.0,274.5,48.1,,,231.0,187.7,,,190.0,176.0,128.4,,,,,,,198.0,,,,257.6,188.5,54.0,,52.0,,50.0,80.0,,,,,-21.6,,43.1,,,26.0,136.5,-89.9,,,93.0,49.7,,,52.0,38.0,-9.6,,,,,,,60.0,,,,119.6,50.5,,True,,True,False,,,,,True,,True,,,True,False,False,,,False,True,,,True,True,True,,,,,,,False,,,,False,True
13093,59,59.0,,58.4,,59.0,54.0,,,,,47.3,,73.9,,,79.0,36.2,32.6,,,91.0,59.3,,,74.0,68.0,41.5,,,,,,,80.5,,,,88.0,30.0,0.0,,-0.6,,0.0,-5.0,,,,,-11.7,,14.9,,,20.0,-22.8,-26.4,,,32.0,0.3,,,15.0,9.0,-17.5,,,,,,,21.5,,,,29.0,-29.0,,False,,True,False,,,,,False,,False,,,False,False,False,,,False,False,,,False,False,False,,,,,,,False,,,,False,False
