,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UChicagoCHATTOPADHYAY-UnIT,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,Wadhwani_AI-BayesOpt,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UChicagoCHATTOPADHYAY-UnIT,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-Wadhwani_AI-BayesOpt,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-Wadhwani_AI-BayesOpt
Alabama,51223,52000.0,55061.2,50717.3,51458.0,58292.0,,48884.7,66811.0,57750.1,34182.1,,49264.9,51728.0,45786.6,47927.0,31088.6,47477.5,71962.6,43570.0,52242.8,49804.7,55088.0,53530.0,,50143.3,59516.8,,55707.2,77728.1,44720.3,54928.8,51446.0,63976.3,44013.5,777.0,3838.2,-505.7,235.0,7069.0,,-2338.3,15588.0,6527.1,-17040.9,,-1958.1,505.0,-5436.4,-3296.0,-20134.4,-3745.5,20739.6,-7653.0,1019.8,-1418.3,3865.0,2307.0,,-1079.7,8293.8,,4484.2,26505.1,-6502.7,3705.8,223.0,12753.3,-7209.5,False,True,True,False,,False,False,False,False,,False,True,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,False,True,False,False
Alaska,3852,4644.0,4838.8,4390.1,3858.0,3077.0,,3538.8,2036.0,3420.5,4632.9,,2961.7,,7886.3,3414.0,2558.9,1750.0,3265.1,4603.5,3445.4,4890.2,4536.0,3849.0,,4379.6,3885.9,,3990.7,6278.0,4163.6,6379.1,3983.0,5063.9,2569.0,792.0,986.8,538.1,6.0,-775.0,,-313.2,-1816.0,-431.5,780.9,,-890.3,,4034.3,-438.0,-1293.1,-2102.0,-586.9,751.5,-406.6,1038.2,684.0,-3.0,,527.6,33.9,,138.7,2426.0,311.6,2527.1,131.0,1211.9,-1283.0,False,True,True,True,,True,False,True,True,,False,,False,True,False,False,True,True,True,False,True,True,,True,True,,True,False,True,False,True,False,False
Arizona,127751,92218.0,91064.8,90820.7,97598.0,107571.0,,89627.0,108097.0,160225.5,93514.9,,130006.6,87372.0,123655.6,79030.0,72621.2,77070.5,99308.2,112781.5,135677.6,105555.8,105842.0,87968.0,,124033.4,116579.0,,86667.2,135255.3,69778.1,100317.1,102029.0,177200.8,62510.7,-35533.0,-36686.2,-36930.3,-30153.0,-20180.0,,-38124.0,-19654.0,32474.5,-34236.1,,2255.6,-40379.0,-4095.4,-48721.0,-55129.8,-50680.5,-28442.8,-14969.5,7926.6,-22195.2,-21909.0,-39783.0,,-3717.6,-11172.0,,-41083.8,7504.3,-57972.9,-27433.9,-25722.0,49449.8,-65240.3,False,False,True,True,,False,True,True,True,,True,False,True,False,False,False,True,True,True,True,True,False,,True,True,,False,True,False,True,True,False,False
Arkansas,38736,34946.0,33933.2,34434.4,33999.0,41690.0,,31260.4,27380.0,38777.1,25263.6,,32506.5,33448.0,39679.9,35851.0,19258.5,27998.5,30410.3,32088.5,36994.6,34445.5,34998.0,34043.0,,34254.0,24056.9,,36212.3,44085.0,30370.0,33789.8,31039.0,41706.1,29116.1,-3790.0,-4802.8,-4301.6,-4737.0,2954.0,,-7475.6,-11356.0,41.1,-13472.4,,-6229.5,-5288.0,943.9,-2885.0,-19477.5,-10737.5,-8325.7,-6647.5,-1741.4,-4290.5,-3738.0,-4693.0,,-4482.0,-14679.1,,-2523.7,5349.0,-8366.0,-4946.2,-7697.0,2970.1,-9619.9,False,False,False,True,,False,False,True,False,,False,False,True,True,False,False,False,False,True,False,True,False,,False,False,,True,False,False,False,False,True,False
California,567903,535894.0,588041.3,534199.0,536240.0,585724.0,,599713.9,535428.0,718300.1,460052.5,,591445.2,494558.0,544529.9,533199.0,344344.8,410130.0,553118.3,473632.5,503899.0,481883.2,623464.0,500094.0,,511172.7,697163.3,,526016.0,916512.5,439099.1,663569.7,548064.0,1214649.6,,-32009.0,20138.3,-33704.0,-31663.0,17821.0,,31810.9,-32475.0,150397.1,-107850.5,,23542.2,-73345.0,-23373.1,-34704.0,-223558.2,-157773.0,-14784.7,-94270.5,-64004.0,-86019.8,55561.0,-67809.0,,-56730.3,129260.3,,-41887.0,348609.5,-128803.9,95666.7,-19839.0,646746.6,,True,False,True,True,,True,False,False,False,,True,False,True,False,False,False,True,False,False,False,False,False,,False,False,,False,False,False,False,True,False,
Colorado,34311,31106.0,40512.4,32126.5,26625.0,34834.0,,27405.0,14287.0,24891.2,32794.7,,24070.0,27912.0,26462.2,25685.0,16211.9,21626.5,25748.4,27094.0,27052.7,27724.4,29954.0,23760.0,,22015.4,21883.1,,32460.3,36186.4,31522.8,24661.4,29167.0,38083.2,20037.8,-3205.0,6201.4,-2184.5,-7686.0,523.0,,-6906.0,-20024.0,-9419.8,-1516.3,,-10241.0,-6399.0,-7848.8,-8626.0,-18099.1,-12684.5,-8562.6,-7217.0,-7258.3,-6586.6,-4357.0,-10551.0,,-12295.6,-12427.9,,-1850.7,1875.4,-2788.2,-9649.6,-5144.0,3772.2,-14273.2,False,True,False,True,,False,False,False,True,,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,,True,True,True,False,False,False,False
Connecticut,33302,34754.0,27817.7,34742.5,27113.0,84615.0,,27224.8,13485.0,119651.1,31757.0,,23471.1,27197.0,42053.6,32308.0,26583.7,22041.0,26929.3,13241.5,25818.6,25302.3,23848.0,31879.0,,11460.8,22393.0,,40660.3,37880.1,30833.4,29097.2,17704.0,29488.4,16051.9,1452.0,-5484.3,1440.5,-6189.0,51313.0,,-6077.2,-19817.0,86349.1,-1545.0,,-9830.9,-6105.0,8751.6,-994.0,-6718.3,-11261.0,-6372.7,-20060.5,-7483.4,-7999.7,-9454.0,-1423.0,,-21841.2,-10909.0,,7358.3,4578.1,-2468.6,-4204.8,-15598.0,-3813.6,-17250.1,False,True,False,False,,False,False,False,False,,False,False,False,True,False,False,False,False,False,False,False,True,,False,False,,False,False,False,False,False,False,False
Delaware,10499,8800.0,10616.6,8628.6,8601.0,9518.0,,8786.7,11483.0,10084.2,8522.8,,7970.3,8514.0,9722.1,8758.0,5067.3,7842.5,8333.3,7521.0,8146.6,10299.1,9985.0,7722.0,,7847.9,12781.1,,6478.1,15774.8,8378.3,8627.9,9076.0,10100.3,6076.4,-1699.0,117.6,-1870.4,-1898.0,-981.0,,-1712.3,984.0,-414.8,-1976.2,,-2528.7,-1985.0,-776.9,-1741.0,-5431.7,-2656.5,-2165.7,-2978.0,-2352.4,-199.9,-514.0,-2777.0,,-2651.1,2282.1,,-4020.9,5275.8,-2120.7,-1871.1,-1423.0,-398.7,-4422.6,True,False,False,True,,False,True,True,False,,False,False,True,False,False,False,False,False,False,True,True,False,,False,False,,False,False,False,False,True,True,False
District of Columbia,4028,3598.0,3621.3,3638.1,3106.0,4808.0,,3318.0,2245.0,2806.8,2199.4,,3184.9,3090.0,4619.7,3952.0,2691.5,2546.5,3186.3,2708.0,2888.6,,3501.0,2454.0,,2982.5,5013.8,,3182.1,4316.2,3397.7,,3113.0,3670.9,2684.8,-430.0,-406.7,-389.9,-922.0,780.0,,-710.0,-1783.0,-1221.2,-1828.6,,-843.1,-938.0,591.7,-76.0,-1336.5,-1481.5,-841.7,-1320.0,-1139.4,,-527.0,-1574.0,,-1045.5,985.8,,-845.9,288.2,-630.3,,-915.0,-357.1,-1343.2,True,True,False,False,,False,False,False,False,,False,False,False,True,False,False,False,False,False,,False,False,,False,False,,False,True,False,,False,True,False
Florida,205353,180490.0,170645.9,181661.6,181491.0,272113.0,,161560.5,161590.0,137084.3,218686.9,,196957.6,135679.0,189353.2,151554.0,145411.4,138039.0,215397.0,175917.0,180589.2,195599.9,167104.0,194808.0,,202113.2,142874.7,,179694.4,203352.5,161686.3,214608.0,180283.0,243926.8,,-24863.0,-34707.1,-23691.4,-23862.0,66760.0,,-43792.5,-43763.0,-68268.7,13333.9,,-8395.4,-69674.0,-15999.8,-53799.0,-59941.6,-67314.0,10044.0,-29436.0,-24763.8,-9753.1,-38249.0,-10545.0,,-3239.8,-62478.3,,-25658.6,-2000.5,-43666.7,9255.0,-25070.0,38573.8,,False,True,True,False,,False,False,False,True,,True,False,True,False,False,False,True,False,True,True,False,True,,True,False,,False,True,False,True,False,False,
