,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,QJHong-Encounter,UCF-AEM,UCLA-SuEIR,UMass-MechBayes,USC-SI_kJalpha,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-QJHong-Encounter,error-UCF-AEM,error-UCLA-SuEIR,error-UMass-MechBayes,error-USC-SI_kJalpha,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-QJHong-Encounter,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-USC-SI_kJalpha
01001,1896,1395.0,1159.0,,,,,1188.0,,2033.3,849.7,,2151.5,,,1152.2,,,-501.0,-737.0,,,,,-708.0,,137.3,-1046.3,,255.5,,,-743.8,,,False,,,,,False,,True,False,,True,,,False,,
01003,5511,5195.0,4529.0,,,,,3387.0,,6331.2,3124.2,,6985.0,,,4016.8,3285.0,,-316.0,-982.0,,,,,-2124.0,,820.2,-2386.8,,1474.0,,,-1494.2,-2226.0,,False,,,,,False,,False,False,,False,,,False,False,
01005,454,250.0,195.0,,,,,431.0,,379.1,134.2,,171.5,,,,,,-204.0,-259.0,,,,,-23.0,,-74.9,-319.8,,-282.5,,,,,,False,,,,,True,,True,False,,False,,,,,
01007,727,670.0,327.0,,,,,535.0,,209.1,276.1,,862.0,,,,,,-57.0,-400.0,,,,,-192.0,,-517.9,-450.9,,135.0,,,,,,False,,,,,False,,False,False,,False,,,,,
01009,1548,2315.0,1844.0,,,,,1642.0,,3399.2,981.6,,2777.0,,,1738.0,,,767.0,296.0,,,,,94.0,,1851.2,-566.4,,1229.0,,,190.0,,,True,,,,,True,,False,True,,False,,,True,,
01011,263,60.0,0.0,,,,,163.0,,63.2,65.7,,49.0,,,,,,-203.0,-263.0,,,,,-100.0,,-199.8,-197.3,,-214.0,,,,,,False,,,,,True,,True,True,,False,,,,,
01013,388,405.0,35.0,,,,,325.0,,657.9,268.9,,484.0,,,,,,17.0,-353.0,,,,,-63.0,,269.9,-119.1,,96.0,,,,,,False,,,,,False,,False,False,,False,,,,,
01015,3318,3665.0,2990.0,,,,,3151.0,,5829.7,1905.9,,4636.0,,,2527.0,,,347.0,-328.0,,,,,-167.0,,2511.7,-1412.1,,1318.0,,,-791.0,,,True,,,,,True,,False,False,,False,,,False,,
01017,821,480.0,640.0,,,,,647.0,,318.5,341.5,,469.5,,,,,,-341.0,-181.0,,,,,-174.0,,-502.5,-479.5,,-351.5,,,,,,True,,,,,True,,False,False,,False,,,,,
01019,413,485.0,416.0,,,,,650.0,,293.1,246.5,,642.0,,,,,,72.0,3.0,,,,,237.0,,-119.9,-166.5,,229.0,,,,,,True,,,,,False,,False,False,,False,,,,,
01021,826,775.0,298.0,,,,,1062.0,,1508.2,422.6,,780.0,,,539.8,,,-51.0,-528.0,,,,,236.0,,682.2,-403.4,,-46.0,,,-286.2,,,False,,,,,False,,False,False,,True,,,False,,
01023,60,75.0,35.0,,,,,323.0,,70.8,46.3,,74.0,,,,,,15.0,-25.0,,,,,263.0,,10.8,-13.7,,14.0,,,,,,False,,,,,False,,True,True,,True,,,,,
01025,763,1865.0,621.0,,,,,568.0,,1131.6,485.9,,594.5,,,,,,1102.0,-142.0,,,,,-195.0,,368.6,-277.1,,-168.5,,,,,,True,,,,,True,,True,True,,True,,,,,
01027,265,210.0,205.0,,,,,298.0,,153.4,99.1,,209.0,,,,,,-55.0,-60.0,,,,,33.0,,-111.6,-165.9,,-56.0,,,,,,False,,,,,True,,False,False,,False,,,,,
01029,295,295.0,39.0,,,,,360.0,,102.8,104.8,,220.0,,,,,,0.0,-256.0,,,,,65.0,,-192.2,-190.2,,-75.0,,,,,,False,,,,,False,,False,False,,False,,,,,
01031,1495,1245.0,1285.0,,,,,868.0,,1131.7,653.3,,1195.0,,,938.6,,,-250.0,-210.0,,,,,-627.0,,-363.3,-841.7,,-300.0,,,-556.4,,,True,,,,,False,,False,False,,False,,,False,,
01033,1492,1450.0,1112.0,,,,,1678.0,,1176.6,975.6,,1742.0,,,1245.1,,,-42.0,-380.0,,,,,186.0,,-315.4,-516.4,,250.0,,,-246.9,,,False,,,,,False,,False,False,,False,,,False,,
01035,168,205.0,322.0,,,,,225.0,,382.7,85.1,,299.0,,,,,,37.0,154.0,,,,,57.0,,214.7,-82.9,,131.0,,,,,,False,,,,,False,,False,False,,False,,,,,
01037,175,185.0,209.0,,,,,174.0,,144.9,60.8,,185.0,,,,,,10.0,34.0,,,,,-1.0,,-30.1,-114.2,,10.0,,,,,,False,,,,,True,,False,False,,False,,,,,
01039,755,795.0,293.0,,,,,715.0,,962.6,397.5,,544.0,,,375.3,,,40.0,-462.0,,,,,-40.0,,207.6,-357.5,,-211.0,,,-379.7,,,False,,,,,False,,False,False,,False,,,False,,
01041,415,150.0,76.0,,,,,214.0,,142.6,85.2,,146.0,,,,,,-265.0,-339.0,,,,,-201.0,,-272.4,-329.8,,-269.0,,,,,,False,,,,,True,,False,False,,False,,,,,
01043,2366,3240.0,2643.0,,,,,2911.0,,4113.5,1478.4,,2895.0,,,2466.4,,,874.0,277.0,,,,,545.0,,1747.5,-887.6,,529.0,,,100.4,,,True,,,,,True,,False,False,,True,,,True,,
01045,1195,1190.0,1025.0,,,,,892.0,,2203.3,524.6,,1130.0,,,815.8,,,-5.0,-170.0,,,,,-303.0,,1008.3,-670.4,,-65.0,,,-379.2,,,False,,,,,False,,False,False,,False,,,False,,
01047,548,545.0,295.0,,,,,772.0,,316.0,357.8,,364.5,,,470.9,,,-3.0,-253.0,,,,,224.0,,-232.0,-190.2,,-183.5,,,-77.1,,,False,,,,,False,,False,False,,False,,,False,,
01049,1886,2515.0,2467.0,,,,,2593.0,,1886.4,1260.9,,2460.5,,,1055.9,,,629.0,581.0,,,,,707.0,,0.4,-625.1,,574.5,,,-830.1,,,True,,,,,False,,True,True,,True,,,False,,
01051,2874,2315.0,2432.0,,,,,1443.0,,3730.5,1377.0,,2378.0,,,1805.3,,,-559.0,-442.0,,,,,-1431.0,,856.5,-1497.0,,-496.0,,,-1068.7,,,True,,,,,False,,False,False,,True,,,False,,
01053,903,810.0,74.0,,,,,783.0,,1995.3,350.0,,729.0,,,452.6,,,-93.0,-829.0,,,,,-120.0,,1092.3,-553.0,,-174.0,,,-450.4,,,False,,,,,False,,False,False,,False,,,False,,
01055,3768,3755.0,3581.0,,,,,3279.0,,4534.8,2124.6,,3551.5,,,3172.7,,,-13.0,-187.0,,,,,-489.0,,766.8,-1643.4,,-216.5,,,-595.3,,,False,,,,,False,,False,False,,False,,,False,,
01057,511,575.0,314.0,,,,,459.0,,452.4,239.6,,520.0,,,,,,64.0,-197.0,,,,,-52.0,,-58.6,-271.4,,9.0,,,,,,False,,,,,True,,True,False,,True,,,,,
01059,804,815.0,193.0,,,,,1097.0,,1015.9,515.7,,952.0,,,586.2,,,11.0,-611.0,,,,,293.0,,211.9,-288.3,,148.0,,,-217.8,,,False,,,,,False,,False,False,,False,,,False,,
01061,597,465.0,360.0,,,,,524.0,,390.4,246.9,,430.0,,,,,,-132.0,-237.0,,,,,-73.0,,-206.6,-350.1,,-167.0,,,,,,False,,,,,True,,False,False,,False,,,,,
01063,213,390.0,0.0,,,,,170.0,,581.0,86.1,,461.0,,,,,,177.0,-213.0,,,,,-43.0,,368.0,-126.9,,248.0,,,,,,False,,,,,True,,False,True,,False,,,,,
01065,637,490.0,56.0,,,,,359.0,,470.3,186.6,,487.0,,,,,,-147.0,-581.0,,,,,-278.0,,-166.7,-450.4,,-150.0,,,,,,False,,,,,False,,False,False,,False,,,,,
01067,543,315.0,24.0,,,,,280.0,,555.4,149.2,,401.0,,,,,,-228.0,-519.0,,,,,-263.0,,12.4,-393.8,,-142.0,,,,,,False,,,,,False,,True,False,,True,,,,,
