,predicted_cases,actual_cases,error,perc_error
JHUAPL-Bucky,9238330.8,9102703,135627.8,1.5%
UCF-AEM,8950547.0,9102703,-152156.0,-1.7%
UCLA-SuEIR,8819308.7,9102703,-283394.3,-3.1%
CU-select,8816982.0,9102703,-285721.0,-3.1%
IBF-TimeSeries,8551233.0,9102703,-551470.0,-6.1%
LANL-GrowthRate,8343631.5,9102703,-759071.5,-8.3%
Covid19Sim-Simulator,10116505.4,9102703,1013802.4,11.1%
COVIDhub-baseline,8019816.0,9102703,-1082887.0,-11.9%
IowaStateLW-STEM,7775480.0,9102703,-1327223.0,-14.6%
CovidAnalytics-DELPHI,10939082.0,9102703,1836379.0,20.2%
JHU_IDD-CovidSP,6726784.2,9102703,-2375918.8,-26.1%
JCB-PRM,11690143.4,9102703,2587440.4,28.4%
Columbia_UNC-SurvCon,12154710.0,9102703,3052007.0,33.5%
USC-SI_kJalpha,5935360.0,9102703,-3167343.0,-34.8%
Wadhwani_AI-BayesOpt,,9102703,,
