,predicted_cases,actual_cases,error,perc_error
DDS-NBDS,3257868.5,3283000,-25131.5,-0.8%
IBF-TimeSeries,3257693.0,3283000,-25307.0,-0.8%
UMich-RidgeTfReg,3343032.4,3283000,60032.4,1.8%
QJHong-Encounter,3184218.0,3283000,-98782.0,-3.0%
JHUAPL-Bucky,3142896.7,3283000,-140103.3,-4.3%
OneQuietNight-ML,3138438.0,3283000,-144562.0,-4.4%
UCF-AEM,3084762.0,3283000,-198238.0,-6.0%
BPagano-RtDriven,3015847.9,3283000,-267152.1,-8.1%
Karlen-pypm,2987876.8,3283000,-295123.2,-9.0%
CU-select,3604910.0,3283000,321910.0,9.8%
OliverWyman-Navigator,2947332.0,3283000,-335668.0,-10.2%
COVIDhub-baseline,2868116.0,3283000,-414884.0,-12.6%
COVIDhub-ensemble,2858431.0,3283000,-424569.0,-12.9%
LNQ-ens1,2858428.7,3283000,-424571.3,-12.9%
Microsoft-DeepSTIA,2844319.0,3283000,-438681.0,-13.4%
CEID-Walk,2840378.5,3283000,-442621.5,-13.5%
TTU-squider,2817509.3,3283000,-465490.7,-14.2%
RobertWalraven-ESG,2811606.2,3283000,-471393.8,-14.4%
CovidAnalytics-DELPHI,2777209.0,3283000,-505791.0,-15.4%
Covid19Sim-Simulator,2768023.7,3283000,-514976.3,-15.7%
UCLA-SuEIR,2748373.0,3283000,-534627.0,-16.3%
USC-SI_kJalpha,2724628.0,3283000,-558372.0,-17.0%
IEM_MED-CovidProject,2676428.5,3283000,-606571.5,-18.5%
LANL-GrowthRate,2649781.0,3283000,-633219.0,-19.3%
UChicagoCHATTOPADHYAY-UnIT,2597239.2,3283000,-685760.8,-20.9%
UVA-Ensemble,3983958.9,3283000,700958.9,21.4%
IowaStateLW-STEM,2565322.0,3283000,-717678.0,-21.9%
Columbia_UNC-SurvCon,2458024.0,3283000,-824976.0,-25.1%
JHU_IDD-CovidSP,2002105.5,3283000,-1280894.5,-39.0%
Google_Harvard-CPF,,3283000,,
JHU_CSSE-DECOM,,3283000,,
JHU_UNC_GAS-StatMechPool,,3283000,,
UCSB-ACTS,,3283000,,
Wadhwani_AI-BayesOpt,,3283000,,
