,mean_rank
OliverWyman-Navigator,8.2
Covid19Sim-Simulator,8.2
IowaStateLW-STEM,9.3
JCB-PRM,9.7
Microsoft-DeepSTIA,10.0
USC-SI_kJalpha,10.5
OneQuietNight-ML,11.2
COVIDhub-baseline,11.2
CEID-Walk,11.5
BPagano-RtDriven,12.0
COVIDhub-ensemble,12.5
JHU_CSSE-DECOM,13.7
Google_Harvard-CPF,13.8
LANL-GrowthRate,14.1
Karlen-pypm,14.6
UMich-RidgeTfReg,14.8
IEM_MED-CovidProject,16.2
UCLA-SuEIR,16.5
CovidAnalytics-DELPHI,16.8
TTU-squider,17.5
JHU_IDD-CovidSP,17.6
DDS-NBDS,18.1
UCSB-ACTS,18.8
UVA-Ensemble,19.7
LNQ-ens1,20.9
JHU_UNC_GAS-StatMechPool,21.6
CU-select,21.9
RobertWalraven-ESG,22.0
JHUAPL-Bucky,22.0
