,predicted_cases,actual_cases,error,perc_error
Covid19Sim-Simulator,11653097.9,11622293,30804.9,0.3%
UCF-AEM,10880123.0,11622293,-742170.0,-6.4%
IowaStateLW-STEM,10202051.0,11622293,-1420242.0,-12.2%
IBF-TimeSeries,9590125.0,11622293,-2032168.0,-17.5%
COVIDhub-baseline,9476160.0,11622293,-2146133.0,-18.5%
UCLA-SuEIR,15328951.9,11622293,3706658.9,31.9%
JCB-PRM,15659930.3,11622293,4037637.3,34.7%
OneQuietNight-ML,15764191.0,11622293,4141898.0,35.6%
USC-SI_kJalpha,5718644.0,11622293,-5903649.0,-50.8%
USACE-ERDC_SEIR,4681312.4,11622293,-6940980.6,-59.7%
JHUAPL-Bucky,23103152.5,11622293,11480859.5,98.8%
Columbia_UNC-SurvCon,27702302.0,11622293,16080009.0,138.4%
