,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,OneQuietNight-ML,UCF-AEM,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-OneQuietNight-ML,error-UCF-AEM,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-OneQuietNight-ML,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Alabama,189973,118920.0,,114366.5,,108541.0,210378.1,245509.5,195731.0,,80031.0,64685.4,73442.0,-71053.0,,-75606.5,,-81432.0,20405.1,55536.5,5758.0,,-109942.0,-125287.6,-116531.0,,False,,False,True,True,True,,False,False,False
Alaska,24429,32568.0,,35076.4,,,61154.5,54597.4,51125.0,,20387.1,10640.6,20422.0,8139.0,,10647.4,,,36725.5,30168.4,26696.0,,-4041.9,-13788.4,-4007.0,,False,,,False,False,False,,True,False,True
Arizona,371567,178248.0,,163149.3,,204260.0,244807.8,300431.2,248212.0,,189491.6,129628.5,141353.0,-193319.0,,-208417.7,,-167307.0,-126759.2,-71135.8,-123355.0,,-182075.4,-241938.5,-230214.0,,False,,True,True,True,True,,True,False,False
Arkansas,126357,93240.0,,89759.7,,131046.0,173759.7,136507.0,164952.0,,128949.9,38502.1,48495.0,-33117.0,,-36597.3,,4689.0,47402.7,10150.0,38595.0,,2592.9,-87854.9,-77862.0,,False,,True,False,True,False,,True,False,False
California,1868027,658944.0,,815606.1,,533065.0,914760.6,2709861.6,952856.0,,758943.6,624319.8,487364.0,-1209083.0,,-1052420.9,,-1334962.0,-953266.4,841834.6,-915171.0,,-1109083.4,-1243707.2,-1380663.0,,True,,False,True,True,True,,True,False,False
Colorado,178804,283560.0,,226208.4,,280935.0,464610.8,530041.4,394755.0,,398975.4,90080.3,145610.0,104756.0,,47404.4,,102131.0,285806.8,351237.4,215951.0,,220171.4,-88723.7,-33194.0,,True,,True,False,False,False,,False,True,True
Connecticut,121953,102592.0,,114060.1,,104545.0,159712.0,301273.0,149700.0,,248835.0,27381.2,57810.0,-19361.0,,-7892.9,,-17408.0,37759.0,179320.0,27747.0,,126882.0,-94571.8,-64143.0,,True,,True,False,False,False,,False,False,False
Delaware,38051,23408.0,,22213.7,,23739.0,31856.7,45044.1,39637.0,,29139.4,19970.4,17806.0,-14643.0,,-15837.3,,-14312.0,-6194.3,6993.1,1586.0,,-8911.6,-18080.6,-20245.0,,False,,True,True,True,True,,True,False,False
District of Columbia,13576,9176.0,,10106.4,,10740.0,15295.6,31637.0,5886.0,,6171.2,8660.8,7434.0,-4400.0,,-3469.6,,-2836.0,1719.6,18061.0,-7690.0,,-7404.8,-4915.2,-6142.0,,True,,True,True,False,False,,False,False,False
Florida,628359,453848.0,,400556.4,,358392.0,643389.7,610904.4,749559.0,,394493.9,281484.0,284001.0,-174511.0,,-227802.6,,-269967.0,15030.7,-17454.6,121200.0,,-233865.1,-346875.0,-344358.0,,False,,False,True,True,True,,False,False,False
Georgia,362859,191192.0,,130817.6,,161558.0,285327.6,72434.2,283045.0,,115014.1,110749.5,137099.0,-171667.0,,-232041.4,,-201301.0,-77531.4,-290424.8,-79814.0,,-247844.9,-252109.5,-225760.0,,False,,False,True,False,True,,False,False,False
Hawaii,7113,4816.0,,4758.0,,,7443.2,903.9,11797.0,,3794.1,7911.4,2236.0,-2297.0,,-2355.0,,,330.2,-6209.1,4684.0,,-3318.9,798.4,-4877.0,,False,,,True,False,False,,False,True,False
Idaho,64442,76136.0,,69757.6,,83080.0,125824.2,71952.6,117366.0,,74951.1,21256.7,43550.0,11694.0,,5315.6,,18638.0,61382.2,7510.6,52924.0,,10509.1,-43185.3,-20892.0,,True,,False,False,True,False,,True,False,False
Illinois,418381,666408.0,,539127.8,,611678.0,1223148.1,595947.7,861536.0,,1138793.5,156459.7,282720.0,248027.0,,120746.8,,193297.0,804767.1,177566.7,443155.0,,720412.5,-261921.3,-135661.0,,True,,True,False,True,False,,False,False,True
Indiana,297866,354368.0,,299469.3,,391954.0,619291.6,703126.3,483795.0,,567244.8,115751.7,287098.0,56502.0,,1603.3,,94088.0,321425.6,405260.3,185929.0,,269378.8,-182114.3,-10768.0,,True,,False,False,False,False,,False,False,True
