,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FAIR-NRAR,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FAIR-NRAR,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FAIR-NRAR,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-UpstateSU-GRU
01021,334,414.0,,421.4,,364.0,535.0,,,,,358.1,135.4,,,373.0,418.2,190.2,290.0,,274.0,346.5,,,409.0,416.0,335.0,,,,,316.9,296.0,,,,376.2,306.0,80.0,,87.4,,30.0,201.0,,,,,24.1,-198.6,,,39.0,84.2,-143.8,-44.0,,-60.0,12.5,,,75.0,82.0,1.0,,,,,-17.1,-38.0,,,,42.2,-28.0,,False,,True,False,,,,,True,False,,,True,False,False,True,,True,True,,,True,False,True,,,,,True,True,,,,True,True
01023,21,12.0,,11.4,,14.0,12.0,,,,,51.3,20.1,,,116.0,5.1,27.3,,,10.0,11.1,,,7.0,64.0,31.6,,,,,,59.8,,,,16.7,44.0,-9.0,,-9.6,,-7.0,-9.0,,,,,30.3,-0.9,,,95.0,-15.9,6.3,,,-11.0,-9.9,,,-14.0,43.0,10.6,,,,,,38.8,,,,-4.3,23.0,,False,,True,False,,,,,False,True,,,False,False,True,,,False,False,,,False,False,False,,,,,,False,,,,True,False
01025,358,310.0,,300.4,,267.0,258.0,,,,,294.0,145.5,,,195.0,281.1,173.6,,,342.0,268.4,,,349.0,275.0,314.6,,,,,238.5,302.1,,,,128.5,311.0,-48.0,,-57.6,,-91.0,-100.0,,,,,-64.0,-212.5,,,-163.0,-76.9,-184.4,,,-16.0,-89.6,,,-9.0,-83.0,-43.4,,,,,-119.5,-55.9,,,,-229.5,-47.0,,False,,False,False,,,,,False,False,,,False,False,False,,,True,False,,,True,False,True,,,,,False,False,,,,False,True
01027,105,110.0,,111.4,,110.0,117.0,,,,,123.6,65.6,,,112.0,75.3,54.8,,,89.0,101.9,,,108.0,124.0,110.6,,,,,,131.1,,,,210.4,90.0,5.0,,6.4,,5.0,12.0,,,,,18.6,-39.4,,,7.0,-29.7,-50.2,,,-16.0,-3.1,,,3.0,19.0,5.6,,,,,,26.1,,,,105.4,-15.0,,False,,False,False,,,,,False,False,,,False,False,False,,,False,True,,,True,False,False,,,,,,False,,,,False,False
01029,127,106.0,,99.4,,99.0,59.0,,,,,111.3,113.2,,,140.0,58.9,65.7,,,71.0,97.4,,,112.0,127.0,122.9,,,,,,149.6,,,,103.5,98.0,-21.0,,-27.6,,-28.0,-68.0,,,,,-15.7,-13.8,,,13.0,-68.1,-61.3,,,-56.0,-29.6,,,-15.0,0.0,-4.1,,,,,,22.6,,,,-23.5,-29.0,,False,,False,False,,,,,True,True,,,True,False,False,,,False,False,,,True,True,True,,,,,,False,,,,False,False
01031,703,568.0,,578.5,,490.0,478.0,,,,,442.7,352.3,,,416.0,476.4,322.0,429.0,,561.0,574.3,,,587.0,579.0,461.9,,,,,494.7,585.7,,,,472.1,453.0,-135.0,,-124.5,,-213.0,-225.0,,,,,-260.3,-350.7,,,-287.0,-226.6,-381.0,-274.0,,-142.0,-128.7,,,-116.0,-124.0,-241.1,,,,,-208.3,-117.3,,,,-230.9,-250.0,,True,,False,False,,,,,False,False,,,False,False,False,False,,False,True,,,True,True,False,,,,,False,True,,,,False,False
01033,568,658.0,,676.9,,625.0,669.0,,,,,550.5,488.5,,,568.0,549.2,365.7,523.5,,661.0,619.6,,,691.0,664.0,629.7,,,,,460.5,577.6,,,,752.9,508.0,90.0,,108.9,,57.0,101.0,,,,,-17.5,-79.5,,,0.0,-18.8,-202.3,-44.5,,93.0,51.6,,,123.0,96.0,61.7,,,,,-107.5,9.6,,,,184.9,-60.0,,False,,True,False,,,,,True,True,,,True,True,False,True,,False,True,,,False,False,True,,,,,False,True,,,,False,True
01035,77,78.0,,81.0,,58.0,45.0,,,,,85.9,188.6,,,80.0,44.9,40.9,,,23.0,54.8,0.0,,88.0,86.0,57.4,,,,,,120.0,,,,66.1,48.0,1.0,,4.0,,-19.0,-32.0,,,,,8.9,111.6,,,3.0,-32.1,-36.1,,,-54.0,-22.2,-77.0,,11.0,9.0,-19.6,,,,,,43.0,,,,-10.9,-29.0,,False,,False,False,,,,,False,False,,,False,False,False,,,False,False,False,,False,False,False,,,,,,False,,,,False,False
01037,82,92.0,,86.0,,70.0,80.0,,,,,50.7,58.7,,,63.0,122.4,42.1,,,126.0,68.8,1.8,,93.0,90.0,58.5,,,,,,99.5,,,,68.5,49.0,10.0,,4.0,,-12.0,-2.0,,,,,-31.3,-23.3,,,-19.0,40.4,-39.9,,,44.0,-13.2,-80.2,,11.0,8.0,-23.5,,,,,,17.5,,,,-13.5,-33.0,,True,,False,True,,,,,False,False,,,False,False,False,,,False,False,False,,False,True,False,,,,,,False,,,,False,False
01039,321,312.0,,344.2,,287.0,318.0,,,,,324.8,159.5,,,313.0,218.1,182.2,222.0,,152.0,234.1,70.6,,287.0,339.0,289.7,,,,,328.8,285.6,,,,340.6,274.0,-9.0,,23.2,,-34.0,-3.0,,,,,3.8,-161.5,,,-8.0,-102.9,-138.8,-99.0,,-169.0,-86.9,-250.4,,-34.0,18.0,-31.3,,,,,7.8,-35.4,,,,19.6,-47.0,,False,,False,True,,,,,True,False,,,True,False,False,False,,False,False,False,,False,False,False,,,,,True,False,,,,False,False
