,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,OneQuietNight-ML,UCF-AEM,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-OneQuietNight-ML,error-UCF-AEM,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-OneQuietNight-ML,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
01001,2557,1296.0,,,,1225.0,,1782.9,1857.0,,588.6,,,-1261.0,,,,-1332.0,,-774.1,-700.0,,-1968.4,,,,,,False,,True,True,,False,,
01003,8045,4280.0,,,,3269.0,,5635.8,6319.0,,1776.1,,,-3765.0,,,,-4776.0,,-2409.2,-1726.0,,-6268.9,,,,,,False,,True,True,,False,,
01005,566,272.0,,,,467.0,,50.1,669.0,,135.8,,,-294.0,,,,-99.0,,-515.9,103.0,,-430.2,,,,,,True,,False,True,,False,,
01007,1108,464.0,,,,554.0,,179.1,770.0,,,,,-644.0,,,,-554.0,,-928.9,-338.0,,,,,,,,True,,False,True,,,,
01009,2557,1736.0,,,,1566.0,,1907.7,2189.0,,408.1,,,-821.0,,,,-991.0,,-649.3,-368.0,,-2148.9,,,,,,False,,True,True,,False,,
01011,301,104.0,,,,190.0,,47.9,261.0,,,,,-197.0,,,,-111.0,,-253.1,-40.0,,,,,,,,True,,False,True,,,,
01013,562,456.0,,,,348.0,,811.9,705.0,,214.5,,,-106.0,,,,-214.0,,249.9,143.0,,-347.5,,,,,,False,,False,False,,False,,
01015,5154,3632.0,,,,2922.0,,11322.5,4902.0,,1797.7,,,-1522.0,,,,-2232.0,,6168.5,-252.0,,-3356.3,,,,,,False,,False,True,,False,,
01017,1149,904.0,,,,641.0,,2536.1,1427.0,,330.5,,,-245.0,,,,-508.0,,1387.1,278.0,,-818.5,,,,,,False,,False,False,,False,,
01019,621,648.0,,,,692.0,,766.5,1008.0,,,,,27.0,,,,71.0,,145.5,387.0,,,,,,,,False,,False,False,,,,
