,actual_cases,COVIDhub-baseline,BPagano-RtDriven,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,Microsoft-DeepSTIA,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,Wadhwani_AI-BayesOpt,error-COVIDhub-baseline,error-BPagano-RtDriven,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-Microsoft-DeepSTIA,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-Wadhwani_AI-BayesOpt,beat_baseline-BPagano-RtDriven,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-Wadhwani_AI-BayesOpt
Alabama,100777,108252.0,88714.4,117859.0,96045.0,,113973.1,124185.0,99017.8,156498.5,,140799.6,113325.0,152656.2,104229.6,105822.0,64902.3,124129.0,191957.0,117879.0,115982.8,123764.5,119846.0,,132281.1,132785.8,,122186.6,137949.8,141443.2,113143.0,141189.2,208964.8,7475.0,-12062.6,17082.0,-4732.0,,13196.1,23408.0,-1759.2,55721.5,,40022.6,12548.0,51879.2,3452.6,5045.0,-35874.7,23352.0,91180.0,17102.0,15205.8,22987.5,19069.0,,31504.1,32008.8,,21409.6,37172.8,40666.2,12366.0,40412.2,108187.8,False,False,True,,False,False,True,False,,False,False,False,True,True,False,False,False,False,False,False,False,,False,False,,False,False,False,False,False,False
Alaska,7965,12764.0,11466.2,9748.0,10136.0,,13088.4,9006.0,10365.5,16978.5,,7456.0,,19279.6,10269.5,12393.0,7934.8,4827.5,8796.1,6592.5,8123.2,13707.6,10905.0,,5902.9,12584.8,,6380.3,22219.7,13653.7,8694.0,14533.5,18515.6,4799.0,3501.2,1783.0,2171.0,,5123.4,1041.0,2400.5,9013.5,,-509.0,,11314.6,2304.5,4428.0,-30.2,-3137.5,831.1,-1372.5,158.2,5742.6,2940.0,,-2062.1,4619.8,,-1584.7,14254.7,5688.7,729.0,6568.5,10550.6,True,True,True,,False,True,True,False,,True,,False,True,True,True,True,True,True,True,False,True,,True,True,,True,False,False,True,False,False
Arizona,218670,182568.0,280110.1,188377.0,180185.0,,211681.1,174765.0,182569.1,288400.3,,244070.8,180953.0,238665.5,242568.4,182613.0,184780.4,223799.0,241790.5,148567.0,160695.6,197687.3,184130.0,,178679.5,293053.0,,135652.5,240744.3,187210.4,197266.0,227902.2,389800.9,-36102.0,61440.1,-30293.0,-38485.0,,-6988.9,-43905.0,-36100.9,69730.3,,25400.8,-37717.0,19995.5,23898.4,-36057.0,-33889.6,5129.0,23120.5,-70103.0,-57974.4,-20982.7,-34540.0,,-39990.5,74383.0,,-83017.5,22074.3,-31459.6,-21404.0,9232.2,171130.9,False,True,False,,True,False,True,False,,True,False,True,True,True,True,True,True,False,False,True,True,,False,False,,False,True,True,True,True,False
Arkansas,70064,63448.0,80137.5,64941.0,54860.0,,64290.3,57780.0,52016.0,93406.0,,80010.2,74869.0,86904.6,46272.6,69870.0,39388.6,64995.5,65932.9,59719.0,62583.2,64773.1,69681.0,,67607.6,50125.3,,62305.3,73612.3,78217.7,68148.0,78292.4,84368.9,-6616.0,10073.5,-5123.0,-15204.0,,-5773.7,-12284.0,-18048.0,23342.0,,9946.2,4805.0,16840.6,-23791.4,-194.0,-30675.4,-5068.5,-4131.1,-10345.0,-7480.8,-5290.9,-383.0,,-2456.4,-19938.7,,-7758.7,3548.3,8153.7,-1916.0,8228.4,14304.9,False,True,False,,True,False,False,False,,False,True,False,False,True,False,True,True,False,False,True,True,,True,False,,False,True,False,True,False,False
California,1113268,1173524.0,1815892.8,1413024.0,1233877.0,,1376863.3,1983320.0,1018539.8,2492034.8,,2636663.6,1057829.0,1858756.3,2199305.6,,814402.6,1216245.0,2385014.7,1919518.5,1430318.8,1280257.7,1216676.0,,1428582.0,977878.5,,1205886.7,1276235.1,2593350.5,1524593.0,2426326.0,,60256.0,702624.8,299756.0,120609.0,,263595.3,870052.0,-94728.2,1378766.8,,1523395.6,-55439.0,745488.3,1086037.6,,-298865.4,102977.0,1271746.7,806250.5,317050.8,166989.7,103408.0,,315314.0,-135389.5,,92618.7,162967.1,1480082.5,411325.0,1313058.0,,False,False,False,,False,False,False,False,,False,True,False,False,,False,False,False,False,False,False,False,,False,False,,False,False,False,False,False,
Colorado,66885,83856.0,110609.0,64185.0,51533.0,,85645.5,37844.0,60769.1,123554.2,,57934.1,86231.0,129365.9,38377.0,80869.0,70611.1,56766.5,69080.0,53816.0,63718.5,79875.6,58925.0,,52391.3,58347.0,,64589.9,127396.4,19246.9,63372.0,105421.5,85619.3,16971.0,43724.0,-2700.0,-15352.0,,18760.5,-29041.0,-6115.9,56669.2,,-8950.9,19346.0,62480.9,-28508.0,13984.0,3726.1,-10118.5,2195.0,-13069.0,-3166.5,12990.6,-7960.0,,-14493.7,-8538.0,,-2295.1,60511.4,-47638.1,-3513.0,38536.5,18734.3,False,True,True,,False,False,True,False,,True,False,False,False,True,True,True,True,True,True,True,True,,True,True,,True,False,False,True,False,False
Connecticut,60640,64084.0,51744.4,60732.0,56431.0,,69460.8,60521.0,221731.2,108727.6,,75622.5,61295.0,93380.9,54799.4,76733.0,72916.3,63005.0,60894.0,59704.0,58023.7,83336.2,56485.0,,41974.9,89349.9,,54640.4,94218.4,100672.5,36560.0,74707.1,140722.4,3444.0,-8895.6,92.0,-4209.0,,8820.8,-119.0,161091.2,48087.6,,14982.5,655.0,32740.9,-5840.6,16093.0,12276.3,2365.0,254.0,-936.0,-2616.3,22696.2,-4155.0,,-18665.1,28709.9,,-5999.6,33578.4,40032.5,-24080.0,14067.1,80082.4,False,True,False,,False,True,False,False,,False,True,False,False,False,False,True,True,True,True,False,False,,False,False,,False,False,False,False,False,False
Delaware,19236,21040.0,36573.3,23566.0,16014.0,,24034.2,22485.0,21053.2,35281.6,,23496.3,22839.0,34348.6,21325.4,24879.0,17037.9,25646.5,42856.0,23529.5,18177.9,28524.8,20163.0,,20011.6,32411.5,,25807.9,28554.1,24780.5,18778.0,25131.0,49655.9,1804.0,17337.3,4330.0,-3222.0,,4798.2,3249.0,1817.2,16045.6,,4260.3,3603.0,15112.6,2089.4,5643.0,-2198.1,6410.5,23620.0,4293.5,-1058.1,9288.8,927.0,,775.6,13175.5,,6571.9,9318.1,5544.5,-458.0,5895.0,30419.9,False,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,True,False,True,,True,False,,False,False,False,True,False,False
District of Columbia,7195,6796.0,7182.0,7042.0,5937.0,,7020.5,9306.0,6964.9,11284.5,,7782.8,6712.0,9780.8,5662.8,8090.0,8829.2,7193.0,11896.6,7414.0,6744.3,,4774.0,,7176.4,12971.6,,7170.4,9061.5,,6337.0,9949.8,13643.3,-399.0,-13.0,-153.0,-1258.0,,-174.5,2111.0,-230.1,4089.5,,587.8,-483.0,2585.8,-1532.2,895.0,1634.2,-2.0,4701.6,219.0,-450.7,,-2421.0,,-18.6,5776.6,,-24.6,1866.5,,-858.0,2754.8,6448.3,True,True,False,,True,False,True,False,,False,False,False,False,False,False,True,False,True,False,,False,,True,False,,True,False,,False,False,False
Florida,367021,304768.0,273266.0,311265.0,321086.0,,312407.9,340362.0,290436.7,513106.5,,379251.5,276230.0,345384.9,242799.3,265253.0,291847.4,308597.0,446506.8,299376.0,316703.3,323844.4,383464.0,,330891.1,293467.0,,310270.7,321064.8,313500.1,295776.0,350364.0,,-62253.0,-93755.0,-55756.0,-45935.0,,-54613.1,-26659.0,-76584.3,146085.5,,12230.5,-90791.0,-21636.1,-124221.7,-101768.0,-75173.6,-58424.0,79485.8,-67645.0,-50317.7,-43176.6,16443.0,,-36129.9,-73554.0,,-56750.3,-45956.2,-53520.9,-71245.0,-16657.0,,False,True,True,,True,True,False,False,,True,False,True,False,False,False,True,False,False,True,True,True,,True,False,,True,True,True,False,True,
