,actual_deaths,Baseline,YYG-ParamSearch,IHME-CurveFIt,error-Baseline,error-YYG,error-IHME,beat_baseline-YYG,beat_baseline-IHME
Algeria,1795,1991.0,2088.3,2056.1,196.0,293.3,261.1,False,False
Argentina,23581,10311.0,13169.4,7817.1,-13270.0,-10411.6,-15763.9,True,False
Australia,898,573.6,1198.0,221.9,-324.4,300.0,-676.1,True,False
Austria,852,722.9,762.9,725.7,-129.1,-89.1,-126.3,True,True
Bangladesh,5500,6293.7,5200.6,5855.9,793.7,-299.4,355.9,True,True
Belarus,885,914.0,879.1,745.5,29.0,-5.9,-139.5,True,False
Belgium,10175,10049.0,9939.4,10127.1,-126.0,-235.6,-47.9,False,True
Bolivia,8292,7273.3,6015.3,5489.2,-1018.7,-2276.7,-2802.8,False,False
Brazil,150198,168606.3,168122.0,165055.8,18408.3,17924.0,14857.8,True,True
Bulgaria,891,774.3,792.4,772.8,-116.7,-98.6,-118.2,True,False
Canada,9661,9346.6,9246.8,10124.8,-314.4,-414.2,463.8,False,False
Chile,13272,15724.0,13909.3,12859.9,2452.0,637.3,-412.1,True,True
Colombia,27660,24913.0,24545.0,32481.3,-2747.0,-3115.0,4821.3,False,False
Croatia,317,309.7,312.1,135.5,-7.3,-4.9,-181.5,True,False
Cuba,123,87.0,102.0,88.6,-36.0,-21.0,-34.4,True,True
Cyprus,25,19.0,25.5,19.4,-6.0,0.5,-5.6,True,True
Czechia,948,501.3,519.5,353.6,-446.7,-428.5,-594.4,True,False
Denmark,667,634.7,668.9,638.7,-32.3,1.9,-28.3,True,True
Dominican Republic,2167,1953.3,2002.0,3271.2,-213.7,-165.0,1104.2,True,False
Ecuador,12188,7708.1,7569.0,18213.0,-4479.9,-4619.0,6025.0,False,False
Egypt,6040,7906.6,5927.5,8649.8,1866.6,-112.5,2609.8,True,False
Estonia,68,69.0,82.6,71.6,1.0,14.6,3.6,False,False
Finland,346,339.9,365.0,328.5,-6.1,19.0,-17.5,False,False
France,32601,30629.3,30739.0,32869.0,-1971.7,-1862.0,268.0,True,True
Germany,9620,9471.4,9343.8,9732.4,-148.6,-276.2,112.4,False,True
Greece,436,288.9,233.0,193.0,-147.1,-203.0,-243.0,False,False
Honduras,2504,3461.1,3368.4,1541.0,957.1,864.4,-963.0,True,False
Hungary,933,596.0,668.5,667.7,-337.0,-264.5,-265.3,True,True
Iceland,10,10.0,12.5,10.4,0.0,2.5,0.4,False,False
Indonesia,11765,11707.9,14620.9,14689.1,-57.1,2855.9,2924.1,False,False
Iran,28293,32116.0,28607.6,36664.7,3823.0,314.6,8371.7,True,False
Ireland,1824,1883.4,1832.9,1921.9,59.4,8.9,97.9,True,False
Israel,1941,1132.3,1317.3,1630.1,-808.7,-623.7,-310.9,True,True
Italy,36140,35780.1,35598.8,36679.0,-359.9,-541.2,539.0,False,False
Japan,1626,1128.3,1329.0,981.7,-497.7,-297.0,-644.3,True,False
Kuwait,655,704.4,702.6,629.6,49.4,47.6,-25.4,True,True
Latvia,40,31.0,37.6,32.0,-9.0,-2.4,-8.0,True,True
Lithuania,103,80.0,97.6,78.7,-23.0,-5.4,-24.3,True,False
Luxembourg,131,122.9,146.4,673.2,-8.1,15.4,542.2,False,False
Malaysia,155,134.9,151.7,122.3,-20.1,-3.3,-32.7,True,False
Malta,41,9.0,12.7,9.2,-32.0,-28.3,-31.8,True,True
Mexico,83642,92493.7,88881.9,76968.3,8851.7,5239.9,-6673.7,True,True
Moldova,1458,1288.7,1299.0,1348.5,-169.3,-159.0,-109.5,True,True
Morocco,2572,747.3,830.1,1186.3,-1824.7,-1741.9,-1385.7,True,True
Netherlands,6624,6202.4,6214.7,6405.0,-421.6,-409.3,-219.0,True,True
Nigeria,1115,1607.1,1471.9,2690.3,492.1,356.9,1575.3,True,False
Norway,275,255.0,274.4,251.6,-20.0,-0.6,-23.4,True,False
Pakistan,6570,8243.1,7421.3,9053.7,1673.1,851.3,2483.7,True,False
Panama,2482,3443.7,3127.7,3434.4,961.7,645.7,952.4,True,True
Peru,33223,68393.9,26125.8,40384.7,35170.9,-7097.2,7161.7,True,True
Philippines,6238,3028.6,4592.1,2082.2,-3209.4,-1645.9,-4155.8,True,False
Poland,2972,2181.3,2088.1,1916.2,-790.7,-883.9,-1055.8,False,False
Portugal,2067,2021.0,2087.9,2679.6,-46.0,20.9,612.6,True,False
Romania,5358,3935.0,3993.3,4803.6,-1423.0,-1364.7,-554.4,True,True
Russia,22331,23302.7,21258.4,29722.4,971.7,-1072.6,7391.4,False,False
Serbia,762,1207.1,1358.4,3382.8,445.1,596.4,2620.8,False,False
Slovakia,61,28.0,33.3,28.4,-33.0,-27.7,-32.6,True,True
Slovenia,167,159.4,131.8,111.1,-7.6,-35.2,-55.9,False,False
South Korea,432,331.6,364.0,302.1,-100.4,-68.0,-129.9,True,False
Spain,32929,28562.3,28841.9,30442.6,-4366.7,-4087.1,-2486.4,True,True
Sweden,5894,6543.9,6081.1,5888.0,649.9,187.1,-6.0,True,True
Switzerland,2088,2063.9,2034.8,2010.1,-24.1,-53.2,-77.9,False,False
Turkey,8778,6937.6,6513.9,7844.2,-1840.4,-2264.1,-933.8,False,True
Ukraine,5010,2938.7,2894.6,3167.9,-2071.3,-2115.4,-1842.1,False,True
United Arab Emirates,443,398.3,438.5,384.1,-44.7,-4.5,-58.9,True,False
United Kingdom,42850,50744.4,48817.2,49415.0,7894.4,5967.2,6565.0,True,True
