,actual_deaths,Baseline,COVIDhub-baseline,CU-select,IHME-CurveFit,LANL-GrowthRate,MOBS-GLEAM_COVID,UMass-ExpertCrowd,UT-Mobility,YYG-ParamSearch,error-Baseline,error-COVIDhub-baseline,error-CU-select,error-IHME-CurveFit,error-LANL-GrowthRate,error-MOBS-GLEAM_COVID,error-UMass-ExpertCrowd,error-UT-Mobility,error-YYG-ParamSearch,beat_baseline-COVIDhub-baseline,beat_baseline-CU-select,beat_baseline-IHME-CurveFit,beat_baseline-LANL-GrowthRate,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-UMass-ExpertCrowd,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch
Alabama,390,339.9,336.0,261.0,289.1,276.3,495.2,,337.6,319.8,-50.1,-54.0,-129.0,-100.9,-113.7,105.2,,-52.4,-70.2,False,False,False,False,False,,False,False
Alaska,10,11.9,12.0,15.0,16.5,11.3,,,18.1,17.7,1.9,2.0,5.0,6.5,1.3,,,8.1,7.7,False,False,False,True,,,False,False
Arizona,532,352.6,395.9,392.0,387.4,397.4,423.7,,461.1,368.9,-179.4,-136.1,-140.0,-144.6,-134.6,-108.3,,-70.9,-163.1,True,True,True,True,True,,True,True
Arkansas,88,73.3,77.0,70.0,94.1,53.7,127.5,,71.0,79.6,-14.7,-11.0,-18.0,6.1,-34.3,39.5,,-17.0,-8.4,True,False,True,False,False,,False,True
California,2687,2711.3,2748.1,3748.0,1739.7,2705.8,1802.8,,2219.6,2329.0,24.3,61.1,1061.0,-947.3,18.8,-884.2,,-467.4,-358.0,False,False,False,True,False,,False,False
Colorado,967,794.3,806.0,805.0,637.7,823.9,808.0,,610.3,687.2,-172.7,-161.0,-162.0,-329.3,-143.1,-159.0,,-356.7,-279.8,True,True,False,True,True,,False,False
Connecticut,2932,2764.1,2861.3,3550.0,2734.7,1880.0,1641.0,,1925.3,2619.7,-167.9,-70.7,618.0,-197.3,-1052.0,-1291.0,,-1006.7,-312.3,True,False,False,False,False,,False,False
Delaware,221,158.4,169.0,619.0,135.4,110.4,102.7,,161.3,159.9,-62.6,-52.0,398.0,-85.6,-110.6,-118.3,,-59.7,-61.1,True,False,False,False,False,,True,True
District of Columbia,311,227.4,223.0,,207.3,206.0,,,238.4,211.6,-83.6,-88.0,,-103.7,-105.0,,,-72.6,-99.4,False,,False,False,,,True,False
Florida,1715,1668.3,1677.8,2544.0,1409.7,1426.9,2416.7,,1266.4,1416.2,-46.7,-37.2,829.0,-305.3,-288.1,701.7,,-448.6,-298.8,True,False,False,False,False,,False,False
