,actual_deaths,Baseline,COVIDhub-baseline,COVIDhub-ensemble,CU-select,CovidAnalytics-DELPHI,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,MOBS-GLEAM_COVID,UMass-MechBayes,UT-Mobility,YYG-ParamSearch,error-Baseline,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-CovidAnalytics-DELPHI,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MOBS-GLEAM_COVID,error-UMass-MechBayes,error-UT-Mobility,error-YYG-ParamSearch,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-UMass-MechBayes,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch
Alabama,390,334.1,321.0,355.2,358.0,353.0,304.1,300.0,,310.5,344.4,419.0,355.7,326.9,-55.9,-69.0,-34.8,-32.0,-37.0,-85.9,-90.0,,-79.5,-45.6,29.0,-34.3,-63.1,False,True,True,True,False,False,,False,True,True,True,False
Alaska,10,9.0,9.2,13.2,15.0,11.0,,,,9.7,13.7,14.0,13.1,14.9,-1.0,-0.8,3.2,5.0,1.0,,,,-0.3,3.7,4.0,3.1,4.9,True,False,False,False,,,,True,False,False,False,False
Arizona,532,444.0,459.0,460.1,522.0,431.0,465.8,488.0,,437.9,391.6,501.0,438.0,436.7,-88.0,-73.0,-71.9,-10.0,-101.0,-66.2,-44.0,,-94.1,-140.4,-31.0,-94.0,-95.3,True,True,True,False,True,True,,False,False,True,False,False
Arkansas,88,73.3,68.0,97.3,83.0,110.0,93.3,108.0,,67.8,84.3,134.0,75.0,75.9,-14.7,-20.0,9.3,-5.0,22.0,5.3,20.0,,-20.2,-3.7,46.0,-13.0,-12.1,False,True,True,False,True,False,,False,True,False,True,True
California,2687,2742.7,2787.0,2828.1,3519.0,2645.0,2025.2,2954.0,,2684.0,2079.1,3389.0,2475.8,2664.1,55.7,100.0,141.1,832.0,-42.0,-661.8,267.0,,-3.0,-607.9,702.0,-211.2,-22.9,False,False,False,True,False,False,,True,False,False,False,True
Colorado,967,1185.7,1274.0,1125.1,968.0,1069.0,988.9,1083.0,,1303.1,886.2,1334.0,1040.6,1045.7,218.7,307.0,158.1,1.0,102.0,21.9,116.0,,336.1,-80.8,367.0,73.6,78.7,False,True,True,True,True,True,,False,True,False,True,True
Connecticut,2932,3404.1,3423.0,3182.9,3188.0,3638.0,2966.7,2710.0,,2620.5,2144.9,4003.0,2829.1,3020.6,472.1,491.0,250.9,256.0,706.0,34.7,-222.0,,-311.5,-787.1,1071.0,-102.9,88.6,False,True,True,False,True,True,,True,False,False,True,True
Delaware,221,218.4,202.0,242.8,349.0,238.0,155.4,294.0,,169.3,142.2,277.0,211.0,199.4,-2.6,-19.0,21.8,128.0,17.0,-65.6,73.0,,-51.7,-78.8,56.0,-10.0,-21.6,False,False,False,False,False,False,,False,False,False,False,False
District of Columbia,311,330.3,313.0,317.9,,303.0,247.7,336.0,,292.5,,356.0,355.4,285.1,19.3,2.0,6.9,,-8.0,-63.3,25.0,,-18.5,,45.0,44.4,-25.9,True,True,,True,False,False,,True,,False,False,False
Florida,1715,1634.0,1669.0,1581.8,1672.0,1632.0,1565.0,1827.0,,1482.6,1761.6,1742.0,1413.7,1559.6,-81.0,-46.0,-133.2,-43.0,-83.0,-150.0,112.0,,-232.4,46.6,27.0,-301.3,-155.4,True,False,True,False,False,False,,False,True,True,False,False
Georgia,1403,1341.3,1375.0,1307.6,1244.0,1203.0,1612.4,1297.0,,1219.9,1514.3,1760.0,1127.1,1277.9,-61.7,-28.0,-95.4,-159.0,-200.0,209.4,-106.0,,-183.1,111.3,357.0,-275.9,-125.1,True,False,False,False,False,False,,False,False,False,False,False
Hawaii,17,21.4,21.0,18.3,13.0,18.0,22.7,,,15.5,20.1,20.0,21.1,22.8,4.4,4.0,1.3,-4.0,1.0,5.7,,,-1.5,3.1,3.0,4.1,5.8,True,True,True,True,False,,,True,True,True,True,False
Idaho,67,78.3,82.0,78.4,69.0,77.0,65.3,96.0,,64.0,79.0,89.0,90.7,81.7,11.3,15.0,11.4,2.0,10.0,-1.7,29.0,,-3.0,12.0,22.0,23.7,14.7,False,False,True,True,True,False,,True,False,False,False,False
Illinois,3349,3127.1,3107.0,3399.7,3511.0,3694.0,2284.1,3302.0,,3250.8,2405.8,4202.0,2794.1,2952.3,-221.9,-242.0,50.7,162.0,345.0,-1064.9,-47.0,,-98.2,-943.2,853.0,-554.9,-396.7,False,True,True,False,False,True,,True,False,False,False,False
Indiana,1490,1279.1,1268.0,1263.3,994.0,1360.0,1009.1,1193.0,,1287.8,1040.8,1407.0,1233.4,1191.9,-210.9,-222.0,-226.7,-496.0,-130.0,-480.9,-297.0,,-202.2,-449.2,-83.0,-256.6,-298.1,False,False,False,True,False,False,,True,False,True,False,False
Iowa,252,197.9,188.0,339.4,505.0,332.0,219.4,274.0,,271.7,156.2,474.0,190.3,204.7,-54.1,-64.0,87.4,253.0,80.0,-32.6,22.0,,19.7,-95.8,222.0,-61.7,-47.3,False,False,False,False,True,True,,True,False,False,False,True
