,actual_deaths,Baseline,COVIDhub-baseline,COVIDhub-ensemble,CU-select,CovidAnalytics-DELPHI,GT-DeepCOVID,Geneva-DetGrowth,IHME-CurveFit,Imperial-ensemble1,Imperial-ensemble2,IowaStateLW-STEM,LANL-GrowthRate,MOBS-GLEAM_COVID,NotreDame-FRED,UCLA-SuEIR,UMass-MechBayes,UT-Mobility,YYG-ParamSearch,error-Baseline,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-CovidAnalytics-DELPHI,error-GT-DeepCOVID,error-Geneva-DetGrowth,error-IHME-CurveFit,error-Imperial-ensemble1,error-Imperial-ensemble2,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-UCLA-SuEIR,error-UMass-MechBayes,error-UT-Mobility,error-YYG-ParamSearch,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-GT-DeepCOVID,beat_baseline-Geneva-DetGrowth,beat_baseline-IHME-CurveFit,beat_baseline-Imperial-ensemble1,beat_baseline-Imperial-ensemble2,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch
Alabama,390,350.9,367.0,350.7,334.0,342.0,311.4,,401.4,,,369.0,351.5,360.9,,353.7,353.0,363.7,346.5,-39.1,-23.0,-39.3,-56.0,-48.0,-78.6,,11.4,,,-21.0,-38.5,-29.1,,-36.3,-37.0,-26.3,-43.5,True,False,False,False,False,,True,,,True,True,True,,True,True,True,False
Alaska,10,9.0,9.0,11.2,15.0,9.0,,,5.0,,,,9.2,11.0,,8.4,10.0,8.0,9.8,-1.0,-1.0,1.2,5.0,-1.0,,,-5.0,,,,-0.8,1.0,,-1.6,0.0,-2.0,-0.2,False,False,False,False,,,False,,,,True,True,,False,True,False,True
Arizona,532,436.6,387.0,432.1,468.0,446.0,,,433.5,,,448.0,442.4,399.3,,409.3,420.0,437.1,435.0,-95.4,-145.0,-99.9,-64.0,-86.0,,,-98.5,,,-84.0,-89.6,-132.7,,-122.7,-112.0,-94.9,-97.0,False,False,True,True,,,False,,,True,True,False,,False,False,True,False
Arkansas,88,97.4,96.0,89.5,84.0,96.0,91.3,,80.2,,,76.0,79.9,94.4,,80.1,91.0,98.7,91.9,9.4,8.0,1.5,-4.0,8.0,3.3,,-7.8,,,-12.0,-8.1,6.4,,-7.9,3.0,10.7,3.9,True,True,True,True,True,,True,,,False,True,True,,True,True,False,True
California,2687,2636.9,2671.0,2707.7,2849.0,2819.0,2263.2,,2731.6,,,3049.0,2603.5,2890.6,,2586.5,2721.0,2593.9,2601.4,-50.1,-16.0,20.7,162.0,132.0,-423.8,,44.6,,,362.0,-83.5,203.6,,-100.5,34.0,-93.1,-85.6,True,True,False,False,False,,True,,,False,False,False,,False,True,False,False
Colorado,967,974.0,980.0,1011.3,931.0,1102.0,864.0,,1001.4,,,1052.0,972.6,1083.9,,977.5,1067.0,963.6,993.6,7.0,13.0,44.3,-36.0,135.0,-103.0,,34.4,,,85.0,5.6,116.9,,10.5,100.0,-3.4,26.6,False,False,False,False,False,,False,,,False,True,False,,False,False,True,False
Connecticut,2932,2874.9,3007.0,2947.6,2950.0,3370.0,2477.7,,2952.1,,,2752.0,2632.4,3067.8,,2825.5,2985.0,2929.3,2834.4,-57.1,75.0,15.6,18.0,438.0,-454.3,,20.1,,,-180.0,-299.6,135.8,,-106.5,53.0,-2.7,-97.6,False,True,True,False,False,,True,,,False,False,False,,False,True,True,False
Delaware,221,225.9,224.0,229.2,246.0,240.0,177.7,,240.9,,,234.0,195.6,261.6,,206.1,235.0,228.4,220.8,4.9,3.0,8.2,25.0,19.0,-43.3,,19.9,,,13.0,-25.4,40.6,,-14.9,14.0,7.4,-0.2,True,False,False,False,False,,False,,,False,False,False,,False,False,False,True
District of Columbia,311,313.6,315.0,314.9,,327.0,287.3,,336.2,,,318.0,333.0,,,278.8,331.0,312.3,307.7,2.6,4.0,3.9,,16.0,-23.7,,25.2,,,7.0,22.0,,,-32.2,20.0,1.3,-3.3,False,False,,False,False,,False,,,False,False,,,False,False,True,False
Florida,1715,1639.6,1673.0,1599.2,1684.0,1588.0,1310.4,,1689.9,,,1858.0,1598.2,1659.6,,1544.3,1545.0,1579.9,1593.9,-75.4,-42.0,-115.8,-31.0,-127.0,-404.6,,-25.1,,,143.0,-116.8,-55.4,,-170.7,-170.0,-135.1,-121.1,True,False,True,False,False,,True,,,False,False,True,,False,False,False,False
