,count,mean,median,std,min,25%,75%,max
UMass-MechBayes,51,8525.1,961.0,32545.2,0.0,240.5,2810.0,219024.0
MSRA-DeepST,47,9078.8,369.1,35451.3,3.5,103.6,1802.5,242885.3
LNQ-ens1,51,9170.8,989.0,34914.7,0.3,236.2,2707.6,240189.9
COVIDhub-ensemble,51,9796.8,784.0,31964.3,0.0,144.0,4900.0,195364.0
OliverWyman-Navigator,51,10134.4,488.0,38981.1,0.2,82.4,1728.9,245183.3
MOBS-GLEAM_COVID,50,11196.8,701.9,38483.6,0.3,72.8,3003.6,236442.4
UCSD_NEU-DeepGLEAM,50,11421.7,330.4,38369.3,1.3,81.5,3087.3,229840.3
Baseline,51,11543.6,1245.1,39716.7,0.3,251.5,5964.3,270845.9
CEID-Walk,51,11585.8,1229.7,31354.3,0.9,136.9,7009.1,187613.7
COVIDhub-baseline,51,11689.3,1156.0,32129.5,0.0,144.0,6806.5,190940.8
UMich-RidgeTfReg,50,12110.7,2281.2,28323.2,0.0,181.1,6407.0,154722.4
DDS-NBDS,51,12350.0,1658.4,31568.5,0.0,173.5,6739.2,161920.3
CMU-TimeSeries,51,12412.1,1369.0,30242.2,1.0,100.0,6728.0,153664.0
IQVIA_ACOE-STAN,49,12968.1,1521.0,30407.7,1.0,552.5,12104.0,158404.0
GT-DeepCOVID,46,13273.8,1227.1,36287.0,0.0,259.1,6497.4,216759.3
UA-EpiCovDA,51,13594.4,1024.0,44625.9,1.0,144.0,4172.5,205209.0
UCLA-SuEIR,51,14257.9,3250.0,32330.3,1.0,313.3,12600.2,197672.4
CU-select,51,14947.3,1089.0,39094.2,0.0,182.5,8930.5,211600.0
UT-Mobility,51,15153.2,1444.0,48833.4,0.0,371.1,5256.5,293764.0
IowaStateLW-STEM,49,15339.1,1764.0,41950.0,1.0,324.0,7057.0,234256.0
MIT_CritData-GBCF,51,15875.6,529.0,44752.1,1.0,132.5,6714.5,253009.0
USC-SI_kJalpha,51,16817.8,676.0,71795.3,0.0,122.0,3788.5,501264.0
CovidAnalytics-DELPHI,51,16921.3,2304.0,48244.4,0.0,441.0,8010.5,264196.0
Google_Harvard-CPF,51,17418.7,925.6,53412.5,0.0,129.5,8980.1,297363.6
LANL-GrowthRate,51,17656.5,1939.5,52997.6,0.0,322.6,7453.1,307219.5
SteveMcConnell-CovidComplete,51,17845.0,484.0,78616.4,0.0,90.5,2168.5,541696.0
Karlen-pypm,51,18354.0,342.2,90470.2,0.1,66.5,2725.3,628373.3
BPagano-RtDriven,51,19180.7,1808.2,42568.9,0.1,149.4,9744.5,177597.9
JCB-PRM,51,19704.2,1163.4,87776.1,1.0,234.5,2315.3,596828.1
UCSB-ACTS,51,20335.9,4150.3,44963.7,0.9,528.4,11217.9,251894.9
Covid19Sim-Simulator,51,20400.6,1227.7,91527.1,0.0,242.6,4206.2,637780.3
NotreDame-mobility,51,21212.4,2671.3,55341.3,0.0,239.8,9675.0,326415.7
JHU_CSSE-DECOM,51,21300.6,1156.0,60989.5,1.0,112.5,7930.0,361201.0
JHU_IDD-CovidSP,51,24077.4,6163.3,60713.3,1.1,426.2,15750.2,355633.3
JHUAPL-Bucky,51,28815.4,1793.3,148793.2,0.5,303.3,5183.1,1057451.0
Columbia_UNC-SurvCon,51,28912.1,961.0,123767.4,1.0,156.5,8100.0,859329.0
epiforecasts-ensemble1,42,31149.0,1444.0,113170.0,1.0,278.5,8942.5,755161.0
PSI-DRAFT,51,31574.4,3249.0,104566.2,1.0,508.5,15036.5,636804.0
JHU_UNC_GAS-StatMechPool,51,34385.0,1722.2,163866.3,0.0,353.1,8995.6,1158852.2
RobertWalraven-ESG,51,45858.4,13361.0,95169.4,1.0,1997.6,38687.9,583176.6
WalmartLabsML-LogForecasting,51,51156.0,11669.7,108789.7,1.3,2171.9,32041.3,528700.1
IHME-CurveFit,51,54658.8,4381.5,204703.4,0.0,393.3,14403.4,1349831.2
USACE-ERDC_SEIR,51,98402.1,3297.8,251044.5,0.6,470.4,38097.1,1389996.8
TTU-squider,51,194654.3,8900.0,647343.6,1.0,643.7,100641.8,4079729.4
