,actual_deaths,Baseline,IHME-CurveFit,STH-3PU,UCLA-SuEIR,error-Baseline,error-IHME-CurveFit,error-STH-3PU,error-UCLA-SuEIR,beat_baseline-IHME-CurveFit,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR
Alabama,3082,3580.9,3293.6,,2843.6,498.9,211.6,,-238.4,True,,True
Alaska,84,51.7,33.9,,45.3,-32.3,-50.1,,-38.7,False,,False
Arizona,6147,9100.0,6376.7,,6061.0,2953.0,229.7,,-86.0,True,,True
Arkansas,2068,1572.6,1607.4,,1050.6,-495.4,-460.6,,-1017.4,True,,False
California,17961,22989.9,24247.8,,16870.4,5028.9,6286.8,,-1090.6,False,,True
Colorado,2389,2038.0,3938.1,,1977.8,-351.0,1549.1,,-411.2,False,,False
Connecticut,4671,4556.7,4729.1,,4547.3,-114.3,58.1,,-123.7,True,,False
Delaware,752,668.1,685.7,,671.4,-68.9,-51.3,,-65.6,True,,True
District of Columbia,654,655.3,600.4,,658.6,1.3,-53.6,,4.6,False,,False
Florida,17100,22354.6,17443.9,,13592.0,5254.6,343.9,,-3508.0,True,,True
Georgia,8647,8814.7,10459.3,,6655.8,167.7,1812.3,,-1991.2,False,,False
Hawaii,220,95.3,28.3,,93.5,-124.7,-191.7,,-126.5,False,,False
Idaho,683,751.3,748.6,,325.4,68.3,65.6,,-357.6,True,,False
Illinois,10488,9529.3,9221.9,,9467.7,-958.7,-1266.1,,-1020.3,False,,False
Indiana,4828,3889.6,4069.9,,3470.9,-998.4,-818.1,,-1417.1,True,,False
Iowa,1842,1612.4,1604.8,,1228.3,-229.6,-237.2,,-613.7,False,,False
Kansas,1166,624.3,1708.9,,479.5,-541.7,542.9,,-686.5,False,,False
Kentucky,1561,1171.6,2144.0,,994.3,-389.4,583.0,,-566.7,False,,False
Louisiana,6016,7554.4,7342.8,,5771.7,1538.4,1326.8,,-244.3,True,,True
Maine,151,150.7,149.4,,131.0,-0.3,-1.6,,-20.0,False,,False
Maryland,4201,4485.0,4581.6,,4083.6,284.0,380.6,,-117.4,False,,True
Massachusetts,10129,9982.1,9717.1,,9268.5,-146.9,-411.9,,-860.5,False,,False
Michigan,7945,7316.1,7368.0,,6992.3,-628.9,-577.0,,-952.7,True,,False
Minnesota,2679,2263.7,2133.8,,2124.9,-415.3,-545.2,,-554.1,False,,False
Mississippi,3433,4377.4,3281.3,,2909.1,944.4,-151.7,,-523.9,True,,True
Missouri,3182,2079.7,4616.0,,2066.9,-1082.3,1454.0,,-1095.1,False,,False
Montana,445,255.0,205.5,,114.4,-190.0,-239.5,,-330.6,False,,False
Nebraska,703,512.1,597.6,,432.7,-190.9,-105.4,,-270.3,True,,False
Nevada,1850,2564.1,2860.0,,1664.6,714.1,1010.0,,-185.4,False,,True
New Hampshire,489,444.7,525.4,,484.4,-44.3,36.4,,-4.6,True,,True
New Jersey,16425,16362.6,16349.2,,16498.8,-62.4,-75.8,,73.8,False,,False
New Mexico,1104,1083.6,1241.7,,845.8,-20.4,137.7,,-258.2,False,,False
New York,33884,33596.9,33568.1,,33175.6,-306.1,-334.9,,-727.4,False,,False
North Carolina,4605,4879.1,6320.5,,3776.0,274.1,1715.5,,-829.0,False,,False
North Dakota,628,202.0,183.3,,236.2,-426.0,-444.7,,-391.8,False,,True
Ohio,5653,5469.0,7040.2,,4258.6,-494.0,1077.2,,-1704.4,False,,False
Oklahoma,1429,1284.4,1998.1,,929.6,-144.6,569.1,,-499.4,False,,False
Oregon,729,741.7,1984.9,,443.7,12.7,1255.9,,-285.3,False,,False
Pennsylvania,9001,8442.4,8359.7,,8066.9,-558.6,-641.3,,-934.1,False,,False
Rhode Island,1241,1104.0,1072.7,,1134.6,-114.0,-145.3,,-83.4,False,,True
South Carolina,4015,5296.7,3564.2,,3167.4,1281.7,-450.8,,-847.6,True,,True
South Dakota,523,287.4,218.7,,247.1,-235.6,-304.3,,-275.9,False,,False
Tennessee,3590,3151.6,2344.0,,2599.0,-438.4,-1246.0,,-991.0,False,,False
Texas,19489,29419.9,25254.6,18314.0,14234.0,10296.9,6131.6,-809.0,-4889.0,True,True,True
Utah,658,657.4,830.2,,484.1,-0.6,172.2,,-173.9,False,,False
Vermont,59,70.9,60.3,,64.3,11.9,1.3,,5.3,True,,True
Virginia,3704,3714.6,4849.2,,2860.8,10.6,1145.2,,-843.2,False,,False
Washington,2411,2870.9,3722.9,,2204.4,493.9,1345.9,,-172.6,False,,True
West Virginia,503,421.9,209.3,,211.0,-81.1,-293.7,,-292.0,False,,False
Wisconsin,2548,1640.9,2411.1,,1279.9,-856.1,-85.9,,-1217.1,True,,False
Wyoming,114,53.7,27.0,,48.3,-60.3,-87.0,,-65.7,False,,False
US,238858,257733.7,257930.6,234976.0,208824.9,18995.7,19192.6,-3762.0,-29913.1,False,True,False
