,actual_deaths,Baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MOBS-GLEAM_COVID,MSRA-DeepST,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,STH-3PU,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-MSRA-DeepST,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-STH-3PU,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-MSRA-DeepST,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Alabama,3082,3010.9,3040.8,3026.8,3060.0,3022.0,3064.0,3024.0,3194.0,3129.9,2969.0,3030.2,3015.7,3067.7,,3276.5,3030.0,3064.0,3090.4,3119.5,3122.0,2990.5,3040.5,3162.1,3079.1,3069.9,3069.0,3066.6,3096.9,,3128.0,3090.0,2972.0,,3085.9,3061.0,,3094.0,3060.7,3036.0,3006.1,,3145.6,3073.2,3026.0,3075.9,3115.8,3046.0,3022.5,2997.2,3063.0,-71.1,-41.2,-55.2,-22.0,-60.0,-18.0,-58.0,112.0,47.9,-113.0,-51.8,-66.3,-14.3,,194.5,-52.0,-18.0,8.4,37.5,40.0,-91.5,-41.5,80.1,-2.9,-12.1,-13.0,-15.4,14.9,,46.0,8.0,-110.0,,3.9,-21.0,,12.0,-21.3,-46.0,-75.9,,63.6,-8.8,-56.0,-6.1,33.8,-36.0,-59.5,-84.8,-19.0,True,True,True,True,True,True,False,True,False,True,True,True,,False,True,True,True,True,True,False,True,False,True,True,True,True,True,,True,True,False,,True,True,,True,True,True,False,,True,True,True,True,True,True,True,False,True
Alaska,84,69.9,71.3,71.5,80.0,70.0,78.0,84.0,77.0,90.4,82.0,78.1,75.3,77.2,,83.2,,,74.4,88.1,86.0,81.9,68.0,78.9,89.5,77.5,123.0,70.4,93.5,,84.1,70.6,69.0,,,73.8,,79.0,81.8,87.0,73.7,,77.6,72.2,85.0,75.5,86.5,74.0,73.0,72.6,,-14.1,-12.7,-12.5,-4.0,-14.0,-6.0,0.0,-7.0,6.4,-2.0,-5.9,-8.7,-6.8,,-0.8,,,-9.6,4.1,2.0,-2.1,-16.0,-5.1,5.5,-6.5,39.0,-13.6,9.5,,0.1,-13.4,-15.0,,,-10.2,,-5.0,-2.2,3.0,-10.3,,-6.4,-11.8,1.0,-8.5,2.5,-10.0,-11.0,-11.4,,True,True,True,True,True,True,True,True,True,True,True,True,,True,,,True,True,True,True,False,True,True,True,False,True,True,,True,True,False,,,True,,True,True,True,True,,True,True,True,True,True,True,True,True,
Arizona,6147,5961.3,6013.4,5958.0,6019.0,5959.4,6006.0,6026.0,5973.0,6050.5,5934.0,6013.1,5911.6,6062.5,,5999.3,5983.0,6021.0,6006.6,6084.4,5984.0,5950.6,5961.0,6014.7,6011.3,5990.0,5987.0,5925.2,6035.1,,6018.3,5983.5,5934.0,,5993.5,5935.0,,6025.0,6515.7,6041.0,5978.7,,5920.4,5937.2,6028.0,6064.4,6127.4,6024.0,5956.0,6043.7,5970.0,-185.7,-133.6,-189.0,-128.0,-187.6,-141.0,-121.0,-174.0,-96.5,-213.0,-133.9,-235.4,-84.5,,-147.7,-164.0,-126.0,-140.4,-62.6,-163.0,-196.4,-186.0,-132.3,-135.7,-157.0,-160.0,-221.8,-111.9,,-128.7,-163.5,-213.0,,-153.5,-212.0,,-122.0,368.7,-106.0,-168.3,,-226.6,-209.8,-119.0,-82.6,-19.6,-123.0,-191.0,-103.3,-177.0,True,False,True,False,True,True,True,True,False,True,False,True,,True,True,True,True,True,True,False,False,True,True,True,True,False,True,,True,True,False,,True,False,,True,False,True,True,,False,False,True,True,True,True,False,True,True
Arkansas,2068,2012.6,2007.3,2012.0,2064.0,2023.0,2035.0,2004.0,2033.0,2077.6,2053.0,2113.0,2035.4,2115.8,,2171.2,2031.0,2015.0,2127.1,2110.3,2048.0,1950.9,2055.5,2094.7,2005.5,2031.6,1995.0,2052.8,2064.7,,1941.4,2067.5,2000.0,,2132.6,1894.1,,2088.0,1709.1,2058.0,1995.5,,2075.2,2059.4,2009.0,2014.6,1946.3,2047.0,2035.0,1952.1,1900.0,-55.4,-60.7,-56.0,-4.0,-45.0,-33.0,-64.0,-35.0,9.6,-15.0,45.0,-32.6,47.8,,103.2,-37.0,-53.0,59.1,42.3,-20.0,-117.1,-12.5,26.7,-62.5,-36.4,-73.0,-15.2,-3.3,,-126.6,-0.5,-68.0,,64.6,-173.9,,20.0,-358.9,-10.0,-72.5,,7.2,-8.6,-59.0,-53.4,-121.7,-21.0,-33.0,-115.9,-168.0,False,False,True,True,True,False,True,True,True,True,True,True,,False,True,True,False,True,True,False,True,True,False,True,False,True,True,,False,True,False,,False,False,,True,False,True,False,,True,True,False,True,False,True,True,False,False
California,17961,18061.9,18356.7,18115.5,18193.0,18117.0,18115.0,18118.0,18160.0,18065.5,17764.0,18054.8,18190.8,18209.5,,18120.8,18173.0,18194.0,18121.9,18092.3,18187.0,18057.9,18075.5,18164.5,17944.5,18110.5,17978.0,18176.7,18109.5,,17780.8,18141.2,17807.0,,18062.1,17693.4,,18266.0,17935.6,18371.0,18098.3,18376.0,17918.3,18188.7,18075.0,18194.0,18190.4,18222.0,17889.0,18072.1,17916.0,100.9,395.7,154.5,232.0,156.0,154.0,157.0,199.0,104.5,-197.0,93.8,229.8,248.5,,159.8,212.0,233.0,160.9,131.3,226.0,96.9,114.5,203.5,-16.5,149.5,17.0,215.7,148.5,,-180.2,180.2,-154.0,,101.1,-267.6,,305.0,-25.4,410.0,137.3,415.0,-42.7,227.7,114.0,233.0,229.4,261.0,-72.0,111.1,-45.0,False,False,False,False,False,False,False,False,False,True,False,False,,False,False,False,False,False,False,True,False,False,True,False,True,False,False,,False,False,False,,False,False,,False,True,False,False,False,True,False,False,False,False,False,True,False,True
Colorado,2389,2310.3,2280.5,2303.0,2330.0,2302.2,2338.0,2415.0,2390.0,2441.3,2410.0,2338.7,2373.5,2363.0,,2366.2,2301.0,2312.0,2347.9,2452.9,2346.0,2306.1,2318.5,2336.1,2350.2,2364.5,2392.0,2304.5,2356.9,,2337.3,2380.7,2260.0,,2352.5,2244.3,,2338.0,2414.4,2328.0,2285.8,,2370.7,2315.2,2371.0,2318.2,2632.7,2330.0,2342.5,2271.6,,-78.7,-108.5,-86.0,-59.0,-86.8,-51.0,26.0,1.0,52.3,21.0,-50.3,-15.5,-26.0,,-22.8,-88.0,-77.0,-41.1,63.9,-43.0,-82.9,-70.5,-52.9,-38.8,-24.5,3.0,-84.5,-32.1,,-51.7,-8.3,-129.0,,-36.5,-144.7,,-51.0,25.4,-61.0,-103.2,,-18.3,-73.8,-18.0,-70.8,243.7,-59.0,-46.5,-117.4,,False,False,True,False,True,True,True,True,True,True,True,True,,True,False,True,True,True,True,False,True,True,True,True,True,False,True,,True,True,False,,True,False,,True,True,True,False,,True,True,True,True,False,True,True,False,
Connecticut,4671,4642.0,4692.2,4644.6,4643.0,4648.0,4646.0,4639.0,4659.0,4657.3,4687.0,4630.2,4640.7,4655.1,,4551.2,4632.0,4627.0,4638.2,4695.5,4659.0,4613.3,4654.5,4658.2,4598.6,4629.7,4629.0,4654.4,4653.5,,4617.6,4655.0,4611.0,,4620.0,4612.1,,4651.0,5460.3,4618.0,4630.8,,4611.7,4666.7,4689.0,4622.9,5008.8,4653.0,4619.0,4578.1,,-29.0,21.2,-26.4,-28.0,-23.0,-25.0,-32.0,-12.0,-13.7,16.0,-40.8,-30.3,-15.9,,-119.8,-39.0,-44.0,-32.8,24.5,-12.0,-57.7,-16.5,-12.8,-72.4,-41.3,-42.0,-16.6,-17.5,,-53.4,-16.0,-60.0,,-51.0,-58.9,,-20.0,789.3,-53.0,-40.2,,-59.3,-4.3,18.0,-48.1,337.8,-18.0,-52.0,-92.9,,True,True,True,True,True,False,True,True,True,False,False,True,,False,False,False,False,True,True,False,True,True,False,False,False,True,True,,False,True,False,,False,False,,True,False,False,False,,False,True,True,False,False,True,False,False,
Delaware,716,710.7,711.6,711.3,706.0,712.0,708.0,705.0,703.0,705.9,707.0,728.5,710.0,711.2,,695.0,702.0,698.0,703.9,698.3,721.0,697.1,702.5,702.0,693.3,700.5,704.0,712.2,713.4,,703.1,713.2,691.0,,,697.7,,708.0,721.3,715.0,705.3,,703.6,724.8,702.0,717.3,752.9,710.0,714.0,696.0,713.0,-5.3,-4.4,-4.7,-10.0,-4.0,-8.0,-11.0,-13.0,-10.1,-9.0,12.5,-6.0,-4.8,,-21.0,-14.0,-18.0,-12.1,-17.7,5.0,-18.9,-13.5,-14.0,-22.7,-15.5,-12.0,-3.8,-2.6,,-12.9,-2.8,-25.0,,,-18.3,,-8.0,5.3,-1.0,-10.7,,-12.4,8.8,-14.0,1.3,36.9,-6.0,-2.0,-20.0,-3.0,True,True,False,True,False,False,False,False,False,False,False,True,,False,False,False,False,False,True,False,False,False,False,False,False,True,True,,False,True,False,,,False,,False,False,True,False,,False,False,False,True,False,False,True,False,True
District of Columbia,654,643.9,643.6,644.1,650.0,645.2,650.0,657.0,653.0,663.3,646.0,658.6,650.4,652.3,,660.1,643.0,647.0,647.1,661.3,649.0,649.1,642.0,655.8,651.2,642.5,651.0,,,,647.4,643.8,647.0,,,657.7,,651.0,681.3,659.0,645.8,,656.1,,650.0,,673.2,652.0,649.0,646.6,,-10.1,-10.4,-9.9,-4.0,-8.8,-4.0,3.0,-1.0,9.3,-8.0,4.6,-3.6,-1.7,,6.1,-11.0,-7.0,-6.9,7.3,-5.0,-4.9,-12.0,1.8,-2.8,-11.5,-3.0,,,,-6.6,-10.2,-7.0,,,3.7,,-3.0,27.3,5.0,-8.2,,2.1,,-4.0,,19.2,-2.0,-5.0,-7.4,,False,True,True,True,True,True,True,True,True,True,True,True,,True,False,True,True,True,True,True,False,True,True,False,True,,,,True,False,True,,,True,,True,False,True,True,,True,,True,,False,True,True,True,
Florida,17100,17287.0,17371.0,17432.1,17448.0,17416.6,17427.0,17451.0,18027.0,17898.6,17173.0,17371.2,17457.0,17645.3,,18261.8,17478.0,17584.0,17872.5,18128.3,17355.0,17185.8,17377.5,17892.7,17192.3,17350.6,17365.0,17470.6,17353.0,,17242.6,17595.2,17216.0,,17642.1,17391.9,,17836.0,18601.5,17553.0,17329.5,,17328.1,17480.7,17392.0,17427.2,17065.5,17808.0,17403.0,17245.9,17499.0,187.0,271.0,332.1,348.0,316.6,327.0,351.0,927.0,798.6,73.0,271.2,357.0,545.3,,1161.8,378.0,484.0,772.5,1028.3,255.0,85.8,277.5,792.7,92.3,250.6,265.0,370.6,253.0,,142.6,495.2,116.0,,542.1,291.9,,736.0,1501.5,453.0,229.5,,228.1,380.7,292.0,327.2,-34.5,708.0,303.0,145.9,399.0,False,False,False,False,False,False,False,False,True,False,False,False,,False,False,False,False,False,False,True,False,False,True,False,False,False,False,,True,False,True,,False,False,,False,False,False,False,,False,False,False,False,True,False,False,True,False
