,actual_deaths,Baseline,BPagano-RtDriven,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,NotreDame-FRED,NotreDame-mobility,PSI-DRAFT,QJHong-Encounter,RobertWalraven-ESG,STH-3PU,UCLA-SuEIR,UCM_MESALab-FoGSEIR,USC-SI_kJalpha,WalmartLabsML-LogForecasting,error-Baseline,error-BPagano-RtDriven,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-NotreDame-FRED,error-NotreDame-mobility,error-PSI-DRAFT,error-QJHong-Encounter,error-RobertWalraven-ESG,error-STH-3PU,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-USC-SI_kJalpha,error-WalmartLabsML-LogForecasting,beat_baseline-BPagano-RtDriven,beat_baseline-COVIDhub-baseline,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-WalmartLabsML-LogForecasting
Alabama,3082,2834.9,2622.9,2843.0,2799.0,2857.9,2755.0,2917.0,2905.9,2835.2,2905.2,2805.3,2783.7,,3052.7,2845.0,,2670.3,,2837.7,,2809.0,2837.6,-247.1,-459.1,-239.0,-283.0,-224.1,-327.0,-165.0,-176.1,-246.8,-176.8,-276.7,-298.3,,-29.3,-237.0,,-411.7,,-244.3,,-273.0,-244.4,False,True,False,True,False,True,True,True,True,False,False,,True,True,,False,,True,,False,True
Alaska,84,67.7,65.1,88.0,134.0,103.7,83.0,,75.5,101.1,98.9,98.9,76.2,,64.3,86.0,,64.9,,68.0,,112.0,68.6,-16.3,-18.9,4.0,50.0,19.7,-1.0,,-8.5,17.1,14.9,14.9,-7.8,,-19.7,2.0,,-19.1,,-16.0,,28.0,-15.4,False,True,False,False,True,,True,False,True,True,True,,False,True,,False,,True,,False,True
Arizona,6147,6109.1,5824.4,6124.9,6284.0,6380.3,6153.0,6155.0,6339.0,6275.2,6029.3,6356.5,6044.7,,5928.2,6153.0,,5755.7,,6146.4,,6085.0,6208.3,-37.9,-322.6,-22.1,137.0,233.3,6.0,8.0,192.0,128.2,-117.7,209.5,-102.3,,-218.8,6.0,,-391.3,,-0.6,,-62.0,61.3,False,True,False,False,True,True,False,False,False,False,False,,False,True,,False,,True,,False,False
Arkansas,2068,1993.3,1975.6,2017.1,2118.0,2159.2,1941.0,2043.0,2159.9,2048.5,1800.4,2021.0,1739.2,,1672.7,1810.0,,1780.6,,1872.8,,1984.0,1697.2,-74.7,-92.4,-50.9,50.0,91.2,-127.0,-25.0,91.9,-19.5,-267.6,-47.0,-328.8,,-395.3,-258.0,,-287.4,,-195.2,,-84.0,-370.8,False,True,True,False,False,True,False,True,False,True,False,,False,False,,False,,False,,False,False
California,17961,18774.7,17718.2,18774.7,19145.0,18333.3,17813.0,18465.0,18380.9,18292.1,18729.7,18027.4,17808.9,,17774.1,17246.0,,17181.8,,18393.6,20384.0,18689.0,17926.9,813.7,-242.8,813.7,1184.0,372.3,-148.0,504.0,419.9,331.1,768.7,66.4,-152.1,,-186.9,-715.0,,-779.2,,432.6,2423.0,728.0,-34.1,True,True,False,True,True,True,True,True,True,True,True,,True,True,,True,,True,False,True,True
Colorado,2389,2199.1,2185.0,2177.4,2383.0,2304.6,2281.0,2212.0,2280.5,2375.5,2277.8,2235.5,2167.6,,2245.7,2156.0,,2126.7,,2138.3,,2251.0,2131.9,-189.9,-204.0,-211.6,-6.0,-84.4,-108.0,-177.0,-108.5,-13.5,-111.2,-153.5,-221.4,,-143.3,-233.0,,-262.3,,-250.7,,-138.0,-257.1,False,False,True,True,True,True,True,True,True,True,False,,True,False,,False,,False,,True,False
Connecticut,4671,4571.3,4624.5,4641.1,4574.0,4590.4,4593.0,4602.0,4573.4,4697.7,4599.3,4556.8,4541.0,,4588.8,4517.0,,4531.6,,4554.5,,4581.0,4528.5,-99.7,-46.5,-29.9,-97.0,-80.6,-78.0,-69.0,-97.6,26.7,-71.7,-114.2,-130.0,,-82.2,-154.0,,-139.4,,-116.5,,-90.0,-142.5,True,True,True,True,True,True,True,True,True,False,False,,True,False,,False,,False,,True,False
Delaware,716,703.3,717.1,710.4,680.0,703.8,681.0,670.0,684.2,702.1,681.4,691.0,672.2,,715.9,665.0,,654.2,,666.1,,699.0,680.1,-12.7,1.1,-5.6,-36.0,-12.2,-35.0,-46.0,-31.8,-13.9,-34.6,-25.0,-43.8,,-0.1,-51.0,,-61.8,,-49.9,,-17.0,-35.9,True,True,False,True,False,False,False,False,False,False,False,,True,False,,False,,False,,False,False
District of Columbia,654,665.0,676.7,657.5,644.0,648.9,637.0,640.0,646.9,653.8,650.9,650.0,642.0,,648.4,647.0,,643.0,,645.7,,653.0,641.5,11.0,22.7,3.5,-10.0,-5.1,-17.0,-14.0,-7.1,-0.2,-3.1,-4.0,-12.0,,-5.6,-7.0,,-11.0,,-8.3,,-1.0,-12.5,False,True,True,True,False,False,True,True,True,True,False,,True,True,,True,,True,,True,False
Florida,17100,17774.7,17028.9,17657.9,17511.0,17364.1,16527.0,17036.0,17445.9,16938.8,17104.9,17465.8,16528.5,,18343.3,16566.0,,16268.6,,17057.3,,17207.0,16499.9,674.7,-71.1,557.9,411.0,264.1,-573.0,-64.0,345.9,-161.2,4.9,365.8,-571.5,,1243.3,-534.0,,-831.4,,-42.7,,107.0,-600.1,True,True,True,True,True,True,True,True,True,True,True,,False,True,,False,,True,,True,True
