,actual_deaths,Baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,MIT_CritData-GBCF,MOBS-GLEAM_COVID,MSRA-DeepST,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,STH-3PU,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UT-Mobility,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-MSRA-DeepST,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-STH-3PU,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UT-Mobility,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-MSRA-DeepST,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Alabama,3082,3142.3,3437.6,3160.7,3123.0,3160.0,3070.0,2987.0,3045.0,2879.0,2900.0,3024.1,2997.5,2996.4,,3016.3,2941.0,3053.0,2948.8,3287.1,2985.8,3193.2,3021.4,3106.5,2958.6,3065.0,3116.1,3102.9,,3081.2,3181.9,2952.0,,3025.4,3153.0,,3111.0,3596.8,3106.0,2966.6,,3135.3,3058.0,3115.4,3182.0,3037.5,2994.6,3166.0,60.3,355.6,78.7,41.0,78.0,-12.0,-95.0,-37.0,-203.0,-182.0,-57.9,-84.5,-85.6,,-65.7,-141.0,-29.0,-133.2,205.1,-96.2,111.2,-60.6,24.5,-123.4,-17.0,34.1,20.9,,-0.8,99.9,-130.0,,-56.6,71.0,,29.0,514.8,24.0,-115.4,,53.3,-24.0,33.4,100.0,-44.5,-87.4,84.0,False,False,True,False,True,False,True,False,False,True,False,False,,False,False,True,False,False,False,False,False,True,False,True,True,True,,True,False,False,,True,False,,True,False,True,False,,True,True,True,False,True,False,False
Alaska,84,87.0,156.0,88.9,91.0,88.0,88.0,88.0,92.4,90.3,78.0,87.4,81.1,83.1,,68.7,,78.1,84.2,115.2,89.9,97.3,81.8,77.9,96.1,121.0,95.1,99.8,,89.1,93.5,81.0,,,82.1,,88.0,80.0,99.0,75.0,,93.0,91.0,77.9,91.0,77.0,75.1,82.0,3.0,72.0,4.9,7.0,4.0,4.0,4.0,8.4,6.3,-6.0,3.4,-2.9,-0.9,,-15.3,,-5.9,0.2,31.2,5.9,13.3,-2.2,-6.1,12.1,37.0,11.1,15.8,,5.1,9.5,-3.0,,,-1.9,,4.0,-4.0,15.0,-9.0,,9.0,7.0,-6.1,7.0,-7.0,-8.9,-2.0,False,False,False,False,False,False,False,False,False,False,True,True,,False,,False,True,False,False,False,True,False,False,False,False,False,,False,False,False,,,True,,False,False,False,False,,False,False,False,False,False,False,True
Arizona,6147,6021.3,6253.2,6026.4,6000.0,6020.8,6035.0,6071.0,6025.2,5981.9,5948.0,6074.1,6110.2,6129.4,,6108.7,5987.0,6099.5,6043.8,6025.5,5968.0,6098.3,6027.0,6016.3,6066.5,6027.0,5927.1,6150.7,,5994.1,6079.1,5926.0,,6025.2,6034.3,,6046.0,7390.8,6030.0,6040.7,,5942.6,6139.0,6196.0,6082.0,5946.0,6121.9,,-125.7,106.2,-120.6,-147.0,-126.2,-112.0,-76.0,-121.8,-165.1,-199.0,-72.9,-36.8,-17.6,,-38.3,-160.0,-47.5,-103.2,-121.5,-179.0,-48.7,-120.0,-130.7,-80.5,-120.0,-219.9,3.7,,-152.9,-67.9,-221.0,,-121.8,-112.7,,-101.0,1243.8,-117.0,-106.3,,-204.4,-8.0,49.0,-65.0,-201.0,-25.1,,True,True,False,False,True,True,True,False,False,True,True,True,,True,False,True,True,True,False,True,True,False,True,True,False,True,,False,True,False,,True,True,,True,False,True,True,,False,True,True,True,False,True,
Arkansas,2068,2089.7,2110.9,2028.5,2096.0,2079.9,2064.0,1994.0,2037.9,1895.6,1952.0,2177.7,2042.1,2055.1,,2153.0,2116.0,2170.5,2059.7,2082.3,1931.8,2160.4,2004.0,2089.0,2026.9,2012.0,2131.9,2060.4,,1898.1,2200.4,2012.0,,2114.2,2087.1,,2110.0,1705.9,2160.0,2001.4,,2141.4,2064.0,2080.3,2125.0,2087.0,1910.5,1948.0,21.7,42.9,-39.5,28.0,11.9,-4.0,-74.0,-30.1,-172.4,-116.0,109.7,-25.9,-12.9,,85.0,48.0,102.5,-8.3,14.3,-136.2,92.4,-64.0,21.0,-41.1,-56.0,63.9,-7.6,,-169.9,132.4,-56.0,,46.2,19.1,,42.0,-362.1,92.0,-66.6,,73.4,-4.0,12.3,57.0,19.0,-157.5,-120.0,False,False,False,True,True,False,False,False,False,False,False,True,,False,False,False,True,True,False,False,False,True,False,False,False,True,,False,False,False,,False,True,,False,False,False,False,,False,True,True,False,True,False,False
California,17961,18121.9,18448.3,18081.9,17967.0,18123.4,18075.0,17888.0,18381.8,17864.4,18138.0,17995.3,18207.9,18054.4,,18211.9,17994.0,18323.9,18139.8,18276.8,18172.3,18243.4,17662.1,18045.7,17906.9,18098.0,17747.7,18125.5,,17451.9,17903.2,18082.0,,18226.4,18008.0,,18239.0,16972.7,18066.0,18082.3,18092.0,17746.7,18030.0,18300.4,18009.0,17842.0,18065.3,17868.0,160.9,487.3,120.9,6.0,162.4,114.0,-73.0,420.8,-96.6,177.0,34.3,246.9,93.4,,250.9,33.0,362.9,178.8,315.8,211.3,282.4,-298.9,84.7,-54.1,137.0,-213.3,164.5,,-509.1,-57.8,121.0,,265.4,47.0,,278.0,-988.3,105.0,121.3,131.0,-214.3,69.0,339.4,48.0,-119.0,104.3,-93.0,False,True,True,False,True,True,False,True,False,True,False,True,,False,True,False,False,False,False,False,False,True,True,True,False,False,,False,True,True,,False,True,,False,False,True,True,True,False,True,False,True,True,True,True
Colorado,2389,2356.0,2485.4,2367.4,2357.0,2368.1,2335.0,2406.0,2415.9,2288.6,2292.0,2318.5,2431.9,2324.0,,2404.8,2298.0,2315.8,2393.4,2421.7,2307.6,2397.8,2300.0,2386.5,2293.7,2389.0,2270.9,2350.1,,2318.2,2447.9,2264.0,,2287.1,2282.1,,2319.0,2651.2,2354.0,2218.9,,2287.3,2364.0,2315.1,2432.0,2357.0,2244.5,2371.0,-33.0,96.4,-21.6,-32.0,-20.9,-54.0,17.0,26.9,-100.4,-97.0,-70.5,42.9,-65.0,,15.8,-91.0,-73.2,4.4,32.7,-81.4,8.8,-89.0,-2.5,-95.3,0.0,-118.1,-38.9,,-70.8,58.9,-125.0,,-101.9,-106.9,,-70.0,262.2,-35.0,-170.1,,-101.7,-25.0,-73.9,43.0,-32.0,-144.5,-18.0,False,True,True,True,False,True,True,False,False,False,False,False,,True,False,False,True,True,False,True,False,True,False,True,False,False,,False,False,False,,False,False,,False,False,False,False,,False,True,False,False,True,False,True
Connecticut,4671,4576.3,4576.5,4578.5,4578.0,4590.6,4587.0,4628.0,4629.9,4600.0,4599.0,4602.6,4591.9,4664.8,,4559.8,4595.0,4589.6,4711.8,4611.5,4593.5,4631.1,4566.3,4584.9,4715.6,4604.0,4565.5,4620.8,,4585.3,4595.4,4570.0,,4577.8,4581.6,,4604.0,5354.7,4571.0,4569.5,,4579.0,4614.0,4583.2,4611.0,4583.0,4682.7,4578.0,-94.7,-94.5,-92.5,-93.0,-80.4,-84.0,-43.0,-41.1,-71.0,-72.0,-68.4,-79.1,-6.2,,-111.2,-76.0,-81.4,40.8,-59.5,-77.5,-39.9,-104.7,-86.1,44.6,-67.0,-105.5,-50.2,,-85.7,-75.6,-101.0,,-93.2,-89.4,,-67.0,683.7,-100.0,-101.5,,-92.0,-57.0,-87.8,-60.0,-88.0,11.7,-93.0,True,True,True,True,True,True,True,True,True,True,True,True,,False,True,True,True,True,True,True,False,True,True,True,False,True,,True,True,False,,True,True,,True,False,False,False,,True,True,True,True,True,True,True
Delaware,716,696.4,691.8,696.5,703.0,698.0,700.0,703.0,703.0,700.0,696.0,723.0,720.4,707.9,,699.6,685.0,692.0,705.2,703.4,685.7,702.9,684.2,689.3,710.6,699.0,701.5,702.4,,701.5,700.6,682.0,,,693.0,,699.0,788.0,702.0,688.5,,715.6,693.0,720.5,697.0,706.0,691.7,698.0,-19.6,-24.2,-19.5,-13.0,-18.0,-16.0,-13.0,-13.0,-16.0,-20.0,7.0,4.4,-8.1,,-16.4,-31.0,-24.0,-10.8,-12.6,-30.3,-13.1,-31.8,-26.7,-5.4,-17.0,-14.5,-13.6,,-14.5,-15.4,-34.0,,,-23.0,,-17.0,72.0,-14.0,-27.5,,-0.4,-23.0,4.5,-19.0,-10.0,-24.3,-18.0,False,True,True,True,True,True,True,True,False,True,True,True,,True,False,False,True,True,False,True,False,False,True,True,True,True,,True,True,False,,,False,,True,False,True,False,,True,False,True,True,True,False,True
District of Columbia,654,652.4,659.4,656.4,658.0,657.0,658.0,658.0,672.2,655.1,645.0,663.7,655.5,662.7,,661.5,645.0,653.3,668.3,663.8,654.2,657.3,652.6,644.5,663.2,659.0,,,,649.2,659.5,658.0,,,658.1,,662.0,684.4,674.0,647.2,,,655.0,,666.0,656.0,664.5,659.0,-1.6,5.4,2.4,4.0,3.0,4.0,4.0,18.2,1.1,-9.0,9.7,1.5,8.7,,7.5,-9.0,-0.7,14.3,9.8,0.2,3.3,-1.4,-9.5,9.2,5.0,,,,-4.8,5.5,4.0,,,4.1,,8.0,30.4,20.0,-6.8,,,1.0,,12.0,2.0,10.5,5.0,False,False,False,False,False,False,False,True,False,False,True,False,,False,False,True,False,False,True,False,True,False,False,False,,,,False,False,False,,,False,,False,False,False,False,,,True,,False,False,False,False
Florida,17100,17689.9,18535.2,18076.4,17839.0,18110.8,17702.0,17704.0,18106.8,17037.6,17026.0,17643.3,17670.4,17309.5,,18047.1,17322.0,18043.8,17699.5,17773.5,17210.3,17563.3,17443.2,17697.8,17366.3,17506.0,17528.7,17468.0,,17053.2,18385.9,17019.0,,18115.9,17806.6,,18046.0,15238.3,17855.0,17683.4,,17566.2,17550.0,17842.8,18138.0,18328.0,17269.3,17980.0,589.9,1435.2,976.4,739.0,1010.8,602.0,604.0,1006.8,-62.4,-74.0,543.3,570.4,209.5,,947.1,222.0,943.8,599.5,673.5,110.3,463.3,343.2,597.8,266.3,406.0,428.7,368.0,,-46.8,1285.9,-81.0,,1015.9,706.6,,946.0,-1861.7,755.0,583.4,,466.2,450.0,742.8,1038.0,1228.0,169.3,880.0,False,False,False,False,False,False,False,True,True,True,True,True,,False,True,False,False,False,True,True,True,False,True,True,True,True,,True,False,True,,False,False,,False,False,False,True,,True,True,False,False,False,True,False
