,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR
Alabama,3082,3261.6,2519.7,4063.4,2890.0,,2980.9,179.6,-562.3,981.4,-192.0,,-101.1,False,False,False,,True
Alaska,84,75.4,89.0,31.1,,,51.5,-8.6,5.0,-52.9,,,-32.5,True,False,,,False
Arizona,6147,7648.1,4596.6,7783.6,7712.0,,6903.3,1501.1,-1550.4,1636.6,1565.0,,756.3,False,False,False,,True
Arkansas,2068,1642.4,1090.4,1576.1,1386.0,,1291.2,-425.6,-977.6,-491.9,-682.0,,-776.8,False,False,False,,False
California,17961,22033.0,17196.9,32083.7,21572.0,,19618.2,4072.0,-764.1,14122.7,3611.0,,1657.2,True,False,True,,True
Colorado,2389,2156.9,2148.7,2242.6,2258.0,,2072.3,-232.1,-240.3,-146.4,-131.0,,-316.7,False,True,True,,False
Connecticut,4671,4536.0,4523.2,4582.1,4591.0,,4528.2,-135.0,-147.8,-88.9,-80.0,,-142.8,False,True,True,,False
Delaware,716,676.0,657.1,644.7,653.0,,653.0,-40.0,-58.9,-71.3,-63.0,,-63.0,False,False,False,,False
District of Columbia,654,680.0,645.6,715.2,633.0,,645.4,26.0,-8.4,61.2,-21.0,,-8.6,True,False,True,,True
Florida,17100,19803.3,11945.0,19461.1,18710.0,,17894.7,2703.3,-5155.0,2361.1,1610.0,,794.7,False,True,True,,True
Georgia,8647,9800.6,6769.4,10076.1,7080.0,,8431.9,1153.6,-1877.6,1429.1,-1567.0,,-215.1,False,False,False,,True
Hawaii,220,123.0,512.6,121.2,,,136.0,-97.0,292.6,-98.8,,,-84.0,False,False,,,True
Idaho,683,719.6,531.1,647.0,477.0,,553.6,36.6,-151.9,-36.0,-206.0,,-129.4,False,True,False,,False
Illinois,10488,9543.9,9679.1,9625.2,9078.0,,9011.3,-944.1,-808.9,-862.8,-1410.0,,-1476.7,True,True,False,,False
Indiana,4592,4164.6,3899.7,5185.9,3951.0,,3778.1,-427.4,-692.3,593.9,-641.0,,-813.9,False,False,False,,False
Iowa,1842,1710.1,1592.3,2058.6,1532.0,,1514.6,-131.9,-249.7,216.6,-310.0,,-327.4,False,False,False,,False
Kansas,1166,643.1,859.8,825.9,644.0,,644.8,-522.9,-306.2,-340.1,-522.0,,-521.2,True,True,True,,True
Kentucky,1561,1545.1,1385.8,1808.6,1194.0,,1576.2,-15.9,-175.2,247.6,-367.0,,15.2,False,False,False,,True
Louisiana,6016,7340.9,4915.4,7257.3,6503.0,,6915.4,1324.9,-1100.6,1241.3,487.0,,899.4,True,True,True,,True
Maine,151,174.4,150.5,145.1,189.0,,143.9,23.4,-0.5,-5.9,38.0,,-7.1,True,True,False,,True
Maryland,4201,4255.6,4136.6,4525.7,3947.0,,4050.7,54.6,-64.4,324.7,-254.0,,-150.3,False,False,False,,False
Massachusetts,10129,9822.1,8944.2,10638.0,10011.0,,9404.4,-306.9,-1184.8,509.0,-118.0,,-724.6,False,False,True,,False
Michigan,7945,7386.4,7274.7,8287.8,7441.0,,7057.1,-558.6,-670.3,342.8,-504.0,,-887.9,False,True,True,,False
