,actual_deaths,Baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MOBS-GLEAM_COVID,MSRA-DeepST,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,STH-3PU,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,USC-SI_kJalpha_RF,UT-Mobility,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-MSRA-DeepST,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-STH-3PU,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-USC-SI_kJalpha_RF,error-UT-Mobility,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-MSRA-DeepST,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-USC-SI_kJalpha_RF,beat_baseline-UT-Mobility,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Alabama,3082,3064.7,3057.7,3074.1,3045.0,3068.0,3072.0,3061.0,3076.6,3135.0,3177.4,3024.0,3066.2,3044.0,3053.9,3084.1,,3073.0,3047.0,3066.7,3106.4,3085.0,3029.8,3054.0,3088.4,3073.0,3065.0,3086.0,3071.5,3081.3,,3095.6,3072.0,3086.0,,3044.6,2904.8,,3085.0,3088.0,3090.0,3070.4,,3092.9,3074.8,3060.0,3073.9,3087.0,3069.7,3068.0,3040.6,3084.0,-17.3,-24.3,-7.9,-37.0,-14.0,-10.0,-21.0,-5.4,53.0,95.4,-58.0,-15.8,-38.0,-28.1,2.1,,-9.0,-35.0,-15.3,24.4,3.0,-52.2,-28.0,6.4,-9.0,-17.0,4.0,-10.5,-0.7,,13.6,-10.0,4.0,,-37.4,-177.2,,3.0,6.0,8.0,-11.6,,10.9,-7.2,-22.0,-8.1,5.0,-12.3,-14.0,-41.4,2.0,False,True,False,True,True,False,True,False,False,False,True,False,False,True,,True,False,True,False,True,False,False,True,True,True,True,True,True,,True,True,True,,False,False,,True,True,True,True,,True,True,False,True,True,True,True,False,True
Alaska,84,95.9,84.4,95.0,92.0,96.0,90.0,95.0,96.3,89.0,83.9,89.0,90.9,87.3,97.6,89.3,,,,88.1,80.3,99.0,89.5,83.0,93.8,88.0,96.1,116.0,96.2,98.7,,90.4,100.6,87.0,,,68.1,,91.0,98.7,92.0,86.4,,90.4,94.8,91.0,85.6,95.0,95.9,90.0,86.6,94.0,11.9,0.4,11.0,8.0,12.0,6.0,11.0,12.3,5.0,-0.1,5.0,6.9,3.3,13.6,5.3,,,,4.1,-3.7,15.0,5.5,-1.0,9.8,4.0,12.1,32.0,12.2,14.7,,6.4,16.6,3.0,,,-15.9,,7.0,14.7,8.0,2.4,,6.4,10.8,7.0,1.6,11.0,11.9,6.0,2.6,10.0,True,True,True,False,True,True,False,True,True,True,True,True,False,True,,,,True,True,False,True,True,True,True,False,False,False,False,,True,False,True,,,False,,True,False,True,True,,True,True,True,True,True,False,True,True,True
Arizona,6147,6069.0,6043.6,6090.9,6041.0,6089.0,6063.0,6078.0,6086.1,6039.0,6016.1,6007.0,6049.5,6075.4,6106.0,6064.1,,6117.0,6009.0,6061.8,6014.7,6059.0,6021.9,6041.0,6067.7,6085.0,6069.3,6043.0,6099.5,6063.5,,6062.5,6069.0,6033.0,,6038.7,5918.7,,6066.0,6281.7,6058.0,6111.6,,6016.7,6107.9,6077.0,6114.9,6114.0,6075.8,6043.0,6059.2,6102.0,-78.0,-103.4,-56.1,-106.0,-58.0,-84.0,-69.0,-60.9,-108.0,-130.9,-140.0,-97.5,-71.6,-41.0,-82.9,,-30.0,-138.0,-85.2,-132.3,-88.0,-125.1,-106.0,-79.3,-62.0,-77.7,-104.0,-47.5,-83.5,,-84.5,-78.0,-114.0,,-108.3,-228.3,,-81.0,134.7,-89.0,-35.4,,-130.3,-39.1,-70.0,-32.1,-33.0,-71.2,-104.0,-87.8,-45.0,False,True,False,True,False,True,True,False,False,False,False,True,True,False,,True,False,False,False,False,False,False,False,True,True,False,True,False,,False,False,False,,False,False,,False,False,False,True,,False,True,True,True,True,True,False,False,True
Arkansas,2068,2083.1,2064.3,2053.5,2048.0,2053.0,2061.0,2037.0,2031.2,2073.0,2090.8,2072.0,2088.4,2034.2,2036.7,2072.8,,2048.0,2047.0,2077.9,2035.0,2057.0,2001.6,2054.0,2062.8,2063.0,2079.2,2033.0,2066.1,2060.9,,2035.5,2084.3,2047.0,,2064.6,1992.5,,2058.0,1919.8,2031.0,2049.8,,2062.1,2069.3,2078.0,2036.6,2060.0,2044.1,2071.0,2031.2,1940.0,15.1,-3.7,-14.5,-20.0,-15.0,-7.0,-31.0,-36.8,5.0,22.8,4.0,20.4,-33.8,-31.3,4.8,,-20.0,-21.0,9.9,-33.0,-11.0,-66.4,-14.0,-5.2,-5.0,11.2,-35.0,-1.9,-7.1,,-32.5,16.3,-21.0,,-3.4,-75.5,,-10.0,-148.2,-37.0,-18.2,,-5.9,1.3,10.0,-31.4,-8.0,-23.9,3.0,-36.8,-128.0,True,True,False,True,True,False,False,True,False,True,False,False,False,True,,False,False,True,False,True,False,True,True,True,True,False,True,True,,False,False,False,,True,False,,True,False,False,False,,True,True,True,False,True,False,True,False,False
California,17961,17939.3,18138.5,17984.2,17942.0,17975.0,18005.0,18005.0,18006.1,18070.0,18082.3,17871.0,17948.5,18028.8,18038.3,18059.9,,17988.0,18027.0,18034.3,18125.5,17995.0,17995.8,17985.5,18021.6,17994.0,17983.1,17964.0,17850.3,17982.2,,17858.7,17993.3,18113.0,,18013.3,17866.4,,18061.0,16574.2,18050.0,17964.3,17995.0,17946.6,17852.0,18006.0,18029.3,18045.0,18006.9,17904.0,18020.7,17948.0,-21.7,177.5,23.2,-19.0,14.0,44.0,44.0,45.1,109.0,121.3,-90.0,-12.5,67.8,77.3,98.9,,27.0,66.0,73.3,164.5,34.0,34.8,24.5,60.6,33.0,22.1,3.0,-110.7,21.2,,-102.3,32.3,152.0,,52.3,-94.6,,100.0,-1386.8,89.0,3.3,34.0,-14.4,-109.0,45.0,68.3,84.0,45.9,-57.0,59.7,-13.0,False,False,True,True,False,False,False,False,False,False,True,False,False,False,,False,False,False,False,False,False,False,False,False,False,True,False,True,,False,False,False,,False,False,,False,False,False,True,False,True,False,False,False,False,False,False,False,True
Colorado,2389,2343.7,2323.3,2353.1,2361.0,2352.0,2354.0,2425.0,2365.2,2388.0,2410.3,2416.0,2358.8,2391.4,2349.6,2382.9,,2348.0,2354.0,2351.3,2369.8,2360.0,2330.7,2352.5,2363.0,2364.0,2387.8,2382.0,2347.0,2360.7,,2348.6,2369.9,2336.0,,2332.3,2261.2,,2335.0,2433.2,2325.0,2354.5,,2363.1,2350.5,2368.0,2340.1,2373.0,2361.1,2354.0,2316.0,2359.0,-45.3,-65.7,-35.9,-28.0,-37.0,-35.0,36.0,-23.8,-1.0,21.3,27.0,-30.2,2.4,-39.4,-6.1,,-41.0,-35.0,-37.7,-19.2,-29.0,-58.3,-36.5,-26.0,-25.0,-1.2,-7.0,-42.0,-28.3,,-40.4,-19.1,-53.0,,-56.7,-127.8,,-54.0,44.2,-64.0,-34.5,,-25.9,-38.5,-21.0,-48.9,-16.0,-27.9,-35.0,-73.0,-30.0,False,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,False,True,True,True,True,True,True,True,,True,True,False,,False,False,,False,True,False,True,,True,True,True,False,True,True,True,False,True
Connecticut,4671,4649.4,4663.8,4656.2,4658.0,4655.0,4659.0,4659.0,4661.4,4682.0,4674.5,4676.0,4647.3,4662.8,4659.7,4666.3,,4647.0,4649.0,4661.9,4680.8,4652.0,4636.0,4659.0,4663.1,4660.0,4651.5,4648.0,4654.7,4663.4,,4637.9,4664.2,4632.0,,4651.9,4642.1,,4665.0,5258.1,4640.0,4651.8,,4666.6,4658.4,4662.0,4646.5,4657.0,4660.0,4643.0,4612.5,4652.0,-21.6,-7.2,-14.8,-13.0,-16.0,-12.0,-12.0,-9.6,11.0,3.5,5.0,-23.7,-8.2,-11.3,-4.7,,-24.0,-22.0,-9.1,9.8,-19.0,-35.0,-12.0,-7.9,-11.0,-19.5,-23.0,-16.3,-7.6,,-33.1,-6.8,-39.0,,-19.1,-28.9,,-6.0,587.1,-31.0,-19.2,,-4.4,-12.6,-9.0,-24.5,-14.0,-11.0,-28.0,-58.5,-19.0,True,True,True,True,True,True,True,True,True,True,False,True,True,True,,False,False,True,True,True,False,True,True,True,True,False,True,True,,False,True,False,,True,False,,True,False,False,True,,True,True,True,False,True,True,False,False,True
Delaware,716,734.9,726.3,734.2,723.0,736.0,727.0,723.0,726.0,726.0,706.0,720.0,735.5,726.6,749.6,719.8,,721.0,718.0,730.0,703.2,731.0,717.5,722.0,723.1,722.0,726.3,722.0,730.2,733.7,,724.9,740.7,722.0,,,731.6,,728.0,717.8,737.0,711.1,,727.6,734.5,727.0,727.7,733.0,732.8,733.0,718.5,739.0,18.9,10.3,18.2,7.0,20.0,11.0,7.0,10.0,10.0,-10.0,4.0,19.5,10.6,33.6,3.8,,5.0,2.0,14.0,-12.8,15.0,1.5,6.0,7.1,6.0,10.3,6.0,14.2,17.7,,8.9,24.7,6.0,,,15.6,,12.0,1.8,21.0,-4.9,,11.6,18.5,11.0,11.7,17.0,16.8,17.0,2.5,23.0,True,True,True,False,True,True,True,True,True,True,False,True,False,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,False,True,,,True,,True,True,False,True,,True,True,True,True,True,True,True,True,False
District of Columbia,654,649.4,646.6,650.4,649.0,650.0,650.0,656.0,650.5,649.0,653.3,648.0,651.2,651.0,654.9,652.3,,649.0,649.0,648.9,648.8,650.0,649.7,646.0,650.1,649.0,646.2,650.0,,,,649.0,651.1,650.0,,,644.3,,649.0,648.5,652.0,648.0,,651.7,,650.0,,649.0,649.8,651.0,647.3,,-4.6,-7.4,-3.6,-5.0,-4.0,-4.0,2.0,-3.5,-5.0,-0.7,-6.0,-2.8,-3.0,0.9,-1.7,,-5.0,-5.0,-5.1,-5.2,-4.0,-4.3,-8.0,-3.9,-5.0,-7.8,-4.0,,,,-5.0,-2.9,-4.0,,,-9.7,,-5.0,-5.5,-2.0,-6.0,,-2.3,,-4.0,,-5.0,-4.2,-3.0,-6.7,,False,True,False,True,True,True,True,False,True,False,True,True,True,True,,False,False,False,False,True,True,False,True,False,False,True,,,,False,True,True,,,False,,False,False,True,False,,True,,True,,False,True,True,False,
Florida,17100,17097.6,17253.9,17124.3,17140.0,17105.0,17197.0,17313.0,17193.3,17355.0,17684.5,17110.0,17230.2,17244.1,16935.2,17370.0,,17149.0,17257.0,17398.1,17486.0,17126.0,17076.1,17159.5,17317.0,17053.0,17140.9,17205.0,17044.2,17139.1,,17160.2,17146.7,17183.0,,17224.5,16675.0,,17297.0,16967.5,17212.0,17061.7,,17237.4,17038.1,17214.0,17049.1,17223.0,17189.4,17099.0,17174.3,17166.0,-2.4,153.9,24.3,40.0,5.0,97.0,213.0,93.3,255.0,584.5,10.0,130.2,144.1,-164.8,270.0,,49.0,157.0,298.1,386.0,26.0,-23.9,59.5,217.0,-47.0,40.9,105.0,-55.8,39.1,,60.2,46.7,83.0,,124.5,-425.0,,197.0,-132.5,112.0,-38.3,,137.4,-61.9,114.0,-50.9,123.0,89.4,-1.0,74.3,66.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,False,False,,False,False,False,False,,False,False,False,False,False,False,True,False,False
