,mean_rank
OliverWyman-Navigator,14.4
SteveMcConnell-CovidComplete,14.7
MSRA-DeepST,15.0
Karlen-pypm,15.0
UMass-MechBayes,16.1
COVIDhub-ensemble,16.4
USC-SI_kJalpha,16.4
MOBS-GLEAM_COVID,17.1
UCSD_NEU-DeepGLEAM,18.0
Google_Harvard-CPF,18.2
LNQ-ens1,18.7
UA-EpiCovDA,18.8
Columbia_UNC-SurvCon,19.3
JCB-PRM,19.3
Covid19Sim-Simulator,19.7
CMU-TimeSeries,19.9
JHU_CSSE-DECOM,19.9
CU-select,20.2
MIT_CritData-GBCF,20.8
COVIDhub-baseline,21.0
DDS-NBDS,21.1
CEID-Walk,21.4
GT-DeepCOVID,21.4
UT-Mobility,21.9
JHUAPL-Bucky,21.9
UMich-RidgeTfReg,22.2
BPagano-RtDriven,22.3
IowaStateLW-STEM,23.1
epiforecasts-ensemble1,23.7
LANL-GrowthRate,23.9
CovidAnalytics-DELPHI,24.2
NotreDame-mobility,24.6
IQVIA_ACOE-STAN,25.2
JHU_UNC_GAS-StatMechPool,25.5
IHME-CurveFit,25.8
UCLA-SuEIR,26.3
USACE-ERDC_SEIR,27.8
PSI-DRAFT,27.9
JHU_IDD-CovidSP,28.2
UCSB-ACTS,28.3
TTU-squider,31.2
RobertWalraven-ESG,34.5
WalmartLabsML-LogForecasting,34.9
