,mean_rank
Karlen-pypm,13.3
UMass-MechBayes,13.3
COVIDhub-ensemble,14.0
JHUAPL-Bucky,14.1
OliverWyman-Navigator,14.3
SteveMcConnell-CovidComplete,14.7
USC-SI_kJalpha,14.8
CMU-TimeSeries,15.2
UA-EpiCovDA,15.5
Google_Harvard-CPF,15.6
GT-DeepCOVID,15.7
MSRA-DeepST,15.8
JCB-PRM,15.9
UCSD_NEU-DeepGLEAM,16.2
MOBS-GLEAM_COVID,16.8
CU-select,17.0
COVIDhub-baseline,17.5
CEID-Walk,17.6
LNQ-ens1,18.5
Columbia_UNC-SurvCon,18.7
MIT_CritData-GBCF,19.0
Covid19Sim-Simulator,19.3
CovidAnalytics-DELPHI,20.1
JHU_IDD-CovidSP,20.6
epiforecasts-ensemble1,20.8
UMich-RidgeTfReg,21.1
DDS-NBDS,22.2
IowaStateLW-STEM,22.4
NotreDame-mobility,23.1
USACE-ERDC_SEIR,23.6
BPagano-RtDriven,23.8
UCLA-SuEIR,23.8
UT-Mobility,24.2
LANL-GrowthRate,25.1
PSI-DRAFT,26.4
TTU-squider,27.0
WalmartLabsML-LogForecasting,30.5
RobertWalraven-ESG,33.4
