,mean_rank
UMass-MechBayes,11.9
OliverWyman-Navigator,14.6
Karlen-pypm,14.6
SteveMcConnell-CovidComplete,15.6
MIT_CritData-GBCF,15.7
Google_Harvard-CPF,15.8
USC-SI_kJalpha,15.8
MSRA-DeepST,15.9
JHUAPL-Bucky,16.0
CU-select,16.2
COVIDhub-ensemble,16.9
JHU_CSSE-DECOM,16.9
JCB-PRM,17.3
UCSD_NEU-DeepGLEAM,17.6
LNQ-ens1,18.0
GT-DeepCOVID,18.0
DDS-NBDS,18.4
MOBS-GLEAM_COVID,19.0
Columbia_UNC-SurvCon,19.3
UA-EpiCovDA,20.0
CMU-TimeSeries,20.1
COVIDhub-baseline,20.9
CEID-Walk,21.2
IHME-CurveFit,21.2
epiforecasts-ensemble1,21.2
UMich-RidgeTfReg,21.9
UT-Mobility,22.2
BPagano-RtDriven,22.3
JHU_IDD-CovidSP,23.0
RobertWalraven-ESG,23.0
Covid19Sim-Simulator,23.6
MITCovAlliance-SIR,23.7
NotreDame-mobility,24.3
IowaStateLW-STEM,24.8
LANL-GrowthRate,26.0
UCLA-SuEIR,27.8
PSI-DRAFT,28.4
WalmartLabsML-LogForecasting,29.5
CovidAnalytics-DELPHI,30.4
TTU-squider,31.2
