,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,STH-3PU,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-STH-3PU,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-STH-3PU
Alabama,3082,2149.6,3321.6,2499.2,,-932.4,239.6,-582.8,,True,True,
Alaska,84,12.0,22.5,60.1,,-72.0,-61.5,-23.9,,True,True,
Arizona,6147,4486.4,8581.7,8509.6,,-1660.6,2434.7,2362.6,,False,False,
Arkansas,2068,1138.4,1112.1,1314.1,,-929.6,-955.9,-753.9,,False,True,
California,17961,13775.6,17765.1,17732.9,,-4185.4,-195.9,-228.1,,True,True,
Colorado,2389,2620.0,2076.2,2091.9,,231.0,-312.8,-297.1,,False,False,
Connecticut,4671,5431.6,4701.5,4547.7,,760.6,30.5,-123.3,,True,True,
Delaware,716,693.1,537.2,510.1,,-22.9,-178.8,-205.9,,False,False,
District of Columbia,654,890.4,642.8,715.5,,236.4,-11.2,61.5,,True,True,
Florida,17100,7728.1,10914.1,27911.9,,-9371.9,-6185.9,10811.9,,True,False,
Georgia,8647,6455.6,4592.3,9480.1,,-2191.4,-4054.7,833.1,,False,True,
Hawaii,220,17.0,21.4,222.7,,-203.0,-198.6,2.7,,True,True,
Idaho,683,128.7,302.2,134.3,,-554.3,-380.8,-548.7,,True,True,
Illinois,10488,13378.6,7759.3,9242.8,,2890.6,-2728.7,-1245.2,,True,True,
Indiana,4592,4883.1,3251.0,3634.3,,291.1,-1341.0,-957.7,,False,False,
Iowa,1842,1361.1,1229.9,899.0,,-480.9,-612.1,-943.0,,False,False,
Kansas,1166,495.3,374.7,529.2,,-670.7,-791.3,-636.8,,False,True,
Kentucky,1561,1062.1,893.9,990.1,,-498.9,-667.1,-570.9,,False,False,
Louisiana,6016,4912.0,4212.4,4265.3,,-1104.0,-1803.6,-1750.7,,False,False,
Maine,151,141.7,166.3,121.1,,-9.3,15.3,-29.9,,False,False,
Maryland,4201,5587.9,4517.8,3805.0,,1386.9,316.8,-396.0,,True,True,
Massachusetts,10129,12483.7,8683.1,9369.6,,2355.7,-1444.9,-758.4,,True,True,
Michigan,7945,7559.4,6404.4,6661.4,,-385.6,-1540.6,-1283.6,,False,False,
Minnesota,2679,3060.1,2003.7,1869.4,,381.1,-675.3,-809.6,,False,False,
Mississippi,3433,1871.3,2050.6,1268.5,,-1561.7,-1382.4,-2164.5,,True,False,
Missouri,3162,2553.6,1520.3,4286.4,,-598.4,-1631.7,1134.4,,False,False,
Montana,445,39.9,31.2,51.5,,-405.1,-413.8,-393.5,,False,True,
Nebraska,703,819.9,473.5,710.4,,116.9,-229.5,7.4,,False,True,
Nevada,1850,963.6,858.6,890.9,,-886.4,-991.4,-959.1,,False,False,
New Hampshire,489,716.3,596.7,849.8,,227.3,107.7,360.8,,True,False,
New Jersey,16425,18499.0,13563.4,13978.6,,3937.0,-998.6,-583.4,,True,True,
New Mexico,1104,1144.1,816.4,995.8,,40.1,-287.6,-108.2,,False,False,
New York,33884,37082.1,31884.1,31982.2,,3927.1,-1270.9,-1172.8,,True,True,
North Carolina,4605,2863.1,5514.9,2239.6,,-1711.9,939.9,-2335.4,,True,False,
North Dakota,628,136.6,122.4,94.4,,-491.4,-505.6,-533.6,,False,False,
Ohio,5506,5499.9,3954.1,4094.7,,-6.1,-1551.9,-1411.3,,False,False,
Oklahoma,1429,567.6,596.1,609.0,,-861.4,-832.9,-820.0,,True,True,
Oregon,729,426.3,416.4,2157.5,,-300.7,-310.6,1430.5,,False,False,
Pennsylvania,9001,10553.3,8524.9,8460.1,,1552.3,-476.1,-540.9,,True,True,
Rhode Island,1224,2105.3,1167.3,1150.3,,895.3,-42.7,-59.7,,True,True,
South Carolina,4015,1705.4,3389.7,1349.5,,-2309.6,-625.3,-2665.5,,True,False,
South Dakota,523,200.1,175.0,195.7,,-322.9,-348.0,-327.3,,False,False,
Tennessee,3590,1558.6,1217.1,1019.5,,-2031.4,-2372.9,-2570.5,,False,False,
Texas,19141,6301.4,7883.4,30098.6,13954.0,-12660.6,-11078.6,11136.6,-5008.0,True,True,True
Utah,658,535.3,2210.8,600.3,,-122.7,1552.8,-57.7,,False,True,
Vermont,59,75.9,85.5,70.7,,16.9,26.5,11.7,,False,True,
Virginia,3704,2901.7,2209.6,1827.3,,-802.3,-1494.4,-1876.7,,False,False,
Washington,2439,2322.4,2323.8,3128.8,,-116.6,-115.2,689.8,,True,False,
West Virginia,503,108.9,139.6,117.3,,-394.1,-363.4,-385.7,,True,True,
Wisconsin,2548,1776.6,1412.5,1171.5,,-735.4,-1099.5,-1340.5,,False,False,
Wyoming,114,59.7,45.0,22.0,,-54.3,-69.0,-92.0,,False,False,
US,238081,204044.1,187689.5,230538.3,167496.0,-31172.9,-47527.5,-4678.7,-67721.0,False,True,False
