,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR
Alabama,3082,3285.7,3707.8,4091.4,2984.0,,2947.6,203.7,625.8,1009.4,-98.0,,-134.4,False,False,True,,True
Alaska,84,86.3,93.7,57.2,,,64.4,2.3,9.7,-26.8,,,-19.6,False,False,,,False
Arizona,6147,6912.7,6245.6,6508.9,7168.0,,6372.1,765.7,98.6,361.9,1021.0,,225.1,True,True,False,,True
Arkansas,2068,1868.3,1912.8,2370.9,1582.0,,1598.4,-199.7,-155.2,302.9,-486.0,,-469.6,True,False,False,,False
California,17961,20763.6,17169.2,23475.7,19832.0,,19417.7,2802.6,-791.8,5514.7,1871.0,,1456.7,True,False,True,,True
Colorado,2389,2237.7,2140.3,2321.7,2217.0,,2120.2,-151.3,-248.7,-67.3,-172.0,,-268.8,False,True,False,,False
Connecticut,4671,4494.6,4539.6,4577.7,4587.0,,4515.9,-176.4,-131.4,-93.3,-84.0,,-155.1,True,True,True,,True
Delaware,716,653.3,662.7,757.4,651.0,,638.9,-62.7,-53.3,41.4,-65.0,,-77.1,True,True,False,,False
District of Columbia,654,655.3,636.1,697.3,636.0,,664.8,1.3,-17.9,43.3,-18.0,,10.8,False,False,False,,False
Florida,17100,18314.7,14830.9,17427.5,16782.0,,16307.8,1214.7,-2269.1,327.5,-318.0,,-792.2,False,True,True,,True
Georgia,8647,9872.1,8314.9,11039.5,7882.0,,8151.7,1225.1,-332.1,2392.5,-765.0,,-495.3,True,False,True,,True
Hawaii,220,279.9,290.8,136.3,,,287.6,59.9,70.8,-83.7,,,67.6,False,False,,,False
Idaho,683,615.3,584.4,1205.5,665.0,,571.6,-67.7,-98.6,522.5,-18.0,,-111.4,False,False,True,,False
Illinois,10488,9824.9,9891.0,11512.3,9193.0,,9838.7,-663.1,-597.0,1024.3,-1295.0,,-649.3,True,False,False,,True
Indiana,4592,4010.6,3956.3,4431.4,3990.0,,3928.4,-581.4,-635.7,-160.6,-602.0,,-663.6,False,True,False,,False
Iowa,1842,1645.3,2174.1,2732.5,1800.0,,1633.3,-196.7,332.1,890.5,-42.0,,-208.7,False,False,True,,False
Kansas,1166,764.4,851.7,879.7,652.0,,754.3,-401.6,-314.3,-286.3,-514.0,,-411.7,True,True,False,,False
Kentucky,1561,1589.4,1689.8,2385.1,1273.0,,1684.2,28.4,128.8,824.1,-288.0,,123.2,False,False,False,,False
Louisiana,6016,6527.9,5764.8,7329.1,6105.0,,6214.3,511.9,-251.2,1313.1,89.0,,198.3,True,False,True,,True
Maine,151,151.7,152.3,175.5,185.0,,143.8,0.7,1.3,24.5,34.0,,-7.2,False,False,False,,False
Maryland,4201,4215.3,4239.5,4795.2,4050.0,,4039.1,14.3,38.5,594.2,-151.0,,-161.9,False,False,False,,False
Massachusetts,10129,9798.1,12357.7,11406.0,9379.0,,9304.7,-330.9,2228.7,1277.0,-750.0,,-824.3,False,False,False,,False
Michigan,7945,7319.7,7434.0,8279.2,7502.0,,7256.7,-625.3,-511.0,334.2,-443.0,,-688.3,True,True,True,,False
Minnesota,2679,2298.7,2418.4,3771.6,2265.0,,2300.0,-380.3,-260.6,1092.6,-414.0,,-379.0,True,False,False,,True
Mississippi,3433,3850.6,3602.5,3778.4,3874.0,,3311.2,417.6,169.5,345.4,441.0,,-121.8,True,True,False,,True
Missouri,3162,3031.3,2992.3,2674.4,2155.0,,2341.4,-130.7,-169.7,-487.6,-1007.0,,-820.6,False,False,False,,False
