,count,mean,median,std,min,25%,75%,max
JCB-PRM,51,173.9,108.1,189.0,1.0,52.3,240.8,820.2
MITCovAlliance-SIR,51,182.1,100.4,236.6,0.6,47.2,192.0,1376.8
USC-SI_kJalpha,51,198.5,119.0,222.5,1.0,44.0,245.0,859.0
JHU_IDD-CovidSP,51,200.5,144.3,216.9,1.5,54.8,254.4,996.1
Covid19Sim-Simulator,51,212.0,106.7,238.0,0.3,48.1,317.5,934.9
UCLA-SuEIR,51,224.9,158.2,224.1,0.3,57.7,300.9,898.2
Baseline,51,229.9,128.9,282.0,1.0,47.7,297.6,1242.9
JHUAPL-Bucky,51,236.5,107.8,359.5,7.5,37.9,240.0,2128.2
IowaStateLW-STEM,49,242.5,143.0,247.5,1.0,65.0,328.5,890.0
PSI-DRAFT,51,266.8,143.0,294.0,1.0,55.5,319.5,1110.0
CovidAnalytics-DELPHI,51,299.2,193.0,278.0,0.0,80.0,465.0,1134.0
LANL-GrowthRate,51,322.7,220.4,337.8,0.2,92.0,422.0,1549.1
USACE-ERDC_SEIR,51,346.9,111.0,495.9,2.5,49.1,438.6,2337.5
NotreDame-mobility,51,364.0,181.9,582.3,1.4,74.0,432.8,3886.4
IHME-CurveFit,51,379.6,169.3,656.3,0.4,45.2,390.5,3209.6
WalmartLabsML-LogForecasting,51,396.4,244.2,394.8,0.8,114.5,561.9,1509.3
RobertWalraven-ESG,51,458.8,288.9,506.7,1.0,157.5,579.3,2515.3
Columbia_UNC-SurvCon,51,751.4,205.0,2738.5,1.0,59.5,531.0,19448.0
