,actual_deaths,Baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,MITCovAlliance-SIR,RobertWalraven-ESG,STH-3PU,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,WalmartLabsML-LogForecasting,error-Baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-MITCovAlliance-SIR,error-RobertWalraven-ESG,error-STH-3PU,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-WalmartLabsML-LogForecasting,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-MITCovAlliance-SIR,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-WalmartLabsML-LogForecasting
Alabama,3082,2940.3,3744.0,3120.3,,2897.0,2808.3,2797.2,2791.4,2569.3,,2855.1,2967.6,2825.0,2574.8,-141.7,662.0,38.3,,-185.0,-273.7,-284.8,-290.6,-512.7,,-226.9,-114.4,-257.0,-507.2,False,True,,False,False,False,False,False,,False,True,False,False
Alaska,84,59.7,161.0,95.8,,,81.7,74.9,163.0,50.9,,57.0,78.9,67.0,55.7,-24.3,77.0,11.8,,,-2.3,-9.1,79.0,-33.1,,-27.0,-5.1,-17.0,-28.3,False,True,,,True,True,False,False,,False,True,True,False
Arizona,6147,6115.6,6381.0,6207.4,,6612.0,5926.1,5576.4,5994.3,5518.2,,6190.7,5818.4,5765.0,6037.1,-31.4,234.0,60.4,,465.0,-220.9,-570.6,-152.7,-628.8,,43.7,-328.6,-382.0,-109.9,False,False,,False,False,False,False,False,,False,False,False,False
Arkansas,2068,1664.6,3184.0,1879.4,,2045.0,1885.9,1342.6,1511.2,1317.5,,1499.4,1537.5,1762.0,1233.3,-403.4,1116.0,-188.6,,-23.0,-182.1,-725.4,-556.8,-750.5,,-568.6,-530.5,-306.0,-834.7,False,True,,True,True,False,False,False,,False,False,True,False
California,17961,19461.6,16111.0,16896.1,,19416.0,17090.3,16296.8,20062.7,16371.8,,18239.5,17097.2,16575.0,17022.4,1500.6,-1850.0,-1064.9,,1455.0,-870.7,-1664.2,2101.7,-1589.2,,278.5,-863.8,-1386.0,-938.6,False,True,,True,True,False,False,False,,True,True,True,True
Colorado,2389,2113.7,3141.0,2182.4,,2273.0,2134.4,2330.9,2189.9,2096.6,,2089.6,2748.5,2147.0,2084.5,-275.3,752.0,-206.6,,-116.0,-254.6,-58.1,-199.1,-292.4,,-299.4,359.5,-242.0,-304.5,False,True,,True,True,True,True,False,,False,False,True,False
Connecticut,4671,4574.3,4921.0,4551.9,,4599.0,4526.6,4678.3,4648.6,4511.8,,4545.0,4954.9,4545.0,4545.2,-96.7,250.0,-119.1,,-72.0,-144.4,7.3,-22.4,-159.2,,-126.0,283.9,-126.0,-125.8,False,False,,True,False,True,True,False,,False,False,False,False
Delaware,716,662.1,853.0,685.3,,650.0,673.9,697.0,646.2,648.0,,645.2,840.6,686.0,646.3,-53.9,137.0,-30.7,,-66.0,-42.1,-19.0,-69.8,-68.0,,-70.8,124.6,-30.0,-69.7,False,True,,False,True,True,False,False,,False,False,True,False
District of Columbia,654,655.3,654.0,645.5,,644.0,634.7,689.9,641.2,623.8,,640.1,735.3,637.0,631.9,1.3,0.0,-8.5,,-10.0,-19.3,35.9,-12.8,-30.2,,-13.9,81.3,-17.0,-22.1,True,False,,False,False,False,False,False,,False,False,False,False
Florida,17100,18571.6,17586.0,16040.3,,17049.0,15817.9,13662.6,24793.8,13620.2,,17078.6,14753.8,16128.0,14905.9,1471.6,486.0,-1059.7,,-51.0,-1282.1,-3437.4,7693.8,-3479.8,,-21.4,-2346.2,-972.0,-2194.1,True,True,,True,True,False,False,False,,True,False,True,False
Georgia,8647,8658.7,8190.0,7991.4,,8271.0,8331.3,7511.9,9227.0,7476.7,,8326.2,7896.5,7635.0,7452.5,11.7,-457.0,-655.6,,-376.0,-315.7,-1135.1,580.0,-1170.3,,-320.8,-750.5,-1012.0,-1194.5,False,False,,False,False,False,False,False,,False,False,False,False
Hawaii,220,209.0,146.0,179.7,,,170.1,145.8,158.2,145.4,,192.0,139.3,143.0,143.1,-11.0,-74.0,-40.3,,,-49.9,-74.2,-61.8,-74.6,,-28.0,-80.7,-77.0,-76.9,False,False,,,False,False,False,False,,False,False,False,False
Idaho,683,650.7,575.0,626.2,,623.0,602.7,544.5,2391.6,449.8,,599.2,599.8,574.0,530.7,-32.3,-108.0,-56.8,,-60.0,-80.3,-138.5,1708.6,-233.2,,-83.8,-83.2,-109.0,-152.3,False,False,,False,False,False,False,False,,False,False,False,False
Illinois,10488,9727.4,10499.0,9526.6,,9598.0,9929.4,10727.8,9095.1,9100.2,,9422.1,11562.5,9397.0,8699.7,-760.6,11.0,-961.4,,-890.0,-558.6,239.8,-1392.9,-1387.8,,-1065.9,1074.5,-1091.0,-1788.3,True,False,,False,True,True,False,False,,False,False,False,False
Indiana,4592,4019.4,3955.0,4018.9,,4316.0,3987.3,4458.4,4260.1,3614.7,,3862.3,5651.7,3832.0,3549.4,-572.6,-637.0,-573.1,,-276.0,-604.7,-133.6,-331.9,-977.3,,-729.7,1059.7,-760.0,-1042.6,False,False,,True,False,True,True,False,,False,False,False,False
Iowa,1842,1636.4,1737.0,1706.9,,1801.0,1657.1,1652.1,1624.8,1352.4,,1587.6,1718.5,1596.0,1413.7,-205.6,-105.0,-135.1,,-41.0,-184.9,-189.9,-217.2,-489.6,,-254.4,-123.5,-246.0,-428.3,True,True,,True,True,True,False,False,,False,True,False,False
Kansas,1166,897.3,709.0,817.1,,649.0,720.8,795.9,795.4,619.0,,780.1,691.4,717.0,626.0,-268.7,-457.0,-348.9,,-517.0,-445.2,-370.1,-370.6,-547.0,,-385.9,-474.6,-449.0,-540.0,False,False,,False,False,False,False,False,,False,False,False,False
Kentucky,1561,1562.9,1871.0,1617.2,,1691.0,1619.0,1533.4,1467.2,1258.0,,1523.1,1710.7,1364.0,1247.5,1.9,310.0,56.2,,130.0,58.0,-27.6,-93.8,-303.0,,-37.9,149.7,-197.0,-313.5,False,False,,False,False,False,False,False,,False,False,False,False
Louisiana,6016,6350.7,12499.0,5891.4,,6079.0,5704.7,5747.0,6749.6,5822.1,,6662.1,6341.0,5760.0,5724.4,334.7,6483.0,-124.6,,63.0,-311.3,-269.0,733.6,-193.9,,646.1,325.0,-256.0,-291.6,False,True,,True,True,True,False,True,,False,True,True,True
Maine,151,151.7,144.0,149.2,,202.0,161.1,166.1,208.1,145.0,,141.4,199.4,145.0,143.6,0.7,-7.0,-1.8,,51.0,10.1,15.1,57.1,-6.0,,-9.6,48.4,-6.0,-7.4,False,False,,False,False,False,False,False,,False,False,False,False
Maryland,4201,4144.4,7008.0,4234.7,,4035.0,4200.8,4365.4,4111.4,4082.2,,4055.6,4907.5,4138.0,3997.0,-56.6,2807.0,33.7,,-166.0,-0.2,164.4,-89.6,-118.8,,-145.4,706.5,-63.0,-204.0,False,True,,False,True,False,False,False,,False,False,False,False
Massachusetts,10129,9877.9,9207.0,9450.5,,9532.0,9934.5,9208.4,9651.9,9493.4,,9499.8,13223.1,9844.0,9472.6,-251.1,-922.0,-678.5,,-597.0,-194.5,-920.6,-477.1,-635.6,,-629.2,3094.1,-285.0,-656.4,False,False,,False,True,False,False,False,,False,False,False,False
Michigan,7945,7736.0,8872.0,7744.6,,7555.0,7718.7,8227.7,7461.1,7053.7,,7359.6,9222.1,7828.0,7063.4,-209.0,927.0,-200.4,,-390.0,-226.3,282.7,-483.9,-891.3,,-585.4,1277.1,-117.0,-881.6,False,True,,False,False,False,False,False,,False,False,True,False
Minnesota,2679,2458.1,2481.0,2336.7,,2564.0,2252.6,2511.4,2226.8,2199.4,,2390.0,2682.2,2223.0,2069.7,-220.9,-198.0,-342.3,,-115.0,-426.4,-167.6,-452.2,-479.6,,-289.0,3.2,-456.0,-609.3,True,False,,True,False,True,False,False,,False,True,False,False
Mississippi,3433,3584.9,3509.0,3212.9,,4263.0,3219.2,3065.9,3660.7,3026.7,,3432.5,3266.5,3070.0,3204.7,151.9,76.0,-220.1,,830.0,-213.8,-367.1,227.7,-406.3,,-0.5,-166.5,-363.0,-228.3,True,False,,False,False,False,False,False,,True,False,False,False
Missouri,3162,2092.4,4953.0,2792.1,,2225.0,2607.4,2630.7,2769.1,1878.9,,2126.0,3284.4,2239.0,1884.3,-1069.6,1791.0,-369.9,,-937.0,-554.6,-531.3,-392.9,-1283.1,,-1036.0,122.4,-923.0,-1277.7,False,True,,True,True,True,True,False,,True,True,True,False
