,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR
Alabama,3082,3630.7,3004.6,2534.6,2993.0,,3015.4,548.7,-77.4,-547.4,-89.0,,-66.6,True,True,True,,True
Alaska,84,86.3,91.3,37.4,,,63.8,2.3,7.3,-46.6,,,-20.2,False,False,,,False
Arizona,6147,7583.0,6221.2,6595.8,7034.0,,6834.6,1436.0,74.2,448.8,887.0,,687.6,True,True,True,,True
Arkansas,2068,1740.1,1452.6,1669.2,1573.0,,1428.1,-327.9,-615.4,-398.8,-495.0,,-639.9,False,False,False,,False
California,17961,20665.0,19124.0,26443.2,19344.0,,19041.1,2704.0,1163.0,8482.2,1383.0,,1080.1,True,False,True,,True
Colorado,2389,2178.6,2119.8,2189.1,2210.0,,2090.9,-210.4,-269.2,-199.9,-179.0,,-298.1,False,True,True,,False
Connecticut,4671,4514.3,4557.8,4551.1,4588.0,,4522.9,-156.7,-113.2,-119.9,-83.0,,-148.1,True,True,True,,True
Delaware,716,643.4,646.6,648.7,658.0,,639.8,-72.6,-69.4,-67.3,-58.0,,-76.2,True,True,True,,False
District of Columbia,654,625.7,639.5,754.2,638.0,,626.4,-28.3,-14.5,100.2,-16.0,,-27.6,True,False,True,,True
Florida,17100,18945.6,14217.1,22336.1,17092.0,,17555.5,1845.6,-2882.9,5236.1,-8.0,,455.5,False,False,True,,True
Georgia,8647,10256.6,8230.2,10866.1,7763.0,,8760.3,1609.6,-416.8,2219.1,-884.0,,113.3,True,False,True,,True
Hawaii,220,220.7,328.2,62.7,,,157.9,0.7,108.2,-157.3,,,-62.1,False,False,,,False
Idaho,683,871.6,661.4,973.2,733.0,,636.5,188.6,-21.6,290.2,50.0,,-46.5,True,False,True,,True
Illinois,10488,9598.1,9778.6,11764.6,9116.0,,9084.4,-889.9,-709.4,1276.6,-1372.0,,-1403.6,True,False,False,,False
Indiana,4592,3990.9,4109.4,4898.6,4012.0,,3820.0,-601.1,-482.6,306.6,-580.0,,-772.0,True,True,True,,False
Iowa,1842,1862.1,2689.3,2609.4,1818.0,,1579.5,20.1,847.3,767.4,-24.0,,-262.5,False,False,False,,False
Kansas,1166,675.7,836.2,726.6,638.0,,668.9,-490.3,-329.8,-439.4,-528.0,,-497.1,True,True,False,,False
Kentucky,1561,1490.9,1582.8,2856.4,1242.0,,1467.3,-70.1,21.8,1295.4,-319.0,,-93.7,True,False,False,,False
Louisiana,6016,6754.6,5608.5,7049.9,6744.0,,6788.1,738.6,-407.5,1033.9,728.0,,772.1,True,False,True,,False
Maine,151,141.9,173.9,158.8,223.0,,142.6,-9.1,22.9,7.8,72.0,,-8.4,False,True,False,,True
Maryland,4201,4353.3,4085.5,4104.0,3965.0,,4063.3,152.3,-115.5,-97.0,-236.0,,-137.7,True,True,False,,True
Massachusetts,10129,10310.7,9810.2,10672.8,9986.0,,9527.7,181.7,-318.8,543.8,-143.0,,-601.3,False,False,True,,False
Michigan,7945,7625.3,7553.7,8329.9,7505.0,,7070.0,-319.7,-391.3,384.9,-440.0,,-875.0,False,False,False,,False
Minnesota,2679,2377.6,2564.7,3662.6,2351.0,,2413.5,-301.4,-114.3,983.6,-328.0,,-265.5,True,False,False,,True
Mississippi,3433,4422.3,3571.2,3548.9,4115.0,,3654.1,989.3,138.2,115.9,682.0,,221.1,True,True,True,,True
Missouri,3153,2321.6,2389.6,4380.5,2019.0,,2037.8,-831.4,-763.4,1227.5,-1134.0,,-1115.2,True,False,False,,False
Montana,445,242.0,228.8,106.5,219.0,,187.8,-203.0,-216.2,-338.5,-226.0,,-257.2,False,False,False,,False
Nebraska,703,530.0,599.4,652.1,539.0,,480.0,-173.0,-103.6,-50.9,-164.0,,-223.0,True,True,True,,False
Nevada,1850,2337.0,1869.4,3069.1,2160.0,,2242.3,487.0,19.4,1219.1,310.0,,392.3,True,False,True,,True
New Hampshire,489,461.6,451.7,477.5,509.0,,473.6,-27.4,-37.3,-11.5,20.0,,-15.4,False,True,True,,True
New Jersey,16425,15848.3,16105.9,16207.7,16272.0,,16081.3,-576.7,-319.1,-217.3,-153.0,,-343.7,True,True,True,,True
New Mexico,1104,1016.4,956.2,1212.6,1041.0,,912.3,-87.6,-147.8,108.6,-63.0,,-191.7,False,False,True,,False
New York,33884,33621.3,33237.8,33505.1,33460.0,,33321.7,-304.7,-688.2,-420.9,-466.0,,-604.3,False,False,False,,False
North Carolina,4605,4279.0,4263.2,4646.5,4269.0,,3866.2,-326.0,-341.8,41.5,-336.0,,-738.8,False,True,False,,False
North Dakota,628,201.1,357.4,335.0,236.0,,160.5,-426.9,-270.6,-293.0,-392.0,,-467.5,True,True,True,,False
Ohio,5506,5617.4,5550.1,6119.3,5399.0,,5859.3,111.4,44.1,613.3,-107.0,,353.3,True,False,True,,False
Oklahoma,1429,1518.6,1429.7,2112.8,1456.0,,1291.2,89.6,0.7,683.8,27.0,,-137.8,True,False,True,,False
Oregon,729,862.1,701.6,888.4,634.0,,737.0,133.1,-27.4,159.4,-95.0,,8.0,True,False,True,,True
Pennsylvania,9001,8653.6,8636.5,10878.4,8076.0,,8183.7,-347.4,-364.5,1877.4,-925.0,,-817.3,False,False,False,,False
Rhode Island,1224,1203.7,1113.8,1236.4,1186.0,,1129.7,-20.3,-110.2,12.4,-38.0,,-94.3,False,True,False,,False
South Carolina,4015,4729.7,4061.6,4350.8,3844.0,,4135.1,714.7,46.6,335.8,-171.0,,120.1,True,True,True,,True
South Dakota,523,226.1,390.1,239.9,271.0,,189.0,-296.9,-132.9,-283.1,-252.0,,-334.0,True,True,True,,False
Tennessee,3590,3521.3,2942.5,5043.3,3054.0,,3125.6,-68.7,-647.5,1453.3,-536.0,,-464.4,False,False,False,,False
Texas,19489,22412.0,19719.9,25341.5,22844.0,18466.0,19527.9,3304.0,611.9,6233.5,3736.0,-642.0,419.9,True,False,False,True,True
Utah,658,623.9,691.5,665.3,643.0,,619.0,-34.1,33.5,7.3,-15.0,,-39.0,True,True,True,,False
Vermont,59,58.0,62.5,59.4,62.0,,59.7,-1.0,3.5,0.4,3.0,,0.7,False,True,False,,True
Virginia,3704,3574.4,3387.2,2739.9,3126.0,,3125.6,-129.6,-316.8,-964.1,-578.0,,-578.4,False,False,False,,False
Washington,2411,2319.0,2189.6,2954.3,2338.0,,2461.7,-93.0,-222.4,542.3,-74.0,,49.7,False,False,True,,True
West Virginia,503,559.0,442.5,319.9,331.0,,369.0,56.0,-60.5,-183.1,-172.0,,-134.0,False,False,False,,False
Wisconsin,2548,1526.1,1675.5,1753.6,1528.0,,1398.8,-961.9,-812.5,-734.4,-960.0,,-1089.2,True,True,True,,False
Wyoming,114,37.0,64.5,34.0,46.0,,41.5,-77.0,-49.5,-80.0,-68.0,,-72.5,True,False,True,,True
US,238393,244830.9,223827.2,269373.9,234134.0,234071.0,225842.8,6835.9,-14167.8,31378.9,-3861.0,-3924.0,-12152.2,False,False,True,True,False
