,mean_rank
MSRA-DeepST,17.4
UMass-MechBayes,17.6
OliverWyman-Navigator,18.0
COVIDhub-ensemble,18.1
Caltech-CS156,18.3
Karlen-pypm,18.4
Google_Harvard-CPF,18.4
LNQ-ens1,18.8
GT-DeepCOVID,19.0
SteveMcConnell-CovidComplete,19.4
USC-SI_kJalpha,19.7
CEID-Walk,20.2
COVIDhub-baseline,20.3
MOBS-GLEAM_COVID,20.4
UCSB-ACTS,20.6
BPagano-RtDriven,20.9
JCB-PRM,21.0
UA-EpiCovDA,21.0
UCSD_NEU-DeepGLEAM,21.0
MIT_CritData-GBCF,21.0
USC-SI_kJalpha_RF,21.4
UCLA-SuEIR,21.5
CMU-TimeSeries,21.5
LANL-GrowthRate,21.6
Covid19Sim-Simulator,21.7
Columbia_UNC-SurvCon,22.2
UT-Mobility,22.5
epiforecasts-ensemble1,22.5
DDS-NBDS,22.6
IQVIA_ACOE-STAN,22.8
JHU_CSSE-DECOM,23.2
CU-select,23.3
IowaStateLW-STEM,23.4
UMich-RidgeTfReg,23.6
JHU_UNC_GAS-StatMechPool,23.7
CovidAnalytics-DELPHI,24.5
Geneva-DetGrowth,24.5
NotreDame-mobility,25.5
PSI-DRAFT,25.9
JHUAPL-Bucky,27.5
JHU_IDD-CovidSP,28.9
TTU-squider,34.3
WalmartLabsML-LogForecasting,35.5
RobertWalraven-ESG,36.8
