,actual_deaths,Baseline,Covid19Sim-Simulator,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,error-Baseline,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR
Alabama,3082,3439.4,2692.0,3129.0,,2855.5,357.4,-390.0,47.0,,-226.5,False,True,,True
Alaska,84,51.7,129.8,,,49.3,-32.3,45.8,,,-34.7,False,,,False
Arizona,6147,8727.1,4519.6,7431.0,,6591.3,2580.1,-1627.4,1284.0,,444.3,True,True,,True
Arkansas,2068,1251.1,1228.7,1333.0,,824.2,-816.9,-839.3,-735.0,,-1243.8,False,True,,False
California,17961,21511.3,18434.3,20412.0,,17315.3,3550.3,473.3,2451.0,,-645.7,True,True,,True
Colorado,2389,2346.6,2269.6,2162.0,,2361.4,-42.4,-119.4,-227.0,,-27.6,False,False,,True
Connecticut,4671,4595.3,4541.9,4533.0,,4587.9,-75.7,-129.1,-138.0,,-83.1,False,False,,False
Delaware,752,616.7,659.9,642.0,,635.7,-120.3,-77.1,-95.0,,-101.3,True,True,,True
District of Columbia,654,668.1,663.0,635.0,,669.9,14.1,9.0,-19.0,,15.9,True,False,,False
Florida,17100,24463.1,12556.9,17700.0,,18151.1,7363.1,-4543.1,600.0,,1051.1,True,True,,True
Georgia,8647,10666.1,6942.2,7022.0,,7995.4,2019.1,-1704.8,-1625.0,,-651.6,True,True,,True
Hawaii,220,146.7,518.2,,,185.2,-73.3,298.2,,,-34.8,False,,,True
Idaho,683,648.4,564.0,441.0,,410.3,-34.6,-119.0,-242.0,,-272.7,False,False,,False
Illinois,10488,9259.3,9593.7,8669.0,,8883.2,-1228.7,-894.3,-1819.0,,-1604.8,True,False,,False
Indiana,4828,4223.9,4220.5,3820.0,,3979.9,-657.1,-660.5,-1061.0,,-901.1,False,False,,False
Iowa,1842,1496.7,1423.0,1486.0,,1177.1,-345.3,-419.0,-356.0,,-664.9,False,False,,False
Kansas,1166,714.3,743.4,631.0,,578.5,-451.7,-422.6,-535.0,,-587.5,True,False,,False
Kentucky,1561,1248.7,,1042.0,,1196.4,-312.3,,-519.0,,-364.6,,False,,False
Louisiana,6016,7400.1,,6734.0,,5355.1,1384.1,,718.0,,-660.9,,True,,True
Maine,151,150.7,,140.0,,139.9,-0.3,,-11.0,,-11.1,,False,,False
Maryland,4201,4279.3,,3908.0,,4046.9,78.3,,-293.0,,-154.1,,False,,False
Massachusetts,10129,10059.3,,8969.0,,9548.0,-69.7,,-1160.0,,-581.0,,False,,False
Michigan,7945,7457.6,,7177.0,,7082.0,-487.4,,-768.0,,-863.0,,False,,False
Minnesota,2679,2392.3,,2178.0,,1842.8,-286.7,,-501.0,,-836.2,,False,,False
Mississippi,3433,4313.1,,3846.0,,3299.7,880.1,,413.0,,-133.3,,True,,True
Missouri,3182,1964.0,,1799.0,,2662.4,-1198.0,,-1363.0,,-499.6,,False,,True
Montana,445,165.0,,210.0,,101.6,-280.0,,-235.0,,-343.4,,True,,False
Nebraska,703,550.7,,531.0,,482.7,-152.3,,-172.0,,-220.3,,False,,False
Nevada,1850,2435.6,,2100.0,,1654.5,585.6,,250.0,,-195.5,,True,,True
New Hampshire,489,470.4,,428.0,,504.1,-18.6,,-61.0,,15.1,,False,,True
New Jersey,16425,16362.6,,16224.0,,16439.6,-62.4,,-201.0,,14.6,,False,,True
New Mexico,1104,1057.9,,977.0,,923.2,-46.1,,-127.0,,-180.8,,False,,False
New York,33884,33622.6,,33220.0,,33165.0,-285.4,,-688.0,,-743.0,,False,,False
North Carolina,4605,4184.9,,4079.0,,3044.3,-420.1,,-526.0,,-1560.7,,False,,False
North Dakota,628,279.1,,231.0,,239.9,-348.9,,-397.0,,-388.1,,False,,False
Ohio,5653,5687.6,,5079.0,,4890.3,-270.4,,-879.0,,-1067.7,,False,,False
Oklahoma,1429,1348.7,,1111.0,,965.6,-80.3,,-318.0,,-463.4,,False,,False
Oregon,729,767.4,,645.0,,554.9,38.4,,-84.0,,-174.1,,False,,False
Pennsylvania,9001,9136.7,,7839.0,,8726.4,135.7,,-1162.0,,-274.6,,False,,False
Rhode Island,1241,1104.0,,1080.0,,1106.9,-106.0,,-130.0,,-103.1,,False,,True
South Carolina,4015,5091.0,,3442.0,,3545.7,1076.0,,-573.0,,-469.3,,True,,True
South Dakota,523,236.0,,266.0,,268.5,-287.0,,-257.0,,-254.5,,True,,True
Tennessee,3590,3061.6,,2750.0,,1995.8,-528.4,,-840.0,,-1594.2,,False,,False
Texas,19489,25087.0,,26406.0,18015.0,16336.6,5965.0,,7284.0,-1107.0,-2785.4,,False,True,True
Utah,658,683.1,,612.0,,601.0,25.1,,-46.0,,-57.0,,False,,False
Vermont,59,58.0,,58.0,,60.0,-1.0,,-1.0,,1.0,,False,,True
Virginia,3704,3033.1,,2885.0,,2633.0,-670.9,,-819.0,,-1071.0,,False,,False
Washington,2411,2883.7,,2307.0,,2085.6,493.7,,-83.0,,-304.4,,True,,True
West Virginia,503,409.0,,286.0,,366.9,-94.0,,-217.0,,-136.1,,False,,False
Wisconsin,2548,1525.1,,1374.0,,1241.0,-962.9,,-1114.0,,-1247.0,,False,,False
Wyoming,114,53.7,,33.0,,41.8,-60.3,,-81.0,,-72.2,,False,,False
US,238858,254403.7,205315.3,224696.0,235113.0,222624.9,15677.7,-33410.7,-14030.0,-3613.0,-16101.1,False,True,True,False
