,total_deaths_2020-09-13,predicted_deaths,actual_deaths,predicted_addl_deaths,actual_addl_deaths,error,perc_error
IowaStateLW-STEM,194183,236724.0,238858,42653.0,44675,-2022.0,-4.5%
IBF-TimeSeries,194183,241609.8,238858,47538.8,44675,2863.8,6.4%
USACE-ERDC_SEIR,194183,242804.6,238858,48733.6,44675,4058.6,9.1%
Baseline,194183,234378.1,238858,40307.1,44675,-4367.9,-9.8%
STH-3PU,194183,232169.0,238858,38098.0,44675,-6577.0,-14.7%
Columbia_UNC-SurvCon,194183,231008.0,238858,36937.0,44675,-7738.0,-17.3%
JCB-PRM,194183,225579.4,238858,31508.4,44675,-13166.6,-29.5%
UCLA-SuEIR,194183,223129.7,238858,29058.7,44675,-15616.3,-35.0%
Covid19Sim-Simulator,194183,222708.5,238858,28637.5,44675,-16037.5,-35.9%
USC-SI_kJalpha,194183,221206.0,238858,27135.0,44675,-17540.0,-39.3%
JHUAPL-Bucky,194183,221037.0,238858,26966.0,44675,-17709.0,-39.6%
WalmartLabsML-LogForecasting,194183,218643.8,238858,24572.8,44675,-20102.2,-45.0%
RobertWalraven-ESG,194183,209431.3,238858,15360.3,44675,-29314.7,-65.6%
MITCovAlliance-SIR,194183,,238858,,44675,,
