,actual_deaths,Baseline,Covid19Sim-Simulator,IowaStateLW-STEM,STH-3PU,error-Baseline,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-STH-3PU,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU
Alabama,3082,3042.7,3288.7,5027.0,,-39.3,206.7,1945.0,,False,False,
Alaska,84,33.9,164.6,,,-50.1,80.6,,,False,,
Arizona,6147,9182.1,10465.9,5855.0,,3035.1,4318.9,-292.0,,False,True,
Arkansas,2068,894.1,1114.6,1922.0,,-1173.9,-953.4,-146.0,,True,True,
California,17961,18480.1,28525.6,11916.0,,519.1,10564.6,-6045.0,,False,False,
Colorado,2389,2129.6,2572.7,2146.0,,-259.4,183.7,-243.0,,True,True,
Connecticut,4671,4567.1,4462.4,4519.0,,-103.9,-208.6,-152.0,,False,False,
Delaware,716,601.3,910.5,647.0,,-114.7,194.5,-69.0,,False,True,
District of Columbia,654,719.7,602.0,604.0,,65.7,-52.0,-50.0,,True,True,
Florida,17100,12856.0,36702.2,10356.0,,-4244.0,19602.2,-6744.0,,False,False,
Georgia,8647,5413.6,11218.5,6598.0,,-3233.4,2571.5,-2049.0,,True,True,
Hawaii,220,19.0,127.5,,,-201.0,-92.5,,,True,,
Idaho,683,253.7,1713.4,483.0,,-429.3,1030.4,-200.0,,False,True,
Illinois,10488,13591.4,8725.4,9120.0,,3103.4,-1762.6,-1368.0,,True,True,
Indiana,4592,3889.4,4972.0,3869.0,,-702.6,380.0,-723.0,,True,False,
Iowa,1842,1274.6,2174.5,1198.0,,-567.4,332.5,-644.0,,True,False,
Kansas,1166,516.1,1738.7,1002.0,,-649.9,572.7,-164.0,,True,True,
Kentucky,1561,1299.3,1669.6,1199.0,,-261.7,108.6,-362.0,,True,False,
Louisiana,6016,5573.7,7796.2,9713.0,,-442.3,1780.2,3697.0,,False,False,
Maine,151,198.3,129.2,121.0,,47.3,-21.8,-30.0,,True,True,
Maryland,4201,4600.1,3878.4,3654.0,,399.1,-322.6,-547.0,,True,False,
Massachusetts,10129,10718.7,8609.9,12703.0,,589.7,-1519.1,2574.0,,False,False,
Michigan,7945,7932.3,7551.4,6885.0,,-12.7,-393.6,-1060.0,,False,False,
Minnesota,2679,2079.4,2890.4,2871.0,,-599.6,211.4,192.0,,True,True,
Mississippi,3433,3575.3,3561.0,3207.0,,142.3,128.0,-226.0,,True,False,
Missouri,3162,1783.1,2427.9,1979.0,,-1378.9,-734.1,-1183.0,,True,True,
Montana,445,130.1,654.8,83.0,,-314.9,209.8,-362.0,,True,False,
Nebraska,703,301.9,523.3,545.0,,-401.1,-179.7,-158.0,,True,True,
Nevada,1850,1587.6,2764.4,1101.0,,-262.4,914.4,-749.0,,False,False,
New Hampshire,489,559.6,448.8,490.0,,70.6,-40.2,1.0,,True,True,
New Jersey,16425,20818.1,16528.2,20484.0,,4393.1,103.2,4059.0,,True,True,
New Mexico,1104,1084.4,1245.6,1554.0,,-19.6,141.6,450.0,,False,False,
New York,33884,34777.4,33159.5,35597.0,,938.4,-679.5,1758.0,,True,False,
North Carolina,4605,3190.9,4328.2,5725.0,,-1414.1,-276.8,1120.0,,True,True,
North Dakota,628,205.0,264.9,264.0,,-423.0,-363.1,-364.0,,True,True,
Ohio,5506,5536.0,6042.3,5596.0,,30.0,536.3,90.0,,False,False,
Oklahoma,1429,826.6,1938.8,2560.0,,-602.4,509.8,1131.0,,True,False,
Oregon,729,554.3,899.0,738.0,,-174.7,170.0,9.0,,True,True,
Pennsylvania,9001,9449.4,8869.9,8858.0,,448.4,-131.1,-143.0,,True,True,
Rhode Island,1224,1245.7,1113.0,1182.0,,32.7,-100.0,-31.0,,False,True,
South Carolina,4015,3337.9,4390.8,3674.0,,-677.1,375.8,-341.0,,True,True,
South Dakota,523,311.3,191.8,228.0,,-211.7,-331.2,-295.0,,False,False,
Tennessee,3590,2359.3,3927.8,4110.0,,-1230.7,337.8,520.0,,True,True,
Texas,19141,12908.9,29249.6,25160.0,11024.0,-5702.1,10638.6,6549.0,-7587.0,False,False,False
Utah,658,737.6,1278.4,949.0,,79.6,620.4,291.0,,False,False,
Vermont,59,56.0,60.1,58.0,,-3.0,1.1,-1.0,,True,True,
Virginia,3704,3870.9,2734.3,2924.0,,166.9,-969.7,-780.0,,False,False,
Washington,2439,2769.7,3389.7,2418.0,,330.7,950.7,-21.0,,False,True,
West Virginia,503,129.7,828.0,217.0,,-373.3,325.0,-286.0,,True,True,
Wisconsin,2548,1224.6,2687.9,1434.0,,-1294.4,168.9,-1085.0,,True,True,
Wyoming,114,37.9,154.8,54.0,,-76.1,40.8,-60.0,,True,True,
US,238082,223620.7,284997.6,218602.0,167269.0,-13846.3,47530.6,-18865.0,-70198.0,False,False,False
