,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,STH-3PU,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-STH-3PU,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-STH-3PU
Alabama,3082,2427.6,2675.3,2252.6,,-654.4,-406.7,-829.4,,True,False,
Alaska,84,51.7,41.3,19.8,,-32.3,-42.7,-64.2,,False,False,
Arizona,6147,6214.0,14162.7,4723.5,,67.0,8015.7,-1423.5,,False,False,
Arkansas,2068,999.4,1597.6,874.5,,-1068.6,-470.4,-1193.5,,True,False,
California,17961,13795.4,21888.7,10924.9,,-4165.6,3927.7,-7036.1,,True,False,
Colorado,2389,2222.9,2058.4,2367.6,,-166.1,-330.6,-21.4,,False,True,
Connecticut,4671,5372.0,4507.1,4648.6,,701.0,-163.9,-22.4,,True,True,
Delaware,716,1864.7,560.8,581.7,,1148.7,-155.2,-134.3,,True,True,
District of Columbia,654,870.6,592.4,633.2,,216.6,-61.6,-20.8,,True,True,
Florida,17100,8284.1,67113.3,23578.3,,-8815.9,50013.3,6478.3,,False,True,
Georgia,8647,5323.7,7556.3,6063.6,,-3323.3,-1090.7,-2583.4,,True,True,
Hawaii,220,36.9,177.7,243.7,,-183.1,-42.3,23.7,,True,True,
Idaho,683,128.7,1307.6,123.4,,-554.3,624.6,-559.6,,False,False,
Illinois,10488,11432.6,7454.1,8947.3,,944.6,-3033.9,-1540.7,,False,False,
Indiana,4592,4108.7,3134.0,3066.5,,-483.3,-1458.0,-1525.5,,False,False,
Iowa,1842,1083.1,1322.4,840.6,,-758.9,-519.6,-1001.4,,True,False,
Kansas,1166,495.3,587.3,492.7,,-670.7,-578.7,-673.3,,True,False,
Kentucky,1561,1161.4,888.8,848.8,,-399.6,-672.2,-712.2,,False,False,
Louisiana,6016,4971.6,5323.7,4394.8,,-1044.4,-692.3,-1621.2,,True,False,
Maine,151,141.7,127.5,122.6,,-9.3,-23.5,-28.4,,False,False,
Maryland,4201,5091.4,3619.4,3594.6,,890.4,-581.6,-606.4,,True,True,
Massachusetts,10129,11868.1,8320.3,12083.0,,1740.1,-1807.7,1955.0,,False,False,
Michigan,7945,7420.4,6980.9,6463.1,,-524.6,-964.1,-1481.9,,False,False,
Minnesota,2679,2365.1,2038.2,1863.7,,-313.9,-640.8,-815.3,,False,False,
Mississippi,3433,2943.6,3045.5,2178.2,,-489.4,-387.5,-1254.8,,True,False,
Missouri,3153,1739.4,2760.1,1806.1,,-1403.6,-382.9,-1336.9,,True,True,
Montana,445,59.7,369.3,65.2,,-385.3,-75.7,-379.8,,True,True,
Nebraska,703,700.7,397.6,569.1,,-2.3,-305.4,-133.9,,False,False,
Nevada,1850,745.1,13368.2,1216.5,,-1104.9,11518.2,-633.5,,False,True,
New Hampshire,489,895.0,470.3,1049.2,,406.0,-18.7,560.2,,True,False,
New Jersey,16425,53368.1,13524.1,16117.1,,36943.1,-2900.9,-307.9,,True,True,
New Mexico,1104,925.7,905.2,874.4,,-178.3,-198.8,-229.6,,False,False,
New York,33884,36526.1,32244.1,33575.1,,3323.1,-958.9,372.1,,True,True,
North Carolina,4605,3784.6,4176.8,2493.9,,-820.4,-428.2,-2111.1,,True,False,
North Dakota,628,116.7,112.3,91.1,,-511.3,-515.7,-536.9,,False,False,
Ohio,5506,4824.7,4335.2,4413.5,,-681.3,-1170.8,-1092.5,,False,False,
Oklahoma,1429,686.7,4030.7,525.6,,-742.3,2601.7,-903.4,,False,False,
Oregon,729,428.3,1723.2,794.6,,-300.7,994.2,65.6,,False,True,
Pennsylvania,9001,10056.9,7950.7,8617.6,,1055.9,-1050.3,-383.4,,True,True,
Rhode Island,1224,1549.3,1073.9,1421.1,,325.3,-150.1,197.1,,True,True,
South Carolina,4015,1904.0,6159.3,1567.5,,-2111.0,2144.3,-2447.5,,False,False,
South Dakota,523,279.6,275.0,271.8,,-243.4,-248.0,-251.2,,False,False,
Tennessee,3590,1677.7,3732.3,1905.4,,-1912.3,142.3,-1684.6,,True,True,
Texas,19489,6380.9,31450.0,16457.8,9789.0,-12751.1,12318.0,-2674.2,-9343.0,True,True,True
Utah,658,336.7,1660.1,562.4,,-321.3,1002.1,-95.6,,False,True,
Vermont,59,56.0,73.2,100.3,,-3.0,14.2,41.3,,False,False,
Virginia,3704,4013.7,2157.4,2363.4,,309.7,-1546.6,-1340.6,,False,False,
Washington,2411,2064.3,2839.0,2920.3,,-364.7,410.0,491.3,,False,False,
West Virginia,503,168.4,189.7,150.8,,-334.6,-313.3,-352.2,,True,False,
Wisconsin,2548,1399.3,2060.9,1396.4,,-1112.7,-451.1,-1115.6,,True,False,
Wyoming,114,20.0,258.2,25.3,,-94.0,144.2,-88.7,,False,True,
US,238393,235627.0,305846.3,203282.8,160039.0,-1699.0,68520.3,-34043.2,-77287.0,False,False,False
