,actual_deaths,Baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,LANL-GrowthRate,MITCovAlliance-SIR,NotreDame-FRED,NotreDame-mobility,PSI-DRAFT,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,WalmartLabsML-LogForecasting,error-Baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-NotreDame-FRED,error-NotreDame-mobility,error-PSI-DRAFT,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-WalmartLabsML-LogForecasting,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-WalmartLabsML-LogForecasting
Alabama,3082,2875.9,2836.0,2786.3,2994.0,,3178.1,3093.0,2938.6,2992.0,2976.1,2791.1,2934.8,,3162.2,2771.0,,2652.8,2861.4,3178.0,2954.0,2846.0,-206.1,-246.0,-295.7,-88.0,,96.1,11.0,-143.4,-90.0,-105.9,-290.9,-147.2,,80.2,-311.0,,-429.2,-220.6,96.0,-128.0,-236.0,False,False,True,,True,True,True,True,True,False,True,,True,False,,False,False,True,True,False
Alaska,84,120.4,75.0,73.5,83.0,,47.3,,70.2,93.1,103.1,73.4,132.7,,74.7,70.0,,63.3,75.4,89.1,77.0,67.5,36.4,-9.0,-10.5,-1.0,,-36.7,,-13.8,9.1,19.1,-10.6,48.7,,-9.3,-14.0,,-20.7,-8.6,5.1,-7.0,-16.5,True,True,True,,False,,True,True,True,True,False,,True,True,,True,True,True,True,True
Arizona,6147,6478.1,10215.0,6314.1,6219.0,,6546.5,6348.0,6269.3,5847.8,6021.7,5917.6,6069.3,,5996.6,6048.0,,5818.6,6359.0,6111.8,6204.0,6220.6,331.1,4068.0,167.1,72.0,,399.5,201.0,122.3,-299.2,-125.3,-229.4,-77.7,,-150.4,-99.0,,-328.4,212.0,-35.2,57.0,73.6,False,True,True,,False,True,True,True,True,True,True,,True,True,,True,True,True,True,True
Arkansas,2068,2051.9,3107.0,2460.5,1868.0,,1809.5,1666.0,2095.7,1662.5,1790.8,1582.1,2015.4,,1685.2,2562.5,,1700.0,1766.5,1644.0,1895.0,1613.5,-16.1,1039.0,392.5,-200.0,,-258.5,-402.0,27.7,-405.5,-277.2,-485.9,-52.6,,-382.8,494.5,,-368.0,-301.5,-424.0,-173.0,-454.5,False,False,False,,False,False,False,False,False,False,False,,False,False,,False,False,False,False,False
California,17961,19061.7,18198.0,17790.6,18344.0,,21170.6,18120.0,18076.0,17242.8,18957.1,17369.7,17868.0,,17217.5,18412.0,,16641.2,18413.7,18051.9,18726.0,17738.8,1100.7,237.0,-170.4,383.0,,3209.6,159.0,115.0,-718.2,996.1,-591.3,-93.0,,-743.5,451.0,,-1319.8,452.7,90.9,765.0,-222.2,True,True,True,,False,True,True,True,True,True,True,,True,True,,False,True,True,True,True
Colorado,2389,2199.1,3437.0,2291.9,2074.0,,2235.7,2197.0,2329.7,2595.7,2333.7,2166.3,2236.9,,2049.9,2067.0,,2100.1,2149.9,2919.6,2423.0,2115.8,-189.9,1048.0,-97.1,-315.0,,-153.3,-192.0,-59.3,206.7,-55.3,-222.7,-152.1,,-339.1,-322.0,,-288.9,-239.1,530.6,34.0,-273.2,False,True,False,,True,False,True,False,True,False,True,,False,False,,False,False,False,True,False
Connecticut,4671,4553.7,4615.0,4564.3,4502.0,,4689.3,4577.0,4563.1,4766.1,4600.7,4518.6,4809.9,,4591.7,4531.0,,4521.8,4541.1,4928.3,4558.0,4517.2,-117.3,-56.0,-106.7,-169.0,,18.3,-94.0,-107.9,95.1,-70.3,-152.4,138.9,,-79.3,-140.0,,-149.2,-129.9,257.3,-113.0,-153.8,True,True,False,,True,True,True,True,True,False,False,,True,False,,False,False,False,True,False
Delaware,716,703.3,705.0,693.4,636.0,,690.6,669.0,679.0,693.2,679.5,654.1,697.4,,667.3,645.0,,670.5,675.1,774.2,668.0,659.0,-12.7,-11.0,-22.6,-80.0,,-25.4,-47.0,-37.0,-22.8,-36.5,-61.9,-18.6,,-48.7,-71.0,,-45.5,-40.9,58.2,-48.0,-57.0,True,False,False,,False,False,False,False,False,False,False,,False,False,,False,False,False,False,False
District of Columbia,654,647.4,655.0,642.4,628.0,,655.3,632.0,642.5,667.6,652.5,637.1,658.1,,645.7,631.0,,624.7,643.4,701.2,649.0,634.9,-6.6,1.0,-11.6,-26.0,,1.3,-22.0,-11.5,13.6,-1.5,-16.9,4.1,,-8.3,-23.0,,-29.3,-10.6,47.2,-5.0,-19.1,True,False,False,,True,False,False,False,True,False,True,,False,False,,False,False,False,True,False
Florida,17100,18342.9,17901.0,17097.0,16307.0,,20200.3,16509.0,16775.0,14971.8,17802.3,16201.6,16548.7,,18187.2,16318.0,,15032.1,17259.3,15702.5,17717.0,16110.6,1242.9,801.0,-3.0,-793.0,,3100.3,-591.0,-325.0,-2128.2,702.3,-898.4,-551.3,,1087.2,-782.0,,-2067.9,159.3,-1397.5,617.0,-989.4,True,True,True,,False,True,True,False,True,True,True,,True,True,,False,True,False,True,True
Georgia,8647,8960.9,8284.0,7829.5,8239.0,,8249.1,8073.0,8082.8,7573.5,8036.6,7628.7,8570.4,,8315.5,7814.0,,7734.7,8466.3,8008.2,8377.0,7809.2,313.9,-363.0,-817.5,-408.0,,-397.9,-574.0,-564.2,-1073.5,-610.4,-1018.3,-76.6,,-331.5,-833.0,,-912.3,-180.7,-638.8,-270.0,-837.8,False,False,False,,False,False,False,False,False,False,True,,False,False,,False,True,False,True,False
Hawaii,220,202.3,167.0,166.2,164.0,,160.9,,166.7,174.9,297.4,191.5,311.8,,379.7,199.0,,153.0,182.6,163.8,168.0,174.6,-17.7,-53.0,-53.8,-56.0,,-59.1,,-53.3,-45.1,77.4,-28.5,91.8,,159.7,-21.0,,-67.0,-37.4,-56.2,-52.0,-45.4,False,False,False,,False,,False,False,False,False,False,,False,False,,False,False,False,False,False
Idaho,683,559.6,1304.0,598.0,572.0,,647.3,585.0,653.3,699.4,695.3,567.0,626.1,,606.8,561.0,,471.2,577.7,645.1,641.0,540.8,-123.4,621.0,-85.0,-111.0,,-35.7,-98.0,-29.7,16.4,12.3,-116.0,-56.9,,-76.2,-122.0,,-211.8,-105.3,-37.9,-42.0,-142.2,False,True,True,,True,True,True,True,True,True,True,,True,True,,False,True,True,True,False
Illinois,10488,9776.3,9511.0,9553.1,9354.0,,9782.0,9598.0,9837.3,10243.2,9855.7,9369.6,9964.5,13615.5,9696.6,9382.0,,9240.3,9632.9,11749.6,9732.0,8978.7,-711.7,-977.0,-934.9,-1134.0,,-706.0,-890.0,-650.7,-244.8,-632.3,-1118.4,-523.5,3127.5,-791.4,-1106.0,,-1247.7,-855.1,1261.6,-756.0,-1509.3,False,False,False,,True,False,True,True,True,False,True,False,False,False,,False,False,False,False,False
