,actual_deaths,Baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,LANL-GrowthRate,MITCovAlliance-SIR,QJHong-Encounter,RobertWalraven-ESG,STH-3PU,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,WalmartLabsML-LogForecasting,error-Baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-QJHong-Encounter,error-RobertWalraven-ESG,error-STH-3PU,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-WalmartLabsML-LogForecasting,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-WalmartLabsML-LogForecasting
Alabama,3082,3026.7,2997.0,2836.8,3055.0,,2590.4,3652.0,2990.4,2785.5,2793.1,,2698.1,,2914.4,4616.0,2816.0,2846.1,-55.3,-85.0,-245.2,-27.0,,-491.6,570.0,-91.6,-296.5,-288.9,,-383.9,,-167.6,1534.0,-266.0,-235.9,False,False,True,,False,False,False,False,False,,False,,False,False,False,False
Alaska,84,51.9,98.0,74.1,74.0,,52.0,,70.8,60.8,155.0,,50.2,,54.1,77.5,56.0,54.3,-32.1,14.0,-9.9,-10.0,,-32.0,,-13.2,-23.2,71.0,,-33.8,,-29.9,-6.5,-28.0,-29.7,True,True,True,,True,,True,True,False,,False,,True,True,True,True
Arizona,6147,6539.9,7580.0,6207.2,6249.0,,6389.3,6283.0,6236.4,6288.8,6009.1,,5952.8,,6272.2,6426.5,7003.0,6120.7,392.9,1433.0,60.2,102.0,,242.3,136.0,89.4,141.8,-137.9,,-194.2,,125.2,279.5,856.0,-26.3,False,True,True,,True,True,True,True,True,,True,,True,True,False,True
Arkansas,2068,2552.4,11540.0,2400.3,1616.0,,1543.2,2286.0,2269.8,1472.1,1638.4,,1389.6,,2002.7,1639.3,1620.0,1515.6,484.4,9472.0,332.3,-452.0,,-524.8,218.0,201.8,-595.9,-429.6,,-678.4,,-65.3,-428.7,-448.0,-552.4,False,True,True,,False,True,True,False,True,,False,,True,True,True,False
California,17961,19390.9,16774.0,17218.0,18782.0,,20501.7,18816.0,17315.9,17236.2,20085.7,,16699.9,,18684.7,17826.2,17964.0,17446.2,1429.9,-1187.0,-743.0,821.0,,2540.7,855.0,-645.1,-724.8,2124.7,,-1261.1,,723.7,-134.8,3.0,-514.8,True,True,True,,False,True,True,True,False,,True,,True,True,True,True
Colorado,2389,2192.3,3098.0,2202.1,2054.0,,2232.5,2203.0,2230.3,2155.3,2191.3,,2143.6,,2124.8,3471.0,2345.0,2099.5,-196.7,709.0,-186.9,-335.0,,-156.5,-186.0,-158.7,-233.7,-197.7,,-245.4,,-264.2,1082.0,-44.0,-289.5,False,True,False,,True,True,True,False,False,,False,,False,False,True,False
Connecticut,4671,4574.3,4949.0,4555.2,4494.0,,4617.8,4622.0,4575.9,4511.2,4641.8,,4514.7,,4545.9,5068.1,4562.0,4528.5,-96.7,278.0,-115.8,-177.0,,-53.2,-49.0,-95.1,-159.8,-29.2,,-156.3,,-125.1,397.1,-109.0,-142.5,False,False,False,,True,True,True,False,True,,False,,False,False,False,False
Delaware,752,662.1,893.0,676.6,625.0,,669.7,670.0,672.6,636.0,648.2,,644.3,,657.7,786.5,662.0,648.4,-75.9,155.0,-61.4,-113.0,,-68.3,-68.0,-65.4,-102.0,-89.8,,-93.7,,-80.3,48.5,-76.0,-89.6,False,True,False,,True,True,True,False,False,,False,,False,True,False,False
District of Columbia,654,647.4,681.0,643.3,625.0,,675.9,639.0,642.0,635.3,641.4,,630.2,,635.7,734.3,648.0,631.4,-6.6,27.0,-10.7,-29.0,,21.9,-15.0,-12.0,-18.7,-12.6,,-23.8,,-18.3,80.3,-6.0,-22.6,False,False,False,,False,False,False,False,False,,False,,False,False,True,False
Florida,17100,18013.7,18602.0,16884.3,16036.0,,19456.0,17441.0,16151.7,16039.5,24362.6,,14141.9,,16924.0,15441.6,16790.0,15492.6,913.7,1502.0,-215.7,-1064.0,,2356.0,341.0,-948.3,-1060.5,7262.6,,-2958.1,,-176.0,-1658.4,-310.0,-1607.4,False,True,False,,False,True,False,False,False,,False,,True,False,True,False
