,total_deaths_2020-10-04,predicted_deaths,actual_deaths,predicted_addl_deaths,actual_addl_deaths,error,perc_error
Covid19Sim-Simulator,209909,236166.3,238858,26445.3,28949,-2503.7,-8.6%
QJHong-Encounter,209909,235512.2,238858,25791.2,28949,-3157.8,-10.9%
USC-SI_kJalpha,209909,235303.0,238858,25582.0,28949,-3367.0,-11.6%
JCB-PRM,209909,234378.5,238858,24657.5,28949,-4291.5,-14.8%
JHUAPL-Bucky,209909,233996.6,238858,24275.6,28949,-4673.4,-16.1%
Karlen-pypm,209909,233968.4,238858,24247.4,28949,-4701.6,-16.2%
COVIDhub-baseline,209909,233849.6,238858,24128.6,28949,-4820.4,-16.7%
Baseline,209909,233836.7,238858,24115.7,28949,-4833.3,-16.7%
Columbia_UNC-SurvCon,209909,243930.0,238858,34209.0,28949,5260.0,18.2%
IowaStateLW-STEM,209909,233340.0,238858,23619.0,28949,-5330.0,-18.4%
JHU_IDD-CovidSP,209909,233140.8,238858,23419.8,28949,-5529.2,-19.1%
UCM_MESALab-FoGSEIR,209909,244655.0,238858,34934.0,28949,5985.0,20.7%
UCLA-SuEIR,209909,231578.8,238858,21857.8,28949,-7091.2,-24.5%
STH-3PU,209909,230675.0,238858,20954.0,28949,-7995.0,-27.6%
NotreDame-mobility,209909,229065.2,238858,19344.2,28949,-9604.8,-33.2%
BPagano-RtDriven,209909,228393.1,238858,18672.1,28949,-10276.9,-35.5%
CovidAnalytics-DELPHI,209909,227196.0,238858,17475.0,28949,-11474.0,-39.6%
WalmartLabsML-LogForecasting,209909,226468.7,238858,16747.7,28949,-12201.3,-42.1%
PSI-DRAFT,209909,226055.5,238858,16334.5,28949,-12614.5,-43.6%
LANL-GrowthRate,209909,224039.4,238858,14318.4,28949,-14630.6,-50.5%
RobertWalraven-ESG,209909,222110.5,238858,12389.5,28949,-16559.5,-57.2%
NotreDame-FRED,209909,,238858,,28949,,
