,actual_deaths,Baseline,Auquan-SEIR,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Covid19Sim-Simulator,CovidActNow-SEIR_CAN,CovidAnalytics-DELPHI,GT-DeepCOVID,GT_CHHS-COVID19,Geneva-DetGrowth,IHME-CurveFit,Imperial-ensemble1,Imperial-ensemble2,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,MOBS-GLEAM_COVID,NotreDame-FRED,OliverWyman-Navigator,PSI-DRAFT,SWC-TerminusCM,UA-EpiCovDA,UCLA-SuEIR,UMass-MechBayes,USACE-ERDC_SEIR,UT-Mobility,YYG-ParamSearch,error-Baseline,error-Auquan-SEIR,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Covid19Sim-Simulator,error-CovidActNow-SEIR_CAN,error-CovidAnalytics-DELPHI,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-Geneva-DetGrowth,error-IHME-CurveFit,error-Imperial-ensemble1,error-Imperial-ensemble2,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-OliverWyman-Navigator,error-PSI-DRAFT,error-SWC-TerminusCM,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UMass-MechBayes,error-USACE-ERDC_SEIR,error-UT-Mobility,error-YYG-ParamSearch,beat_baseline-Auquan-SEIR,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidActNow-SEIR_CAN,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-Geneva-DetGrowth,beat_baseline-IHME-CurveFit,beat_baseline-Imperial-ensemble1,beat_baseline-Imperial-ensemble2,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-SWC-TerminusCM,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-USACE-ERDC_SEIR,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch
Alabama,773,745.1,906.0,760.0,754.1,776.0,699.8,786.7,796.0,,,817.0,735.4,,,731.0,774.9,745.3,750.3,,,668.0,760.0,828.0,745.1,746.0,719.4,751.6,752.7,-27.9,133.0,-13.0,-18.9,3.0,-73.2,13.7,23.0,,,44.0,-37.6,,,-42.0,1.9,-27.7,-22.7,,,-105.0,-13.0,55.0,-27.9,-27.0,-53.6,-21.4,-20.3,False,True,True,True,False,True,True,,,False,False,,,False,True,True,True,,,False,True,False,False,True,False,True,True
Alaska,12,10.0,14.0,10.0,10.4,10.0,10.7,14.3,10.0,11.2,,10.0,10.1,,,,12.7,10.7,10.1,,10.4,25.0,,13.0,10.2,10.0,9.5,9.0,10.2,-2.0,2.0,-2.0,-1.6,-2.0,-1.3,2.3,-2.0,-0.8,,-2.0,-1.9,,,,0.7,-1.3,-1.9,,-1.6,13.0,,1.0,-1.8,-2.0,-2.5,-3.0,-1.8,False,False,True,False,True,False,False,True,,False,True,,,,True,True,True,,True,False,,True,True,False,False,False,True
Arizona,1189,1174.4,1382.0,1182.0,1231.0,1296.0,1008.0,1264.5,1361.0,,,1195.0,1247.3,,,1228.0,1222.2,1274.2,1183.1,,1280.1,1045.0,1217.0,1512.0,1207.9,1226.0,1107.0,1159.5,1168.8,-14.6,193.0,-7.0,42.0,107.0,-181.0,75.5,172.0,,,6.0,58.3,,,39.0,33.2,85.2,-5.9,,91.1,-144.0,28.0,323.0,18.9,37.0,-82.0,-29.5,-20.2,False,True,False,False,False,False,False,,,True,False,,,False,False,False,True,,False,False,False,False,False,False,False,False,False
Arkansas,177,172.0,247.0,175.0,178.0,214.0,162.5,203.3,174.0,182.9,,164.0,178.0,,,167.0,194.5,176.7,171.5,,179.2,155.0,166.0,264.0,174.2,175.0,162.4,166.9,172.0,-5.0,70.0,-2.0,1.0,37.0,-14.5,26.3,-3.0,5.9,,-13.0,1.0,,,-10.0,17.5,-0.3,-5.5,,2.2,-22.0,-11.0,87.0,-2.8,-2.0,-14.6,-10.1,-5.0,False,True,True,False,False,False,True,False,,False,True,,,False,False,True,False,,True,False,False,False,True,True,False,False,True
California,5076,5026.3,5915.0,5068.0,5098.9,5326.0,4668.2,5443.1,5150.0,5107.0,,5174.0,5108.7,,,5267.0,5368.6,4934.1,5014.6,,5014.5,4788.5,5027.0,5525.0,5017.1,5019.0,5125.8,4954.9,5013.2,-49.7,839.0,-8.0,22.9,250.0,-407.8,367.1,74.0,31.0,,98.0,32.7,,,191.0,292.6,-141.9,-61.4,,-61.5,-287.5,-49.0,449.0,-58.9,-57.0,49.8,-121.1,-62.8,False,True,True,False,False,False,False,True,,False,True,,,False,False,False,False,,False,False,True,False,False,False,False,False,False
Colorado,1597,1597.3,1828.0,1611.0,1606.4,1595.0,1538.6,1612.3,1600.0,1595.2,,1581.0,1620.8,,,1621.0,1621.0,1592.4,1615.5,,1586.8,1450.0,1622.0,1608.0,1657.9,1585.0,1530.1,1582.1,1598.2,0.3,231.0,14.0,9.4,-2.0,-58.4,15.3,3.0,-1.8,,-16.0,23.8,,,24.0,24.0,-4.6,18.5,,-10.2,-147.0,25.0,11.0,60.9,-12.0,-66.9,-14.9,1.2,False,False,False,False,False,False,False,False,,False,False,,,False,False,False,False,,False,False,False,False,False,False,False,False,False
Connecticut,4186,4179.9,4530.0,4198.0,4187.3,4168.0,4134.7,4218.5,4177.0,,,4225.0,4152.8,,,4213.0,4198.9,4192.5,4216.8,,4164.5,3927.0,4172.0,4122.0,4271.0,4164.0,3972.5,4156.6,4182.8,-6.1,344.0,12.0,1.3,-18.0,-51.3,32.5,-9.0,,,39.0,-33.2,,,27.0,12.9,6.5,30.8,,-21.5,-259.0,-14.0,-64.0,85.0,-22.0,-213.5,-29.4,-3.2,False,False,True,False,False,False,False,,,False,False,,,False,False,False,False,,False,False,False,False,False,False,False,False,True
Delaware,419,425.4,492.0,419.0,418.6,416.0,392.2,416.8,419.0,410.9,,404.0,403.8,,,425.0,431.2,411.1,419.4,,417.5,404.5,427.0,418.0,420.1,419.0,404.8,423.4,424.0,6.4,73.0,0.0,-0.4,-3.0,-26.8,-2.2,0.0,-8.1,,-15.0,-15.2,,,6.0,12.2,-7.9,0.4,,-1.5,-14.5,8.0,-1.0,1.1,0.0,-14.2,4.4,5.0,False,True,True,True,False,True,True,False,,False,False,,,True,False,False,True,,True,False,False,True,True,True,False,True,True
District of Columbia,511,508.7,571.0,504.0,514.8,511.0,489.3,514.8,512.0,497.2,,511.0,504.5,,,539.0,516.8,509.8,,,508.6,440.0,512.0,508.0,539.4,506.0,512.2,506.9,509.5,-2.3,60.0,-7.0,3.8,0.0,-21.7,3.8,1.0,-13.8,,0.0,-6.5,,,28.0,5.8,-1.2,,,-2.4,-71.0,1.0,-3.0,28.4,-5.0,1.2,-4.1,-1.5,False,False,False,True,False,False,True,False,,True,False,,,False,False,True,,,False,False,True,False,False,False,True,False,True
Florida,2925,2913.4,3622.0,2929.0,2933.0,3001.0,2642.2,2901.8,2950.0,,,2976.0,2828.9,,,2998.0,3071.2,2949.2,2868.6,,2993.6,2820.5,2892.0,3442.0,2927.1,2927.0,2782.7,2873.9,2905.5,-11.6,697.0,4.0,8.0,76.0,-282.8,-23.2,25.0,,,51.0,-96.1,,,73.0,146.2,24.2,-56.4,,68.6,-104.5,-33.0,517.0,2.1,2.0,-142.3,-51.1,-19.5,False,True,True,False,False,False,False,,,False,False,,,False,False,False,False,,False,False,False,False,True,True,False,False,False
