,mean_rank
YYG-ParamSearch,6.2
COVIDhub-ensemble,6.5
UMass-MechBayes,6.9
OliverWyman-Navigator,7.6
LANL-GrowthRate,7.8
UCLA-SuEIR,8.0
UT-Mobility,8.1
MIT_CovidAnalytics-DELPHI,8.5
MOBS_NEU-GLEAM_COVID,9.0
Geneva-DeterministicGrowth,10.2
IHME-CurveFit,10.4
IowaStateLW-STEM,11.3
CU-select,11.4
SWC-TerminusCM,12.0
JHU_IDD-CovidSP,13.5
Covid19Sim-Simulator,13.6
CovidActNow-SEIR_CAN,13.8
UA-EpiCovDA,14.1
USACE-ERDC_SEIR,14.2
PSI-DRAFT,17.5
Auquan-SEIR,20.4
