,actual_deaths,Baseline,Baseline_0.98,Auquan-SEIR,COVIDhub-ensemble,CU-select,GT-DeepCOVID,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,MIT_CovidAnalytics-DELPHI,MOBS_NEU-GLEAM_COVID,NotreDame-FRED,PSI-DRAFT,UA-EpiCovDA,UCLA-SuEIR,UChicago-CovidIL,UChicago-CovidIL_100,UChicago-CovidIL_10_increase,UChicago-CovidIL_30_increase,UMass-MechBayes,USACE-ERDC_SEIR,UT-Mobility,YYG-ParamSearch,error-Baseline,error-Auquan-SEIR,error-COVIDhub-ensemble,error-CU-select,error-GT-DeepCOVID,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MIT_CovidAnalytics-DELPHI,error-MOBS_NEU-GLEAM_COVID,error-NotreDame-FRED,error-PSI-DRAFT,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UChicago-CovidIL,error-UChicago-CovidIL_100,error-UChicago-CovidIL_10_increase,error-UChicago-CovidIL_30_increase,error-UMass-MechBayes,error-USACE-ERDC_SEIR,error-UT-Mobility,error-YYG-ParamSearch,beat_baseline-Auquan-SEIR,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-GT-DeepCOVID,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MIT_CovidAnalytics-DELPHI,beat_baseline-MOBS_NEU-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-PSI-DRAFT,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UChicago-CovidIL,beat_baseline-UChicago-CovidIL_100,beat_baseline-UChicago-CovidIL_10_increase,beat_baseline-UChicago-CovidIL_30_increase,beat_baseline-UMass-MechBayes,beat_baseline-USACE-ERDC_SEIR,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch
Alabama,773,854.4,773.3,973.0,915.4,975.0,1008.2,901.3,686.0,2042.4,671.6,763.0,1013.1,,1076.0,981.0,828.4,,,,,718.0,726.2,619.1,942.7,81.4,200.0,142.4,202.0,235.2,128.3,-87.0,1269.4,-101.4,-10.0,240.1,,303.0,208.0,55.4,,,,,-55.0,-46.8,-153.9,169.7,False,False,False,False,False,False,False,False,True,False,,False,False,True,,,,,True,True,False,False
Alaska,12,10.0,10.0,17.0,12.4,16.0,12.5,3.0,,47.5,10.2,9.0,11.3,,10.0,16.0,12.5,,,,,10.0,11.4,13.4,12.4,-2.0,5.0,0.4,4.0,0.5,-9.0,,35.5,-1.8,-3.0,-0.7,,-2.0,4.0,0.5,,,,,-2.0,-0.6,1.4,0.4,False,True,False,True,False,,False,True,False,True,,False,False,True,,,,,False,True,True,True
Arizona,1189,1235.4,1112.4,1246.0,1349.7,1221.0,2086.4,1728.9,1163.0,3807.4,1151.8,1309.0,1256.9,,1910.5,1564.0,1752.4,,,,,1315.0,1238.3,1064.1,1465.5,46.4,57.0,160.7,32.0,897.4,539.9,-26.0,2618.4,-37.2,120.0,67.9,,721.5,375.0,563.4,,,,,126.0,49.3,-124.9,276.5,False,False,True,False,False,True,False,True,False,False,,False,False,False,,,,,False,False,False,False
Arkansas,177,125.0,119.0,200.0,175.3,243.0,163.3,115.1,139.0,475.2,165.0,139.0,164.2,,214.0,368.0,131.0,,,,,138.0,157.5,119.1,142.3,-52.0,23.0,-1.7,66.0,-13.7,-61.9,-38.0,298.2,-12.0,-38.0,-12.8,,37.0,191.0,-46.0,,,,,-39.0,-19.5,-57.9,-34.7,True,True,False,True,False,True,False,True,True,True,,True,False,True,,,,,True,True,False,True
California,5076,5261.1,4813.6,5824.0,4767.5,4756.0,4781.2,5142.6,4578.0,12578.1,4500.6,4970.0,4853.9,,5394.0,6277.0,4850.0,,,,,4834.0,5501.2,4195.6,5007.0,185.1,748.0,-308.5,-320.0,-294.8,66.6,-498.0,7502.1,-575.4,-106.0,-222.1,,318.0,1201.0,-226.0,,,,,-242.0,425.2,-880.4,-69.0,False,False,False,False,True,False,False,False,True,False,,False,False,False,,,,,False,False,False,True
Colorado,1597,2156.1,1947.8,2000.0,1785.1,1664.0,1914.0,1851.7,1422.0,3005.1,1577.3,1739.0,2360.8,,1783.0,1817.0,1528.0,,,,,2058.0,1672.9,1557.0,1964.5,559.1,403.0,188.1,67.0,317.0,254.7,-175.0,1408.1,-19.7,142.0,763.8,,186.0,220.0,-69.0,,,,,461.0,75.9,-40.0,367.5,True,True,True,True,True,True,False,True,True,False,,True,True,True,,,,,True,True,True,True
Connecticut,4186,5109.0,4732.4,4552.0,4434.7,4320.0,4677.1,4568.8,3938.0,3926.6,4802.7,4120.0,4863.7,,4405.0,4300.0,4414.2,,,,,4888.0,3850.3,3859.4,4479.9,923.0,366.0,248.7,134.0,491.1,382.8,-248.0,-259.4,616.7,-66.0,677.7,,219.0,114.0,228.2,,,,,702.0,-335.7,-326.6,293.9,True,True,True,True,True,True,True,True,True,True,,True,True,True,,,,,True,True,True,True
Delaware,419,556.1,497.2,553.0,514.7,554.0,756.4,481.6,420.0,814.1,425.4,431.0,567.5,,524.0,468.0,476.7,,,,,578.0,382.6,404.6,558.5,137.1,134.0,95.7,135.0,337.4,62.6,1.0,395.1,6.4,12.0,148.5,,105.0,49.0,57.7,,,,,159.0,-36.4,-14.4,139.5,True,True,True,False,True,True,False,True,True,False,,True,True,True,,,,,False,True,True,False
District of Columbia,511,614.4,563.2,625.0,546.1,,471.3,549.1,537.0,722.8,510.1,684.0,,,580.0,696.0,516.0,,,,,543.0,499.1,462.3,596.7,103.4,114.0,35.1,,-39.7,38.1,26.0,211.8,-0.9,173.0,,,69.0,185.0,5.0,,,,,32.0,-11.9,-48.7,85.7,False,True,,True,True,True,False,True,False,,,True,False,True,,,,,True,True,True,True
Florida,2925,2945.0,2729.8,3294.0,2739.7,2850.0,,3371.5,2599.0,5333.5,2791.9,2488.0,2703.4,,3100.0,17060.0,2596.7,,,,,2830.0,2386.5,2341.6,2916.8,20.0,369.0,-185.3,-75.0,,446.5,-326.0,2408.5,-133.1,-437.0,-221.6,,175.0,14135.0,-328.3,,,,,-95.0,-538.5,-583.4,-8.2,False,False,False,,False,False,False,False,False,False,,False,False,False,,,,,False,False,False,True
