,actual_deaths,Baseline,IHME-CurveFit,IowaStateLW-STEM,LANL-GrowthRate,error-Baseline,error-IHME-CurveFit,error-IowaStateLW-STEM,error-LANL-GrowthRate,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate
Alabama,773,644.1,309.1,328.0,464.3,-128.9,-463.9,-445.0,-308.7,False,False,False
Alaska,12,9.0,,,10.6,-3.0,,,-1.4,,,True
Arizona,1189,899.0,755.1,585.0,719.4,-290.0,-433.9,-604.0,-469.6,False,False,False
Arkansas,177,133.3,162.5,161.0,109.3,-43.7,-14.5,-16.0,-67.7,True,True,False
California,5076,5482.7,2035.4,3427.0,4247.6,406.7,-3040.6,-1649.0,-828.4,False,False,False
Colorado,1597,2525.7,1052.3,1357.0,2496.6,928.7,-544.7,-240.0,899.6,True,True,True
Connecticut,4186,7389.1,3366.3,3418.0,3929.6,3203.1,-819.7,-768.0,-256.4,True,True,True
Delaware,419,483.4,156.6,443.0,277.5,64.4,-262.4,24.0,-141.5,False,True,False
District of Columbia,511,740.3,255.2,444.0,501.1,229.3,-255.8,-67.0,-9.9,False,True,True
Florida,2925,3139.0,1919.9,2070.0,1935.0,214.0,-1005.1,-855.0,-990.0,False,False,False
Georgia,2447,2486.3,2253.5,1522.0,1597.1,39.3,-193.5,-925.0,-849.9,False,False,False
Hawaii,17,41.4,22.7,,17.4,24.4,5.7,,0.4,True,,True
Idaho,87,138.3,66.0,101.0,73.1,51.3,-21.0,14.0,-13.9,True,True,True
Illinois,6289,6342.1,2292.2,4507.0,5948.1,53.1,-3996.8,-1782.0,-340.9,False,False,False
Indiana,2413,2534.1,1017.9,1430.0,2138.8,121.1,-1395.1,-983.0,-274.2,False,False,False
Iowa,650,412.9,327.7,427.0,767.5,-237.1,-322.3,-223.0,117.5,False,True,True
Kansas,245,313.0,351.5,489.0,334.9,68.0,106.5,244.0,89.9,False,False,False
Kentucky,499,633.1,516.1,329.0,443.6,134.1,17.1,-170.0,-55.4,True,False,True
Louisiana,3004,4698.1,2032.5,2952.0,2025.1,1694.1,-971.5,-52.0,-978.9,True,True,True
Maine,100,159.7,66.5,69.0,68.6,59.7,-33.5,-31.0,-31.4,True,True,True
Maryland,2926,3988.9,1196.5,1927.0,3538.4,1062.9,-1729.5,-999.0,612.4,False,True,True
Massachusetts,7576,11079.6,5632.4,6336.0,11442.3,3503.6,-1943.6,-1240.0,3866.3,True,True,False
Michigan,6013,9651.0,3818.1,5070.0,5064.9,3828.0,-2004.9,-753.0,-758.1,True,True,True
Minnesota,1314,1218.3,728.4,464.0,1127.8,-95.7,-585.6,-850.0,-186.2,False,False,False
Mississippi,889,693.3,380.0,318.0,364.8,-195.7,-509.0,-571.0,-524.2,False,False,False
Missouri,887,859.0,637.3,530.0,448.1,63.0,-158.7,-266.0,-347.9,False,False,False
Montana,18,41.4,26.8,19.0,15.3,23.4,8.8,1.0,-2.7,True,True,True
Nebraska,215,248.0,369.7,428.0,482.0,33.0,154.7,213.0,267.0,False,False,False
Nevada,462,535.1,259.4,516.0,431.8,73.1,-202.6,54.0,-30.2,False,True,True
New Hampshire,318,210.9,71.6,119.0,124.7,-107.1,-246.4,-199.0,-193.3,False,False,False
New Jersey,14476,16744.9,7051.0,12240.0,12135.5,3660.9,-6033.0,-844.0,-948.5,False,True,True
New Mexico,431,400.7,210.0,189.0,327.2,-30.3,-221.0,-242.0,-103.8,False,False,False
New York,31441,47551.3,24087.6,30526.0,35865.3,16758.3,-6705.4,-267.0,5072.3,True,True,True
North Carolina,1127,1174.3,375.4,518.0,963.2,47.3,-751.6,-609.0,-163.8,False,False,False
North Dakota,74,71.9,233.7,48.0,38.6,-2.1,159.7,-26.0,-35.4,False,False,False
Ohio,2556,2490.3,835.5,1529.0,1202.0,-65.7,-1720.5,-1027.0,-1354.0,False,False,False
Oklahoma,359,572.1,,299.0,355.6,213.1,,-60.0,-3.4,,True,True
Oregon,173,215.4,124.8,147.0,176.4,42.4,-48.2,-26.0,3.4,False,True,True
Pennsylvania,6211,5518.9,2318.2,3878.0,4218.1,-692.1,-3892.8,-2333.0,-1992.9,False,False,False
Rhode Island,833,747.1,594.2,774.0,674.1,-85.9,-238.8,-59.0,-158.9,False,True,False
South Carolina,599,544.3,350.7,366.0,385.7,-54.7,-248.3,-233.0,-213.3,False,False,False
South Dakota,75,38.4,42.3,189.0,22.0,-36.6,-32.7,114.0,-53.0,True,False,False
Tennessee,472,407.3,247.5,1003.0,496.7,-64.7,-224.5,531.0,24.7,False,False,True
Texas,2125,1755.0,1447.1,2099.0,1351.7,-283.0,-590.9,61.0,-686.3,False,True,False
Utah,139,137.0,412.3,228.0,96.6,-2.0,273.3,89.0,-42.4,False,False,False
Vermont,55,100.9,54.2,53.0,51.2,45.9,-0.8,-2.0,-3.8,True,True,True
Virginia,1541,1628.4,633.8,1198.0,1609.3,87.4,-907.2,-343.0,68.3,False,False,True
Washington,1213,1523.9,859.8,1253.0,1208.7,310.9,-353.2,40.0,-4.3,False,True,True
West Virginia,88,143.7,38.4,188.0,52.5,55.7,-49.6,100.0,-35.5,True,False,True
Wisconsin,691,628.6,331.1,457.0,618.1,-62.4,-359.9,-234.0,-72.9,False,False,False
Wyoming,18,41.3,64.2,13.0,8.0,23.3,46.2,-5.0,-10.0,False,True,True
US,118093,150442.1,72785.3,,129208.6,34757.1,-42899.7,,13523.6,False,,True
