,actual_deaths,Baseline,Baseline_0.98,Auquan-SEIR,COVIDhub-ensemble,CU-select,Covid19Sim-Simulator,CovidActNow-SEIR_CAN,GT-DeepCOVID,GT_CHHS-COVID19,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,MIT_CovidAnalytics-DELPHI,MOBS_NEU-GLEAM_COVID,NotreDame-FRED,PSI-DRAFT,SWC-TerminusCM,UA-EpiCovDA,UCLA-SuEIR,UMass-MechBayes,USACE-ERDC_SEIR,UT-Mobility,YYG-ParamSearch,error-Baseline,error-Auquan-SEIR,error-COVIDhub-ensemble,error-CU-select,error-Covid19Sim-Simulator,error-CovidActNow-SEIR_CAN,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MIT_CovidAnalytics-DELPHI,error-MOBS_NEU-GLEAM_COVID,error-NotreDame-FRED,error-PSI-DRAFT,error-SWC-TerminusCM,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UMass-MechBayes,error-USACE-ERDC_SEIR,error-UT-Mobility,error-YYG-ParamSearch,beat_baseline-Auquan-SEIR,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidActNow-SEIR_CAN,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MIT_CovidAnalytics-DELPHI,beat_baseline-MOBS_NEU-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-PSI-DRAFT,beat_baseline-SWC-TerminusCM,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-USACE-ERDC_SEIR,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch
Alabama,773,776.7,760.3,903.0,800.8,950.0,670.9,802.9,,,693.5,657.0,865.3,762.3,830.0,742.9,,776.0,711.0,992.0,762.8,759.0,791.3,776.7,781.2,3.7,130.0,27.8,177.0,-102.1,29.9,,,-79.5,-116.0,92.3,-10.7,57.0,-30.1,,3.0,-62.0,219.0,-10.2,-14.0,18.3,3.7,8.2,False,False,False,False,False,,,False,False,False,False,False,False,,True,False,False,False,False,False,True,False
Alaska,12,10.0,10.0,16.0,11.3,10.0,10.7,14.3,32.3,,10.4,,17.6,11.6,9.0,10.3,,10.0,,13.0,10.6,11.0,9.3,9.4,10.5,-2.0,4.0,-0.7,-2.0,-1.3,2.3,20.3,,-1.6,,5.6,-0.4,-3.0,-1.7,,-2.0,,1.0,-1.4,-1.0,-2.7,-2.6,-1.5,False,True,False,True,False,False,,True,,False,True,False,True,,False,,True,True,True,False,False,True
Arizona,1189,1103.9,1081.9,1288.0,1186.1,1156.0,930.2,1264.4,,,1121.9,1180.0,1278.1,1239.9,1209.0,1182.7,,1191.5,1150.0,1393.0,1173.8,1195.0,1155.5,1090.9,1154.4,-85.1,99.0,-2.9,-33.0,-258.8,75.4,,,-67.1,-9.0,89.1,50.9,20.0,-6.3,,2.5,-39.0,204.0,-15.2,6.0,-33.5,-98.1,-34.6,False,True,True,False,True,,,True,True,False,True,True,True,,True,True,False,True,True,True,False,True
Arkansas,177,164.6,161.0,223.0,174.0,199.0,152.6,169.1,184.6,,176.0,161.0,221.0,174.2,146.0,162.3,,164.0,149.0,319.0,171.1,186.0,161.4,158.7,164.1,-12.4,46.0,-3.0,22.0,-24.4,-7.9,7.6,,-1.0,-16.0,44.0,-2.8,-31.0,-14.7,,-13.0,-28.0,142.0,-5.9,9.0,-15.6,-18.3,-12.9,False,True,False,False,True,True,,True,False,False,True,False,False,,False,False,False,True,True,False,False,False
California,5076,4950.1,4863.3,5808.0,5291.2,6292.0,4439.1,5830.0,4967.2,,5572.8,5566.0,5862.0,4880.6,5199.0,4948.5,,5112.0,4707.0,6484.0,5146.5,5172.0,5379.2,4856.7,4963.2,-125.9,732.0,215.2,1216.0,-636.9,754.0,-108.8,,496.8,490.0,786.0,-195.4,123.0,-127.5,,36.0,-369.0,1408.0,70.5,96.0,303.2,-219.3,-112.8,False,False,False,False,False,True,,False,False,False,False,True,False,,True,False,False,True,True,False,False,True
Colorado,1597,1654.9,1631.4,2005.0,1653.0,1545.0,1495.8,1656.8,1704.7,,1862.2,1785.0,1728.3,1708.9,1618.0,1658.3,,1682.0,1663.0,1884.0,1737.9,1656.0,1571.8,1587.5,1675.7,57.9,408.0,56.0,-52.0,-101.2,59.8,107.7,,265.2,188.0,131.3,111.9,21.0,61.3,,85.0,66.0,287.0,140.9,59.0,-25.2,-9.5,78.7,False,True,True,False,False,False,,False,False,False,False,True,False,,False,False,False,False,False,True,True,False
Connecticut,4186,4410.1,4358.1,4688.0,4260.9,4271.0,4127.0,4317.0,,,4135.5,4217.0,4264.0,4151.4,4221.0,4308.3,,4273.0,4113.0,4036.0,4398.0,4214.0,4000.7,4218.3,4289.8,224.1,502.0,74.9,85.0,-59.0,131.0,,,-50.5,31.0,78.0,-34.6,35.0,122.3,,87.0,-73.0,-150.0,212.0,28.0,-185.3,32.3,103.8,False,True,True,True,True,,,True,True,True,True,True,True,,True,True,True,True,True,True,True,True
Delaware,419,440.3,432.0,530.0,432.1,451.0,374.9,470.9,414.0,,393.2,421.0,461.7,404.0,423.0,431.9,,460.0,402.0,420.0,420.7,411.0,397.7,427.6,434.0,21.3,111.0,13.1,32.0,-44.1,51.9,-5.0,,-25.8,2.0,42.7,-15.0,4.0,12.9,,41.0,-17.0,1.0,1.7,-8.0,-21.3,8.6,15.0,False,True,False,False,False,True,,False,True,False,True,True,True,,False,True,True,True,True,True,True,True
District of Columbia,511,529.1,522.1,626.0,536.6,,476.7,577.4,544.4,,518.8,593.0,544.3,517.6,537.0,,,520.0,525.0,518.0,582.7,511.0,496.0,508.8,525.2,18.1,115.0,25.6,,-34.3,66.4,33.4,,7.8,82.0,33.3,6.6,26.0,,,9.0,14.0,7.0,71.7,0.0,-15.0,-2.2,14.2,False,False,,False,False,False,,True,False,False,True,False,,,True,True,True,False,True,True,True,True
Florida,2925,2848.4,2804.1,3226.0,2873.2,2928.0,2517.2,2712.7,2954.4,,2792.6,3028.0,3235.7,2849.4,2744.0,2785.5,,3040.0,2785.0,3437.0,3001.0,2916.0,2690.6,2779.0,2860.8,-76.6,301.0,-51.8,3.0,-407.8,-212.3,29.4,,-132.4,103.0,310.7,-75.6,-181.0,-139.5,,115.0,-140.0,512.0,76.0,-9.0,-234.4,-146.0,-64.2,False,True,True,False,False,True,,False,False,False,True,False,False,,False,False,False,True,True,False,False,True
