,total_deaths_2020-05-24,predicted_deaths,actual_deaths,predicted_addl_deaths,actual_addl_deaths,error,perc_error
PSI-DRAFT,101016,114899.0,118348,17179.0,17332,-153.0,-0.9%
UMass-MechBayes,101016,114894.0,118348,17174.0,17332,-158.0,-0.9%
UCLA-SuEIR,101016,115390.2,118348,17670.2,17332,338.2,2.0%
MOBS-GLEAM_COVID,101016,115405.5,118348,17685.5,17332,353.5,2.0%
GT-DeepCOVID,101016,115838.4,118348,18118.4,17332,786.4,4.5%
CovidAnalytics-DELPHI,101016,115939.0,118348,18219.0,17332,887.0,5.1%
LANL-GrowthRate,101016,116356.7,118348,18636.7,17332,1304.7,7.5%
IowaStateLW-STEM,101016,116660.0,118348,18940.0,17332,1608.0,9.3%
CU-select,101016,117588.0,118348,19868.0,17332,2536.0,14.6%
COVIDhub-ensemble,101016,117606.9,118348,19886.9,17332,2554.9,14.7%
UT-Mobility,101016,118018.5,118348,20298.5,17332,2966.5,17.1%
YYG-ParamSearch,101016,118896.4,118348,21176.4,17332,3844.4,22.2%
USACE-ERDC_SEIR,101016,109943.5,118348,12223.5,17332,-5108.5,-29.5%
Baseline,101016,121028.6,118348,23308.6,17332,5976.6,34.5%
Covid19Sim-Simulator,101016,108334.1,118348,10614.1,17332,-6717.9,-38.8%
COVIDhub-baseline,101016,122089.4,118348,24369.4,17332,7037.4,40.6%
UA-EpiCovDA,101016,122429.0,118348,24709.0,17332,7377.0,42.6%
JHU_IDD-CovidSP,101016,128522.4,118348,30802.4,17332,13470.4,77.7%
Auquan-SEIR,101016,,118348,,17332,,
NotreDame-FRED,101016,,118348,,17332,,
SWC-TerminusCM,101016,,118348,,17332,,
