,actual_deaths,Baseline,Baseline_0.98,Auquan-SEIR,COVIDhub-ensemble,CU-select,Covid19Sim-Simulator,GT-DeepCOVID,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,MIT_CovidAnalytics-DELPHI,MOBS_NEU-GLEAM_COVID,NotreDame-FRED,PSI-DRAFT,SWC-TerminusCM,UA-EpiCovDA,UCLA-SuEIR,UMass-MechBayes,USACE-ERDC_SEIR,UT-Mobility,YYG-ParamSearch,error-Baseline,error-Baseline_0.98,error-Auquan-SEIR,error-COVIDhub-ensemble,error-CU-select,error-Covid19Sim-Simulator,error-GT-DeepCOVID,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MIT_CovidAnalytics-DELPHI,error-MOBS_NEU-GLEAM_COVID,error-NotreDame-FRED,error-PSI-DRAFT,error-SWC-TerminusCM,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UMass-MechBayes,error-USACE-ERDC_SEIR,error-UT-Mobility,error-YYG-ParamSearch,beat_baseline-Auquan-SEIR,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Covid19Sim-Simulator,beat_baseline-GT-DeepCOVID,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MIT_CovidAnalytics-DELPHI,beat_baseline-MOBS_NEU-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-PSI-DRAFT,beat_baseline-SWC-TerminusCM,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-USACE-ERDC_SEIR,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch
Alabama,773,731.0,700.6,973.0,802.7,899.0,627.5,,614.0,1018.1,800.7,792.0,760.0,,868.0,727.0,958.0,750.2,730.0,748.9,733.0,786.6,-42.0,-72.4,200.0,29.7,126.0,-145.5,,-159.0,245.1,27.7,19.0,-13.0,,95.0,-46.0,185.0,-22.8,-43.0,-24.1,-40.0,13.6,False,True,False,False,,False,False,True,True,True,,False,False,False,True,False,True,True,True
Alaska,12,10.0,10.0,17.0,12.6,10.0,10.9,11.5,,33.4,10.3,9.0,10.7,,10.0,,13.0,10.8,10.0,11.3,10.0,11.2,-2.0,-2.0,5.0,0.6,-2.0,-1.1,-0.5,,21.4,-1.7,-3.0,-1.3,,-2.0,,1.0,-1.2,-2.0,-0.7,-2.0,-0.8,False,True,False,True,True,,False,True,False,True,,False,,True,True,False,True,False,True
Arizona,1189,1146.7,1088.3,1246.0,1225.3,1138.0,1169.9,1252.5,1201.0,1505.3,1096.2,1325.0,1384.5,,867.5,1283.0,1266.0,1185.5,1093.0,1181.1,1278.0,1277.5,-42.3,-100.7,57.0,36.3,-51.0,-19.1,63.5,12.0,316.3,-92.8,136.0,195.5,,-321.5,94.0,77.0,-3.5,-96.0,-7.9,89.0,88.5,False,True,False,True,False,True,False,False,False,False,,False,False,False,True,False,True,False,False
Arkansas,177,167.4,158.7,200.0,187.3,278.0,142.8,,172.0,267.1,181.1,139.0,156.5,,175.0,175.0,144.0,178.1,189.0,167.2,153.0,155.3,-9.6,-18.3,23.0,10.3,101.0,-34.2,,-5.0,90.1,4.1,-38.0,-20.5,,-2.0,-2.0,-33.0,1.1,12.0,-9.8,-24.0,-21.7,False,False,False,False,,True,False,True,False,False,,True,True,False,True,False,False,False,False
California,5076,5222.6,4974.4,5824.0,5237.3,5109.0,4305.9,5406.3,5334.0,6864.1,4870.5,5085.0,5102.0,,5365.0,4948.0,6089.0,5016.0,4930.0,5489.8,5167.0,5067.3,145.6,-102.6,747.0,160.3,32.0,-771.1,329.3,257.0,1787.1,-206.5,8.0,25.0,,288.0,-129.0,1012.0,-61.0,-147.0,412.8,90.0,-9.7,False,False,True,False,False,False,False,False,True,True,,False,True,False,True,False,False,True,True
Colorado,1597,1666.3,1609.8,2000.0,1734.8,1594.0,1493.4,1654.4,1864.0,1908.9,1712.1,1672.0,1773.3,,1872.0,2068.0,1658.0,1796.1,1604.0,1652.4,1775.0,1780.7,69.3,12.8,403.0,137.8,-3.0,-103.6,57.4,267.0,311.9,115.1,75.0,176.3,,275.0,471.0,61.0,199.1,7.0,55.4,178.0,183.7,False,False,True,False,True,False,False,False,False,False,,False,False,True,False,True,True,False,False
Connecticut,4186,4507.3,4369.7,4552.0,4309.6,4385.0,4149.5,,4104.0,4340.6,4368.5,4173.0,4391.3,,4414.0,4353.0,3910.0,4437.9,4198.0,3966.5,4223.0,4311.5,321.3,183.7,366.0,123.6,199.0,-36.5,,-82.0,154.6,182.5,-13.0,205.3,,228.0,167.0,-276.0,251.9,12.0,-219.5,37.0,125.5,False,True,True,True,,True,True,True,True,True,,True,True,True,True,True,True,True,True
Delaware,419,428.9,411.5,553.0,439.9,496.0,361.9,384.4,415.0,501.3,439.6,440.0,451.1,,484.0,510.0,454.0,410.2,399.0,384.3,450.0,451.7,9.9,-7.5,134.0,20.9,77.0,-57.1,-34.6,-4.0,82.3,20.6,21.0,32.1,,65.0,91.0,35.0,-8.8,-20.0,-34.7,31.0,32.7,False,False,False,False,False,True,False,False,False,False,,False,False,False,True,False,False,False,False
District of Columbia,511,572.0,548.3,625.0,573.7,,470.6,,582.0,612.1,559.4,596.0,,,569.0,569.0,479.0,623.9,529.0,518.6,561.0,550.5,61.0,37.3,114.0,62.7,,-40.4,,71.0,101.1,48.4,85.0,,,58.0,58.0,-32.0,112.9,18.0,7.6,50.0,39.5,False,False,,True,,False,False,True,False,,,True,True,True,False,True,True,True,True
Florida,2925,2991.3,2863.8,3294.0,2955.0,3139.0,2388.0,,2830.0,3513.6,2862.6,2632.0,2796.4,,3010.5,2976.0,3345.0,2986.8,2854.0,2497.5,2960.5,2956.3,66.3,-61.2,369.0,30.0,214.0,-537.0,,-95.0,588.6,-62.4,-293.0,-128.6,,85.5,51.0,420.0,61.8,-71.0,-427.5,35.5,31.3,False,True,False,False,,False,False,True,False,False,,False,True,False,True,False,False,True,True
