,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,UCLA-SuEIR,USACE-ERDC_SEIR,YYG-ParamSearch,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-YYG-ParamSearch,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-YYG-ParamSearch
Alabama,1755,1408.7,1159.6,832.8,746.0,1128.9,1476.9,1841.1,-346.3,-595.4,-922.2,-1009.0,-626.1,-278.1,86.1,False,False,False,False,True,True
Alaska,26,10.0,11.7,10.4,,11.5,9.8,11.6,-16.0,-14.3,-15.6,,-14.5,-16.2,-14.4,True,True,,True,False,True
Arizona,4137,1951.9,1303.7,2665.4,1578.0,1965.9,2378.9,3151.3,-2185.1,-2833.3,-1471.6,-2559.0,-2171.1,-1758.1,-985.7,False,True,False,True,True,True
Arkansas,535,300.6,309.6,608.4,583.0,270.7,344.0,373.5,-234.4,-225.4,73.4,48.0,-264.3,-191.0,-161.5,True,True,True,False,True,True
California,10307,8302.1,6756.2,12951.4,7375.0,8407.9,10023.9,9833.4,-2004.9,-3550.8,2644.4,-2932.0,-1899.1,-283.1,-473.6,False,False,False,True,True,True
Colorado,1857,2558.9,1707.0,3457.0,1934.0,2402.3,1827.9,3260.3,701.9,-150.0,1600.0,77.0,545.3,-29.1,1403.3,True,False,True,True,True,False
Connecticut,4441,6418.1,4540.5,4251.0,4355.0,5034.5,4108.6,5127.6,1977.1,99.5,-190.0,-86.0,593.5,-332.4,686.6,True,True,True,True,True,True
Delaware,590,760.3,448.6,412.8,459.0,507.6,434.3,764.1,170.3,-141.4,-177.2,-131.0,-82.4,-155.7,174.1,True,False,True,True,True,False
District of Columbia,590,801.1,553.9,698.4,714.0,840.2,550.4,720.4,211.1,-36.1,108.4,124.0,250.2,-39.6,130.4,True,True,True,False,True,True
Florida,8109,4560.4,3159.2,3707.4,3310.0,4881.6,3365.3,5618.4,-3548.6,-4949.8,-4401.6,-4799.0,-3227.4,-4743.7,-2490.6,False,False,False,True,False,True
Georgia,4186,4280.7,2662.0,2759.3,2623.0,2828.9,2683.9,5059.0,94.7,-1524.0,-1426.7,-1563.0,-1357.1,-1502.1,873.0,False,False,False,False,False,False
Hawaii,31,17.0,17.8,17.5,,18.8,17.9,20.6,-14.0,-13.2,-13.5,,-12.2,-13.1,-10.4,True,True,,True,True,True
Idaho,235,111.6,117.0,97.7,86.0,94.2,87.4,100.5,-123.4,-118.0,-137.3,-149.0,-140.8,-147.6,-134.5,True,False,False,False,False,False
Illinois,7840,10653.7,7081.6,6370.5,7902.0,8696.1,6609.1,9137.3,2813.7,-758.4,-1469.5,62.0,856.1,-1230.9,1297.3,True,True,True,True,True,True
Indiana,3036,3691.4,2552.3,2349.8,2858.0,2728.5,2543.4,4166.1,655.4,-483.7,-686.2,-178.0,-307.5,-492.6,1130.1,True,False,True,True,True,False
Iowa,927,1313.7,775.6,1039.6,775.0,860.1,609.3,1789.1,386.7,-151.4,112.6,-152.0,-66.9,-317.7,862.1,True,True,True,True,True,False
Kansas,380,313.6,294.2,226.8,328.0,303.7,230.4,333.8,-66.4,-85.8,-153.2,-52.0,-76.3,-149.6,-46.2,False,False,True,False,False,True
Kentucky,772,825.3,529.0,539.6,508.0,827.3,627.7,893.4,53.3,-243.0,-232.4,-264.0,55.3,-144.3,121.4,False,False,False,False,False,False
Louisiana,4207,3776.7,3214.7,2946.7,3236.0,3276.1,1911.4,3908.1,-430.3,-992.3,-1260.3,-971.0,-930.9,-2295.6,-298.9,False,False,False,False,False,True
Maine,125,197.4,132.6,167.3,336.0,103.1,187.3,126.1,72.4,7.6,42.3,211.0,-21.9,62.3,1.1,True,True,False,True,True,True
Maryland,3577,5045.6,3669.0,2883.4,3773.0,4416.0,3450.7,5338.3,1468.6,92.0,-693.6,196.0,839.0,-126.3,1761.3,True,True,True,True,True,False
Massachusetts,8721,11518.3,7858.5,9002.6,8712.0,8866.6,7278.9,8995.6,2797.3,-862.5,281.6,-9.0,145.6,-1442.1,274.6,True,True,True,True,True,True
Michigan,6520,8083.4,5992.2,5986.2,6119.0,6389.0,5273.3,6677.4,1803.4,-287.8,-293.8,-161.0,109.0,-1006.7,397.4,True,True,True,True,True,True
Minnesota,1689,2745.4,1827.3,1711.5,6144.0,1861.7,1384.1,3339.4,1056.4,138.3,22.5,4455.0,172.7,-304.9,1650.4,True,True,False,True,True,False
Mississippi,1874,1808.4,992.6,947.3,952.0,1138.8,1331.5,2333.0,-65.6,-881.4,-926.7,-922.0,-735.2,-542.5,459.0,False,False,False,False,False,False
Missouri,1327,1663.1,866.4,995.9,1075.0,1521.2,1039.4,2145.0,374.1,-422.6,-293.1,-214.0,232.2,-249.6,856.0,False,True,True,True,True,False
Montana,75,26.9,18.2,16.0,17.0,20.8,15.2,20.6,-48.1,-56.8,-59.0,-58.0,-54.2,-59.8,-54.4,False,False,False,False,False,False
Nebraska,345,396.7,378.1,474.8,385.0,336.6,190.6,596.4,51.7,33.1,129.8,40.0,-8.4,-154.4,251.4,True,False,True,True,False,False
Nevada,949,781.7,506.8,691.7,627.0,612.3,559.6,781.0,-167.3,-442.2,-257.3,-322.0,-336.7,-389.4,-168.0,False,False,False,False,False,False
New Hampshire,419,599.9,285.7,350.0,283.0,472.6,377.6,829.2,180.9,-133.3,-69.0,-136.0,53.6,-41.4,410.2,True,True,True,True,True,False
New Jersey,15869,17218.0,12611.7,12576.6,13401.0,14055.4,11620.1,14362.8,3169.0,-1437.3,-1472.4,-648.0,6.4,-2428.9,313.8,True,True,True,True,True,True
New Mexico,681,740.4,450.6,555.7,465.0,620.5,436.3,863.1,59.4,-230.4,-125.3,-216.0,-60.5,-244.7,182.1,False,False,False,False,False,False
New York,32753,36122.1,31944.7,31294.8,32981.0,31296.1,28814.2,32525.7,4284.1,106.7,-543.2,1143.0,-541.9,-3023.8,687.7,True,True,True,True,True,True
North Carolina,2184,2445.1,1775.9,1504.7,1465.0,1880.8,2738.2,2739.4,261.1,-408.1,-679.3,-719.0,-303.2,554.2,555.4,False,False,False,False,False,False
North Dakota,112,139.9,106.9,95.6,344.0,89.9,89.6,194.9,27.9,-5.1,-16.4,232.0,-22.1,-22.4,82.9,True,True,False,True,True,False
Ohio,3668,3988.4,2775.2,3227.4,2850.0,3269.5,2651.6,5224.2,320.4,-892.8,-440.6,-818.0,-398.5,-1016.4,1556.2,False,False,False,False,False,False
Oklahoma,603,560.7,399.3,361.1,404.0,391.5,494.8,545.5,-42.3,-203.7,-241.9,-199.0,-211.5,-108.2,-57.5,False,False,False,False,False,False
Oregon,355,202.3,172.7,176.8,176.0,211.4,235.8,211.0,-152.7,-182.3,-178.2,-179.0,-143.6,-119.2,-144.0,False,False,False,True,True,True
Pennsylvania,7310,9685.1,6316.0,6417.6,5943.0,7939.9,6152.5,8476.9,2375.1,-994.0,-892.4,-1367.0,629.9,-1157.5,1166.9,True,True,True,True,True,True
Rhode Island,1025,1802.3,802.7,1159.5,977.0,983.7,635.4,1536.0,884.3,-115.3,241.5,59.0,65.7,-282.6,618.0,True,True,True,True,True,True
South Carolina,2007,1075.6,688.6,733.9,640.0,868.8,962.0,1503.0,-931.4,-1318.4,-1273.1,-1367.0,-1138.2,-1045.0,-504.0,False,False,False,False,False,True
South Dakota,146,180.3,121.5,81.0,144.0,91.6,76.1,221.3,34.3,-24.5,-65.0,-2.0,-54.4,-69.9,75.3,True,False,True,False,False,False
Tennessee,1215,640.0,621.2,733.8,672.0,480.3,489.9,810.2,-575.0,-593.8,-481.2,-543.0,-734.7,-725.1,-404.8,False,True,True,False,False,True
Texas,9214,3124.0,2853.9,2025.1,2958.0,2920.4,3242.0,4517.8,-5935.0,-6205.1,-7033.9,-6101.0,-6138.6,-5817.0,-4541.2,False,False,False,False,True,True
Utah,335,270.7,323.9,219.6,188.0,254.6,175.8,402.5,-64.3,-11.1,-115.4,-147.0,-80.4,-159.2,67.5,True,False,False,False,False,False
Vermont,58,64.9,57.0,56.5,55.0,67.9,54.3,63.0,6.9,-1.0,-1.5,-3.0,9.9,-3.7,5.0,True,True,True,False,True,True
Virginia,2322,3385.9,2035.8,2575.8,2155.0,2631.0,2770.3,3545.2,1063.9,-286.2,253.8,-167.0,309.0,448.3,1223.2,True,True,True,True,True,False
Washington,1711,1679.9,1359.7,1199.8,1308.0,1295.7,1333.4,1539.3,-26.1,-346.3,-506.2,-398.0,-410.3,-372.6,-166.7,False,False,False,False,False,False
West Virginia,131,104.6,115.3,106.7,78.0,142.3,136.0,113.0,-26.4,-15.7,-24.3,-53.0,11.3,5.0,-18.0,True,True,False,True,True,True
Wisconsin,1043,1400.3,1001.8,798.7,1099.0,889.1,1895.7,1368.5,415.3,16.8,-186.3,114.0,-95.9,910.7,383.5,True,True,True,True,False,True
Wyoming,28,55.4,24.2,38.3,18.0,18.1,19.8,53.2,27.4,-3.8,10.3,-10.0,-9.9,-8.2,25.2,True,True,True,True,True,True
US,162645,170049.3,126488.9,135108.5,136154.0,128716.6,125952.3,168306.2,10742.3,-32818.1,-24198.5,-23153.0,-30590.4,-33354.7,8999.2,False,False,False,False,False,True
