,actual_deaths,Baseline,IHME-CurveFit,IowaStateLW-STEM,UCLA-SuEIR,error-Baseline,error-IHME-CurveFit,error-IowaStateLW-STEM,error-UCLA-SuEIR,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-UCLA-SuEIR
Alabama,1755,1273.9,2308.4,455.0,546.6,-481.1,553.4,-1300.0,-1208.4,False,False,False
Alaska,26,9.0,5.0,,12.8,-17.0,-21.0,,-13.2,False,,True
Arizona,4137,1567.6,1042.9,644.0,720.4,-2569.4,-3094.1,-3493.0,-3416.6,False,False,False
Arkansas,535,422.4,171.3,277.0,148.2,-112.6,-363.7,-258.0,-386.8,False,False,False
California,10307,9019.9,4666.4,4487.0,4042.1,-1287.1,-5640.6,-5820.0,-6264.9,False,False,False
Colorado,1857,2976.0,1335.5,1329.0,1566.4,1119.0,-521.5,-528.0,-290.6,True,True,True
Connecticut,4441,9530.9,4046.8,3445.0,4036.3,5089.9,-394.2,-996.0,-404.7,True,True,True
Delaware,590,966.9,542.2,339.0,387.3,376.9,-47.8,-251.0,-202.7,True,True,True
District of Columbia,590,1262.6,555.6,498.0,424.0,672.6,-34.4,-92.0,-166.0,True,True,True
Florida,8109,5591.6,3971.4,2421.0,2251.7,-2517.4,-4137.6,-5688.0,-5857.3,False,False,False
Georgia,4186,4897.7,4913.4,2471.0,2249.5,711.7,727.4,-1715.0,-1936.5,False,False,False
Hawaii,31,58.6,24.2,,24.9,27.6,-6.8,,-6.1,True,,True
Idaho,235,174.9,83.1,72.0,104.9,-60.1,-151.9,-163.0,-130.1,False,False,False
Illinois,7840,12110.1,6353.0,5267.0,5047.4,4270.1,-1487.0,-2573.0,-2792.6,True,True,True
Indiana,3036,5552.4,6247.6,1863.0,2226.6,2630.4,3325.6,-1059.0,-695.4,False,True,True
Iowa,927,1098.6,1512.9,1565.0,637.9,171.6,585.9,638.0,-289.1,False,False,False
Kansas,380,462.7,264.3,1560.0,493.6,82.7,-115.7,1180.0,113.6,False,False,False
Kentucky,772,876.6,537.0,363.0,558.9,104.6,-235.0,-409.0,-213.1,False,False,False
Louisiana,4207,5933.6,2821.9,2718.0,3008.2,1726.6,-1385.1,-1489.0,-1198.8,True,True,True
Maine,125,154.0,84.6,61.0,92.3,29.0,-40.4,-64.0,-32.7,False,False,False
Maryland,3577,6422.0,2189.6,2164.0,2407.0,2845.0,-1387.4,-1413.0,-1170.0,True,True,True
Massachusetts,8721,19316.1,7696.7,7845.0,7566.5,10595.1,-1024.3,-876.0,-1154.5,True,True,True
Michigan,6520,14279.6,7080.4,5090.0,6031.3,7964.6,765.4,-1225.0,-283.7,True,True,True
Minnesota,1689,2441.1,2183.1,1967.0,662.9,752.1,494.1,278.0,-1026.1,True,True,False
Mississippi,1874,1356.1,483.4,368.0,626.8,-517.9,-1390.6,-1506.0,-1247.2,False,False,False
Missouri,1327,1739.0,1243.3,996.0,631.3,515.0,19.3,-228.0,-592.7,True,True,False
Montana,75,43.7,13.2,16.0,23.2,-31.3,-61.8,-59.0,-51.8,False,False,False
Nebraska,345,382.9,379.7,2137.0,283.7,37.9,34.7,1792.0,-61.3,True,False,False
Nevada,949,978.6,480.2,510.0,451.5,29.6,-468.8,-439.0,-497.5,False,False,False
New Hampshire,419,446.3,168.2,175.0,163.2,27.3,-250.8,-244.0,-255.8,False,False,False
New Jersey,15869,34656.9,16043.9,11850.0,12840.1,20372.9,1759.9,-2434.0,-1443.9,True,True,True
New Mexico,681,871.6,430.1,432.0,291.9,190.6,-250.9,-249.0,-389.1,False,False,False
New York,32753,58505.6,32131.5,25838.0,31504.8,26528.6,154.5,-6139.0,-472.2,True,True,True
North Carolina,2184,1958.3,1168.7,789.0,902.0,-225.7,-1015.3,-1395.0,-1282.0,False,False,False
North Dakota,112,135.9,37.7,378.0,54.5,23.9,-74.3,266.0,-57.5,False,False,False
Ohio,3668,5348.6,2551.7,1632.0,1900.1,1680.6,-1116.3,-2036.0,-1767.9,True,False,False
Oklahoma,603,833.9,494.4,631.0,439.7,230.9,-108.6,28.0,-163.3,True,True,True
Oregon,355,344.6,193.0,153.0,190.5,-10.4,-162.0,-202.0,-164.5,False,False,False
Pennsylvania,7310,15246.9,8606.6,4593.0,4734.4,7936.9,1296.6,-2717.0,-2575.6,True,True,True
Rhode Island,1025,1622.6,485.4,938.0,807.9,653.6,-483.6,-31.0,-161.1,True,True,True
South Carolina,2007,1674.6,1112.1,290.0,425.9,-332.4,-894.9,-1717.0,-1581.1,False,False,False
South Dakota,146,159.6,279.3,1411.0,39.3,13.6,133.3,1265.0,-106.7,False,False,False
Tennessee,1215,611.9,562.6,1083.0,550.0,-603.1,-652.4,-132.0,-665.0,False,True,False
Texas,9058,4023.6,3631.9,6240.0,1724.6,-4964.4,-5356.1,-2748.0,-7263.4,False,True,False
Utah,335,174.7,85.8,189.0,104.6,-160.3,-249.2,-146.0,-230.4,False,True,False
Vermont,58,150.0,53.6,59.0,73.8,92.0,-4.4,1.0,15.8,True,True,True
Virginia,2322,3583.9,1198.2,1284.0,1504.7,1261.9,-1123.8,-1038.0,-817.3,True,True,True
Washington,1688,2011.9,1159.3,1287.0,1341.5,323.9,-528.7,-401.0,-346.5,False,False,False
West Virginia,131,242.0,120.7,66.0,78.7,111.0,-10.3,-65.0,-52.3,True,True,True
Wisconsin,996,1267.4,717.1,920.0,720.5,271.4,-278.9,-76.0,-275.5,False,True,False
Wyoming,28,7.0,6.0,7.0,12.6,-21.0,-22.0,-21.0,-15.4,False,False,True
US,162419,245067.3,134475.2,111173.0,115276.5,85557.3,-25034.8,-48337.0,-44233.5,True,True,True
