,total_deaths_2020-07-12,predicted_deaths,actual_deaths,predicted_addl_deaths,actual_addl_deaths,error,perc_error
CovidAnalytics-DELPHI,135708,161806.0,162498,26601.0,26790,-189.0,-0.7%
OliverWyman-Navigator,135708,162405.7,162498,27200.7,26790,410.7,1.5%
USACE-ERDC_SEIR,135708,161362.7,162498,26157.7,26790,-632.3,-2.4%
UMass-MechBayes,135708,162926.0,162498,27721.0,26790,931.0,3.5%
GT-DeepCOVID,135708,160974.1,162498,25769.1,26790,-1020.9,-3.8%
JHU_IDD-CovidSP,135708,163946.5,162498,28741.5,26790,1951.5,7.3%
COVIDhub-ensemble,135708,157204.1,162498,21999.1,26790,-4790.9,-17.9%
YYG-ParamSearch,135708,156244.3,162498,21039.3,26790,-5750.7,-21.5%
CU-select,135708,155693.0,162498,20488.0,26790,-6302.0,-23.5%
Baseline,135708,155435.7,162498,20230.7,26790,-6559.3,-24.5%
Columbia_UNC-SurvCon,135708,168710.0,162498,33505.0,26790,6715.0,25.1%
COVIDhub-baseline,135708,155136.8,162498,19931.8,26790,-6858.2,-25.6%
QJHong-Encounter,135708,169561.6,162498,34356.6,26790,7566.6,28.2%
IowaStateLW-STEM,135708,153917.0,162498,18712.0,26790,-8078.0,-30.2%
UCLA-SuEIR,135708,153779.0,162498,18574.0,26790,-8216.0,-30.7%
Covid19Sim-Simulator,135708,153544.8,162498,18339.8,26790,-8450.2,-31.5%
UT-Mobility,135708,170543.0,162498,35338.0,26790,8548.0,31.9%
MOBS-GLEAM_COVID,135708,153299.6,162498,18094.6,26790,-8695.4,-32.5%
PSI-DRAFT,135708,151816.5,162498,16611.5,26790,-10178.5,-38.0%
LANL-GrowthRate,135708,150448.3,162498,15243.3,26790,-11546.7,-43.1%
epiforecasts-ensemble1,135708,150380.0,162498,15175.0,26790,-11615.0,-43.4%
UA-EpiCovDA,135708,150225.0,162498,15020.0,26790,-11770.0,-43.9%
NotreDame-mobility,135708,150093.9,162498,14888.9,26790,-11901.1,-44.4%
UMich-RidgeTfReg,135708,148262.0,162498,13057.0,26790,-13733.0,-51.3%
USC-SI_kJalpha,135708,177826.9,162498,42621.9,26790,15831.9,59.1%
MITCovAlliance-SIR,135708,145359.5,162498,10154.5,26790,-16635.5,-62.1%
STH-3PU,135708,140718.0,162498,5513.0,26790,-21277.0,-79.4%
RobertWalraven-ESG,135708,135704.3,162498,499.3,26790,-26290.7,-98.1%
GT_CHHS-COVID19,135708,,162498,,26790,,
NotreDame-FRED,135708,,162498,,26790,,
