,actual_deaths,Baseline,Auquan-SEIR,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,GT_CHHS-COVID19,Geneva-DetGrowth,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,STH-3PU,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-Auquan-SEIR,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-Geneva-DetGrowth,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-STH-3PU,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-Auquan-SEIR,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-Geneva-DetGrowth,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Georgia,4186,4133.1,4264.0,4137.0,4156.0,4113.0,4237.0,,4068.8,4104.0,4125.6,4113.9,4038.3,4238.2,4042.5,4117.0,4194.3,4067.0,4138.5,4090.2,4157.3,3930.9,4133.7,,3491.1,4175.6,4212.0,,,3992.0,,4113.0,4144.1,,4104.0,4006.4,4201.5,4189.0,4129.0,4111.8,3814.0,-52.9,78.0,-49.0,-30.0,-73.0,51.0,,-117.2,-82.0,-60.4,-72.1,-147.7,52.2,-143.5,-69.0,8.3,-119.0,-47.5,-95.8,-28.7,-255.1,-52.3,,-694.9,-10.4,26.0,,,-194.0,,-73.0,-41.9,,-82.0,-179.6,15.5,3.0,-57.0,-74.2,-372.0,False,True,True,False,True,,False,False,False,False,False,True,False,False,True,False,True,False,True,False,True,,False,True,True,,,False,,False,True,,False,False,True,True,False,False,False
Hawaii,31,26.0,30.0,26.0,26.0,28.0,33.0,,29.5,28.0,28.4,,,26.0,32.2,,27.1,31.3,31.4,30.6,26.2,27.4,27.2,,37.3,29.3,28.0,,,26.5,,28.0,26.1,,29.0,,27.6,26.0,28.0,27.4,,-5.0,-1.0,-5.0,-5.0,-3.0,2.0,,-1.5,-3.0,-2.6,,,-5.0,1.2,,-3.9,0.3,0.4,-0.4,-4.8,-3.6,-3.8,,6.3,-1.7,-3.0,,,-4.5,,-3.0,-4.9,,-2.0,,-3.4,-5.0,-3.0,-3.6,,True,False,False,True,True,,True,True,True,,,True,True,,True,True,True,True,True,True,True,,False,True,True,,,True,,True,True,,True,,True,False,True,True,
Idaho,235,240.7,242.0,236.0,248.0,236.0,229.0,,233.4,220.0,258.6,248.7,,267.4,199.5,218.0,250.9,252.2,225.3,211.3,230.0,214.0,254.7,,178.2,240.8,272.0,,,207.9,,244.0,250.7,,229.0,,227.7,244.0,297.0,244.8,200.0,5.7,7.0,1.0,13.0,1.0,-6.0,,-1.6,-15.0,23.6,13.7,,32.4,-35.5,-17.0,15.9,17.2,-9.7,-23.7,-5.0,-21.0,19.7,,-56.8,5.8,37.0,,,-27.1,,9.0,15.7,,-6.0,,-7.3,9.0,62.0,9.8,-35.0,False,True,False,True,False,,True,False,False,False,,False,False,False,False,False,False,False,True,False,False,,False,False,False,,,False,,False,False,,False,,False,False,False,False,False
Illinois,7840,7820.3,8069.0,7813.0,7811.0,7819.0,7874.0,,7797.4,7730.0,7807.1,7800.0,,7810.3,7636.8,7871.0,7821.8,7667.4,7824.1,7808.6,7826.5,8089.0,7830.2,8084.5,7680.5,7824.0,7774.0,,,7847.7,,7815.0,7821.4,,7816.0,7908.0,8007.7,7822.0,7789.0,7822.3,7488.0,-19.7,229.0,-27.0,-29.0,-21.0,34.0,,-42.6,-110.0,-32.9,-40.0,,-29.7,-203.2,31.0,-18.2,-172.6,-15.9,-31.4,-13.5,249.0,-9.8,244.5,-159.5,-16.0,-66.0,,,7.7,,-25.0,-18.6,,-24.0,68.0,167.7,-18.0,-51.0,-17.7,-352.0,False,False,False,False,False,,False,False,False,False,,False,False,False,True,False,True,False,True,False,True,False,False,True,False,,,True,,False,True,,False,False,False,True,False,True,False
Indiana,2974,3036.7,3107.0,3039.0,3047.0,3046.0,3045.0,,3025.2,3075.0,3032.4,3048.7,,3053.3,3080.7,3002.0,3059.1,2866.2,3070.7,3033.5,3042.1,3176.9,3126.4,2977.0,2958.9,3046.3,3019.0,,,3140.6,,3037.0,3045.6,,3048.0,3034.8,3163.8,3054.0,3112.0,3047.6,3032.0,-4.3,66.0,-2.0,6.0,5.0,4.0,,-15.8,34.0,-8.6,7.7,,12.3,39.7,-39.0,18.1,-174.8,29.7,-7.5,1.1,135.9,85.4,-64.0,-82.1,5.3,-22.0,,,99.6,,-4.0,4.6,,7.0,-6.2,122.8,13.0,71.0,6.6,-9.0,False,True,False,False,True,,False,False,False,False,,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,False,,True,False,,False,False,False,False,False,False,False
Iowa,927,920.0,969.0,919.0,922.0,913.0,906.0,,916.0,908.0,911.5,900.9,,917.8,927.6,887.0,922.9,933.4,927.8,906.1,914.6,907.9,926.7,,867.1,912.2,928.0,,,901.7,,914.0,922.0,,910.0,909.2,939.2,916.0,926.0,919.6,,-7.0,42.0,-8.0,-5.0,-14.0,-21.0,,-11.0,-19.0,-15.5,-26.1,,-9.2,0.6,-40.0,-4.1,6.4,0.8,-20.9,-12.4,-19.1,-0.3,,-59.9,-14.8,1.0,,,-25.3,,-13.0,-5.0,,-17.0,-17.8,12.2,-11.0,-1.0,-7.4,,False,False,True,False,False,,False,False,False,False,,False,True,False,True,True,True,False,False,False,True,,False,False,True,,,False,,False,True,,False,False,False,False,True,False,
Kansas,380,386.7,417.0,393.0,387.0,386.0,389.0,,394.6,375.0,388.0,,,380.5,367.0,410.0,387.7,405.1,381.8,372.1,383.1,378.3,385.2,,344.9,385.8,379.0,,,376.8,,379.0,387.4,,380.0,,395.3,386.0,394.0,385.9,,6.7,37.0,13.0,7.0,6.0,9.0,,14.6,-5.0,8.0,,,0.5,-13.0,30.0,7.7,25.1,1.8,-7.9,3.1,-1.7,5.2,,-35.1,5.8,-1.0,,,-3.2,,-1.0,7.4,,0.0,,15.3,6.0,14.0,5.9,,False,False,False,True,False,,False,True,False,,,True,False,False,False,False,True,False,True,True,True,,False,True,True,,,True,,True,False,,True,,False,True,False,True,
Kentucky,772,778.0,805.0,787.0,784.0,785.0,786.0,,785.4,797.0,791.7,794.8,,781.8,773.9,776.0,791.4,813.2,782.9,771.7,780.6,826.3,786.2,788.0,815.8,783.7,781.0,,,774.5,,781.0,788.5,,780.0,769.3,814.5,792.0,797.0,784.6,,6.0,33.0,15.0,12.0,13.0,14.0,,13.4,25.0,19.7,22.8,,9.8,1.9,4.0,19.4,41.2,10.9,-0.3,8.6,54.3,14.2,16.0,43.8,11.7,9.0,,,2.5,,9.0,16.5,,8.0,-2.7,42.5,20.0,25.0,12.6,,False,False,False,False,False,,False,False,False,False,,False,True,True,False,False,False,True,False,False,False,False,False,False,False,,,True,,False,False,,False,True,False,False,False,False,
Louisiana,4207,4216.1,4263.0,4190.0,4183.0,4183.0,4171.0,,4101.6,4183.0,4204.1,4151.7,,4119.0,4146.2,4165.0,4227.8,4055.5,4256.7,4275.2,4172.5,3980.4,4205.9,,3856.3,4223.8,4207.0,,,4118.2,,4249.0,4179.3,,4208.0,,4428.1,4163.0,4305.0,4196.1,3956.0,9.1,56.0,-17.0,-24.0,-24.0,-36.0,,-105.4,-24.0,-2.9,-55.3,,-88.0,-60.8,-42.0,20.8,-151.5,49.7,68.2,-34.5,-226.6,-1.1,,-350.7,16.8,0.0,,,-88.8,,42.0,-27.7,,1.0,,221.1,-44.0,98.0,-10.9,-251.0,False,False,False,False,False,,False,False,True,False,,False,False,False,False,False,False,False,False,False,True,,False,False,True,,,False,,False,False,,True,,False,False,False,False,False
Maine,125,126.4,130.0,127.0,127.0,126.0,123.0,,124.3,124.0,126.7,126.6,,126.8,123.2,133.0,127.5,127.8,126.3,125.2,123.3,127.6,125.4,,124.1,126.6,127.0,,,128.8,,126.0,127.3,,125.0,125.2,126.5,125.0,127.0,125.5,,1.4,5.0,2.0,2.0,1.0,-2.0,,-0.7,-1.0,1.7,1.6,,1.8,-1.8,8.0,2.5,2.8,1.3,0.2,-1.7,2.6,0.4,,-0.9,1.6,2.0,,,3.8,,1.0,2.3,,0.0,0.2,1.5,0.0,2.0,0.5,,False,False,False,True,False,,True,True,False,False,,False,False,False,False,False,True,True,False,False,True,,True,False,False,,,False,,True,False,,True,True,False,True,False,True,
