,actual_deaths,Baseline,Auquan-SEIR,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,GT_CHHS-COVID19,Geneva-DetGrowth,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,STH-3PU,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-Auquan-SEIR,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-Geneva-DetGrowth,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-STH-3PU,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-Auquan-SEIR,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-Geneva-DetGrowth,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Maryland,3577,3579.3,3691.0,3587.0,3579.0,3578.0,3625.0,,3564.0,3623.0,3565.8,3582.6,,3584.7,3562.7,3577.0,3592.6,3574.9,3583.3,3574.4,3578.6,3650.5,3698.9,,3542.0,3581.9,3531.0,,,3591.2,,3581.0,3580.7,,3586.0,,3670.2,3591.0,3641.0,3583.4,3565.0,2.3,114.0,10.0,2.0,1.0,48.0,,-13.0,46.0,-11.2,5.6,,7.7,-14.3,0.0,15.6,-2.1,6.3,-2.6,1.6,73.5,121.9,,-35.0,4.9,-46.0,,,14.2,,4.0,3.7,,9.0,,93.2,14.0,64.0,6.4,-12.0,False,False,True,True,False,,False,False,False,False,,False,False,True,False,True,False,False,True,False,False,,False,False,False,,,False,,False,False,,False,,False,False,False,False,False
Massachusetts,8721,8731.4,8858.0,8721.0,8742.0,8743.0,8762.0,,8604.1,8651.0,8708.2,8744.9,,8757.6,8788.2,8669.0,8741.2,8691.0,8658.0,8780.2,8716.2,8485.7,8744.8,,8581.1,8759.7,8656.0,,,8721.5,,8752.0,8746.8,,8732.0,,8752.6,8754.0,8785.0,8717.9,8525.0,10.4,137.0,0.0,21.0,22.0,41.0,,-116.9,-70.0,-12.8,23.9,,36.6,67.2,-52.0,20.2,-30.0,-63.0,59.2,-4.8,-235.3,23.8,,-139.9,38.7,-65.0,,,0.5,,31.0,25.8,,11.0,,31.6,33.0,64.0,-3.1,-196.0,False,True,False,False,False,,False,False,False,False,,False,False,False,False,False,False,False,True,False,False,,False,False,False,,,True,,False,False,,False,,False,False,False,True,False
Michigan,6520,6505.9,6629.0,6506.0,6514.0,6512.0,6553.0,,6505.4,6551.0,6494.5,6553.9,,6517.1,6484.3,6555.0,6506.3,6479.4,6503.5,6498.0,6501.1,6840.6,6470.5,6507.0,6595.8,6511.2,6469.0,,,6599.3,,6492.0,6520.4,,6502.0,6528.5,6748.1,6496.0,6496.0,6504.7,6430.0,-14.1,109.0,-14.0,-6.0,-8.0,33.0,,-14.6,31.0,-25.5,33.9,,-2.9,-35.7,35.0,-13.7,-40.6,-16.5,-22.0,-18.9,320.6,-49.5,-13.0,75.8,-8.8,-51.0,,,79.3,,-28.0,0.4,,-18.0,8.5,228.1,-24.0,-24.0,-15.3,-90.0,False,True,True,True,False,,False,False,False,False,,True,False,False,True,False,False,False,False,False,False,True,False,True,False,,,False,,False,True,,False,True,False,False,False,False,False
Minnesota,1689,1688.3,1764.0,1681.0,1681.0,1687.0,1716.0,,1703.5,1703.0,1678.7,1682.2,,1685.0,1692.9,1649.0,1685.7,1678.7,1688.3,1687.5,1688.9,1709.5,1734.2,1678.0,1632.5,1687.2,1656.0,,,1682.5,,1692.0,1682.5,,1691.0,1704.0,1757.4,1684.0,1681.0,1694.6,,-0.7,75.0,-8.0,-8.0,-2.0,27.0,,14.5,14.0,-10.3,-6.8,,-4.0,3.9,-40.0,-3.3,-10.3,-0.7,-1.5,-0.1,20.5,45.2,-11.0,-56.5,-1.8,-33.0,,,-6.5,,3.0,-6.5,,2.0,15.0,68.4,-5.0,-8.0,5.6,,False,False,False,False,False,,False,False,False,False,,False,False,False,False,False,True,False,True,False,False,False,False,False,False,,,False,,False,False,,False,False,False,False,False,False,
Mississippi,1874,1883.0,1858.0,1871.0,1908.0,1850.0,1876.0,,1730.2,1842.0,1877.1,1837.1,,1973.0,1771.9,1768.0,1941.7,1844.2,1790.9,1809.7,1871.6,1781.6,1882.9,,1685.4,1942.6,1863.0,,,1780.2,,1850.0,1923.3,,1883.0,1824.3,1873.2,1935.0,1895.0,1897.5,1707.0,9.0,-16.0,-3.0,34.0,-24.0,2.0,,-143.8,-32.0,3.1,-36.9,,99.0,-102.1,-106.0,67.7,-29.8,-83.1,-64.3,-2.4,-92.4,8.9,,-188.6,68.6,-11.0,,,-93.8,,-24.0,49.3,,9.0,-49.7,-0.8,61.0,21.0,23.5,-167.0,False,True,False,False,True,,False,False,True,False,,False,False,False,False,False,False,False,True,False,True,,False,False,False,,,False,,False,False,,False,False,True,False,False,False,False
Missouri,1347,1333.4,1385.0,1346.0,1352.0,1346.0,1438.0,,1363.7,1375.0,1338.6,1343.1,,1355.1,1331.4,1329.0,1347.9,1349.1,1329.3,1310.7,1358.6,1351.5,1329.0,,1277.3,1362.7,1342.0,,,1381.5,,1321.0,1360.4,,1338.0,1313.9,1379.5,1370.0,1350.0,1348.4,1289.0,0.4,52.0,13.0,19.0,13.0,105.0,,30.7,42.0,5.6,10.1,,22.1,-1.6,-4.0,14.9,16.1,-3.7,-22.3,25.6,18.5,-4.0,,-55.7,29.7,9.0,,,48.5,,-12.0,27.4,,5.0,-19.1,46.5,37.0,17.0,15.4,-44.0,False,False,False,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,,False,False,False,,,False,,False,False,,False,False,False,False,False,False,False
Montana,75,73.9,73.0,73.0,76.0,73.0,61.0,,66.7,69.0,81.0,73.7,,79.7,60.2,72.0,76.7,78.7,71.2,71.3,69.0,76.9,79.7,,82.1,74.2,80.0,,,66.1,,72.0,76.0,,72.0,,70.6,76.0,87.0,72.9,,-1.1,-2.0,-2.0,1.0,-2.0,-14.0,,-8.3,-6.0,6.0,-1.3,,4.7,-14.8,-3.0,1.7,3.7,-3.8,-3.7,-6.0,1.9,4.7,,7.1,-0.8,5.0,,,-8.9,,-3.0,1.0,,-3.0,,-4.4,1.0,12.0,-2.1,,False,False,True,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,,False,True,False,,,False,,False,True,,False,,False,True,False,False,
Nebraska,345,345.7,385.0,345.0,348.0,348.0,353.0,,351.1,342.0,351.7,357.3,,348.8,373.1,344.0,351.2,363.3,344.7,344.1,345.9,352.6,347.4,,349.1,348.1,337.5,,,344.6,,346.0,347.5,,346.0,345.3,348.4,348.0,354.0,347.8,,0.7,40.0,0.0,3.0,3.0,8.0,,6.1,-3.0,6.7,12.3,,3.8,28.1,-1.0,6.2,18.3,-0.3,-0.9,0.9,7.6,2.4,,4.1,3.1,-7.5,,,-0.4,,1.0,2.5,,1.0,0.3,3.4,3.0,9.0,2.8,,False,True,False,False,False,,False,False,False,False,,False,False,False,False,False,True,False,False,False,False,,False,False,False,,,True,,False,False,,False,True,False,False,False,False,
Nevada,949,916.0,955.0,924.0,932.0,919.0,919.0,,907.8,902.0,931.3,932.3,,939.9,914.0,974.0,945.6,932.7,919.3,911.4,910.4,875.5,945.7,,889.5,947.8,964.0,,,878.7,,902.0,929.3,,908.0,873.7,944.8,934.0,1019.0,915.1,847.0,-33.0,6.0,-25.0,-17.0,-30.0,-30.0,,-41.2,-47.0,-17.7,-16.7,,-9.1,-35.0,25.0,-3.4,-16.3,-29.7,-37.6,-38.6,-73.5,-3.3,,-59.5,-1.2,15.0,,,-70.3,,-47.0,-19.7,,-41.0,-75.3,-4.2,-15.0,70.0,-33.9,-102.0,True,True,True,True,True,,False,False,True,True,,True,False,True,True,True,True,False,False,False,True,,False,True,True,,,False,,False,True,,False,False,True,True,False,False,False
New Hampshire,419,423.9,429.0,426.0,423.0,423.0,423.0,,416.7,422.0,425.4,424.2,,424.7,419.3,417.0,425.0,424.1,422.2,427.1,420.3,429.9,427.9,,435.8,423.6,420.0,,,427.9,,424.0,422.6,,423.0,430.3,426.8,425.0,423.0,428.7,,4.9,10.0,7.0,4.0,4.0,4.0,,-2.3,3.0,6.4,5.2,,5.7,0.3,-2.0,6.0,5.1,3.2,8.1,1.3,10.9,8.9,,16.8,4.6,1.0,,,8.9,,5.0,3.6,,4.0,11.3,7.8,6.0,4.0,9.7,,False,False,True,True,True,,True,True,False,False,,False,True,True,False,False,True,False,True,False,False,,False,True,True,,,False,,False,True,,True,False,False,False,True,False,
New Jersey,15869,15878.0,16168.0,15952.0,15884.0,15923.0,15992.0,,15796.8,15902.0,15927.0,,,15932.9,16093.4,15943.0,15841.0,15896.8,15936.4,16077.2,15902.1,15889.1,15878.7,,16018.8,15870.0,15832.0,,,16013.5,,15903.0,15883.5,,15883.0,,15991.0,15936.0,15938.0,15906.7,16011.0,9.0,299.0,83.0,15.0,54.0,123.0,,-72.2,33.0,58.0,,,63.9,224.4,74.0,-28.0,27.8,67.4,208.2,33.1,20.1,9.7,,149.8,1.0,-37.0,,,144.5,,34.0,14.5,,14.0,,122.0,67.0,69.0,37.7,142.0,False,False,False,False,False,,False,False,False,,,False,False,False,False,False,False,False,False,False,False,,False,True,False,,,False,,False,False,,False,,False,False,False,False,False
New Mexico,681,688.3,697.0,690.0,695.0,688.0,680.0,,668.8,688.0,689.5,697.5,,695.7,671.4,714.0,694.3,703.3,674.9,676.5,686.8,684.6,688.2,,640.2,692.6,697.0,,,675.4,,686.0,695.0,,686.0,684.8,706.0,696.0,701.0,689.9,,7.3,16.0,9.0,14.0,7.0,-1.0,,-12.2,7.0,8.5,16.5,,14.7,-9.6,33.0,13.3,22.3,-6.1,-4.5,5.8,3.6,7.2,,-40.8,11.6,16.0,,,-5.6,,5.0,14.0,,5.0,3.8,25.0,15.0,20.0,8.9,,False,False,False,True,True,,False,True,False,False,,False,False,False,False,False,True,True,True,True,True,,False,False,False,,,True,,True,False,,True,True,False,False,False,False,
New York,32753,32778.6,33475.0,32783.0,32780.0,32799.0,32834.0,,32630.2,32726.0,32785.2,32841.6,,32767.1,32967.9,32847.0,32802.8,32454.2,25211.4,32807.9,32766.7,28278.2,32769.2,,32328.0,32778.2,32746.0,,,32820.0,,32757.0,32763.3,,32790.0,,33048.6,32777.0,32897.0,32782.4,32820.0,12.6,709.0,17.0,14.0,33.0,68.0,,-135.8,-40.0,19.2,75.6,,1.1,201.9,81.0,36.8,-311.8,-7554.6,41.9,0.7,-4487.8,3.2,,-438.0,12.2,-20.0,,,54.0,,-9.0,-2.7,,24.0,,282.6,11.0,131.0,16.4,54.0,False,False,False,False,False,,False,False,False,False,,True,False,False,False,False,False,False,True,False,True,,False,True,False,,,False,,True,True,,False,,False,True,False,False,False
North Carolina,2184,2125.3,2236.0,2149.0,2147.0,2143.0,2220.0,,2130.0,2181.0,2168.0,,2135.7,2177.6,2058.8,2059.0,2151.2,2272.5,2189.7,2088.3,2132.7,2073.4,2139.6,,1933.4,2154.1,2065.0,,,2067.7,,2117.0,2142.6,,2104.0,2097.1,2166.9,2156.0,2150.0,2113.2,1968.0,-58.7,52.0,-35.0,-37.0,-41.0,36.0,,-54.0,-3.0,-16.0,,-48.3,-6.4,-125.2,-125.0,-32.8,88.5,5.7,-95.7,-51.3,-110.6,-44.4,,-250.6,-29.9,-119.0,,,-116.3,,-67.0,-41.4,,-80.0,-86.9,-17.1,-28.0,-34.0,-70.8,-216.0,True,True,True,True,True,,True,True,True,,True,True,False,False,True,False,True,False,True,False,True,,False,True,False,,,False,,False,True,,False,False,True,True,True,False,False
North Dakota,112,110.1,118.0,109.0,107.0,111.0,110.0,,112.9,111.0,111.2,109.8,,105.4,113.0,105.0,112.4,120.1,106.4,109.1,109.6,114.7,106.0,,105.7,108.8,114.0,,,110.9,,109.0,105.8,,112.0,,114.6,111.0,112.0,110.6,,-1.9,6.0,-3.0,-5.0,-1.0,-2.0,,0.9,-1.0,-0.8,-2.2,,-6.6,1.0,-7.0,0.4,8.1,-5.6,-2.9,-2.4,2.7,-6.0,,-6.3,-3.2,2.0,,,-1.1,,-3.0,-6.2,,0.0,,2.6,-1.0,0.0,-1.4,,False,False,False,True,False,,True,True,True,False,,False,True,False,True,False,False,False,False,False,False,,False,False,False,,,True,,False,False,,True,,False,True,True,True,
Ohio,3335,3719.3,3722.0,3700.0,3733.0,3686.0,3679.0,,3590.2,3711.0,3691.6,3739.0,,3739.2,3630.4,3600.0,3757.1,3762.9,3686.5,3644.3,3697.3,3782.5,3609.1,3487.0,3446.8,3734.7,3709.0,,,3628.2,,3695.0,3740.9,,3682.0,3653.2,3834.0,3724.0,3713.0,3675.1,3512.0,62.3,65.0,43.0,76.0,29.0,22.0,,-66.8,54.0,34.6,82.0,,82.2,-26.6,-57.0,100.1,105.9,29.5,-12.7,40.3,125.5,-47.9,-170.0,-210.2,77.7,52.0,,,-28.8,,38.0,83.9,,25.0,-3.8,177.0,67.0,56.0,18.1,-145.0,False,True,False,True,True,,False,True,True,False,,False,True,True,False,False,True,True,True,False,True,False,False,False,True,,,True,,True,False,,True,True,False,False,True,True,False
Oklahoma,603,596.3,629.0,608.0,602.0,606.0,666.0,,612.0,605.0,612.2,606.5,,609.4,573.1,579.0,608.1,649.6,609.5,578.6,596.9,579.3,599.2,,509.5,607.0,627.0,,,573.6,,590.0,600.4,,596.0,,612.3,611.0,620.0,594.5,556.0,-6.7,26.0,5.0,-1.0,3.0,63.0,,9.0,2.0,9.2,3.5,,6.4,-29.9,-24.0,5.1,46.6,6.5,-24.4,-6.1,-23.7,-3.8,,-93.5,4.0,24.0,,,-29.4,,-13.0,-2.6,,-7.0,,9.3,8.0,17.0,-8.5,-47.0,False,True,True,True,False,,False,True,False,True,,True,False,False,True,False,True,False,True,False,True,,False,True,False,,,False,,False,True,,False,,False,False,False,False,False
Oregon,355,357.7,366.0,368.0,365.0,360.0,349.0,,348.7,352.0,364.5,360.8,,364.6,338.2,356.0,364.1,391.0,359.9,351.5,350.6,374.7,373.0,,351.2,362.1,361.0,,,345.2,,354.0,365.5,,354.0,,360.1,365.0,373.0,362.2,,2.7,11.0,13.0,10.0,5.0,-6.0,,-6.3,-3.0,9.5,5.8,,9.6,-16.8,1.0,9.1,36.0,4.9,-3.5,-4.4,19.7,18.0,,-3.8,7.1,6.0,,,-9.8,,-1.0,10.5,,-1.0,,5.1,10.0,18.0,7.2,,False,False,False,False,False,,False,False,False,False,,False,False,True,False,False,False,False,False,False,False,,False,False,False,,,False,,True,False,,True,,False,False,False,False,
Pennsylvania,7310,7305.3,7447.0,7322.0,7314.0,7310.0,7362.0,,7279.2,7298.0,7314.2,7351.1,,7323.9,7353.7,7286.0,7316.0,7351.1,7301.6,7288.4,7311.9,7457.8,7297.7,,7299.1,7303.0,7287.0,,,7320.4,,7295.0,7312.5,,7311.0,7352.3,7517.6,7320.0,7320.5,7301.4,7217.0,-4.7,137.0,12.0,4.0,0.0,52.0,,-30.8,-12.0,4.2,41.1,,13.9,43.7,-24.0,6.0,41.1,-8.4,-21.6,1.9,147.8,-12.3,,-10.9,-7.0,-23.0,,,10.4,,-15.0,2.5,,1.0,42.3,207.6,10.0,10.5,-8.6,-93.0,False,False,True,True,False,,False,False,True,False,,False,False,False,False,False,False,False,True,False,False,,False,False,False,,,False,,False,True,,True,False,False,False,False,False,False
Rhode Island,1037,1011.3,1043.0,1014.0,1012.0,1014.0,1021.0,,1012.2,1014.0,1014.0,1015.9,,1012.8,1008.6,1034.0,1012.3,990.5,1026.0,1017.9,1011.4,1018.7,1054.0,,1021.1,1012.7,1012.0,,,1014.2,,1012.0,1012.2,,1013.0,1026.9,1027.2,1013.0,1011.0,1015.1,,-3.7,28.0,-1.0,-3.0,-1.0,6.0,,-2.8,-1.0,-1.0,0.9,,-2.2,-6.4,19.0,-2.7,-24.5,11.0,2.9,-3.6,3.7,39.0,,6.1,-2.3,-3.0,,,-0.8,,-3.0,-2.8,,-2.0,11.9,12.2,-2.0,-4.0,0.1,,False,True,True,True,False,,True,True,True,True,,True,False,False,True,False,False,True,True,True,False,,False,True,True,,,True,,True,True,,True,False,False,True,False,True,
South Carolina,2007,2022.1,2142.0,2078.0,2037.0,2001.0,1998.0,,1834.9,1943.0,2140.5,,,2067.5,1925.1,1951.0,2069.0,1958.6,2072.3,1998.5,2026.8,1921.2,2139.8,,1880.3,2021.7,2210.0,,,1897.7,,2001.0,2000.7,,2001.0,2033.5,1993.8,2043.0,2233.0,2025.7,1746.0,15.1,135.0,71.0,30.0,-6.0,-9.0,,-172.1,-64.0,133.5,,,60.5,-81.9,-56.0,62.0,-48.4,65.3,-8.5,19.8,-85.8,132.8,,-126.7,14.7,203.0,,,-109.3,,-6.0,-6.3,,-6.0,26.5,-13.2,36.0,226.0,18.7,-261.0,False,False,False,True,True,,False,False,False,,,False,False,False,False,False,False,True,False,False,False,,False,True,False,,,False,,True,True,,True,False,True,False,False,False,False
South Dakota,146,145.3,152.0,142.0,146.0,142.0,134.0,,136.7,140.0,150.3,141.5,,153.6,136.3,139.0,143.7,147.7,144.2,143.5,140.8,139.7,141.4,,144.0,146.9,140.0,,,140.6,,147.0,147.3,,143.0,141.7,139.8,139.0,146.0,142.8,,-0.7,6.0,-4.0,0.0,-4.0,-12.0,,-9.3,-6.0,4.3,-4.5,,7.6,-9.7,-7.0,-2.3,1.7,-1.8,-2.5,-5.2,-6.3,-4.6,,-2.0,0.9,-6.0,,,-5.4,,1.0,1.3,,-3.0,-4.3,-6.2,-7.0,0.0,-3.2,,False,False,True,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,,False,False,False,,,False,,False,False,,False,False,False,False,True,False,
Tennessee,1215,1163.9,1299.0,1180.0,1170.0,1187.0,1399.0,,1246.9,1187.0,1238.4,1184.9,,1180.0,1205.2,1175.0,1199.4,1261.2,1237.3,1139.1,1191.7,1224.8,1207.1,,1134.2,1177.6,1195.0,,,1137.3,,1165.0,1160.5,,1167.0,1165.8,1188.1,1194.0,1200.0,1177.5,1082.0,-51.1,84.0,-35.0,-45.0,-28.0,184.0,,31.9,-28.0,23.4,-30.1,,-35.0,-9.8,-40.0,-15.6,46.2,22.3,-75.9,-23.3,9.8,-7.9,,-80.8,-37.4,-20.0,,,-77.7,,-50.0,-54.5,,-48.0,-49.2,-26.9,-21.0,-15.0,-37.5,-133.0,False,True,True,True,False,,True,True,True,True,,True,True,True,True,True,True,False,True,True,True,,False,True,True,,,False,,True,False,,True,True,True,True,True,True,False
Texas,9414,8422.6,7871.0,8240.0,8740.0,7961.0,7983.0,,7262.8,7631.0,8598.0,,,8768.4,7105.2,8439.0,8204.1,7618.8,8134.2,7505.1,8137.3,7143.7,9774.2,,6704.8,8310.5,9466.5,,,7859.3,7817.0,7907.0,8846.6,,7772.0,,7829.1,8262.0,9012.5,7950.5,6817.0,62.6,-489.0,-120.0,380.0,-399.0,-377.0,,-1097.2,-729.0,238.0,,,408.4,-1254.8,79.0,-155.9,-741.2,-225.8,-854.9,-222.7,-1216.3,1414.2,,-1655.2,-49.5,1106.5,,,-500.7,-543.0,-453.0,486.6,,-588.0,,-530.9,-98.0,652.5,-409.5,-1543.0,False,False,False,False,False,,False,False,False,,,False,False,False,False,False,False,False,False,False,False,,False,True,False,,,False,False,False,False,,False,,False,False,False,False,False
Utah,335,342.7,394.0,339.0,346.0,342.0,335.0,,349.1,339.0,360.0,336.4,,349.0,323.6,334.0,350.7,361.6,344.8,332.0,336.4,331.4,351.1,,350.3,335.6,350.0,,,,,333.0,346.3,,335.0,338.2,333.6,345.0,356.0,345.7,,7.7,59.0,4.0,11.0,7.0,0.0,,14.1,4.0,25.0,1.4,,14.0,-11.4,-1.0,15.7,26.6,9.8,-3.0,1.4,-3.6,16.1,,15.3,0.6,15.0,,,,,-2.0,11.3,,0.0,3.2,-1.4,10.0,21.0,10.7,,False,True,False,True,True,,False,True,False,True,,False,False,True,False,False,False,True,True,True,False,,False,True,False,,,,,True,False,,True,True,True,False,False,False,
Vermont,58,57.9,59.0,57.0,58.0,57.0,57.0,,57.5,57.0,57.3,57.3,,58.1,56.5,57.0,58.1,58.3,57.5,57.2,57.0,58.5,57.4,,58.6,57.6,57.0,,,57.6,,57.0,58.2,,57.0,,58.7,57.0,59.0,57.6,,-0.1,1.0,-1.0,0.0,-1.0,-1.0,,-0.5,-1.0,-0.7,-0.7,,0.1,-1.5,-1.0,0.1,0.3,-0.5,-0.8,-1.0,0.5,-0.6,,0.6,-0.4,-1.0,,,-0.4,,-1.0,0.2,,-1.0,,0.7,-1.0,1.0,-0.4,,False,False,True,False,False,,False,False,False,False,,True,False,False,True,False,False,False,False,False,False,,False,False,False,,,False,,False,False,,False,,False,False,False,False,
Virginia,2322,2338.0,2400.0,2305.0,2355.0,2312.0,2305.0,,2267.3,2284.0,2300.8,2305.9,,2408.3,2135.6,2246.0,2361.9,2344.9,2352.6,2273.7,2320.4,2271.1,2337.2,,2217.2,2365.3,2261.0,,,2336.6,,2325.0,2376.2,,2317.0,2297.0,2354.4,2345.0,2323.0,2299.3,2227.0,16.0,78.0,-17.0,33.0,-10.0,-17.0,,-54.7,-38.0,-21.2,-16.1,,86.3,-186.4,-76.0,39.9,22.9,30.6,-48.3,-1.6,-50.9,15.2,,-104.8,43.3,-61.0,,,14.6,,3.0,54.2,,-5.0,-25.0,32.4,23.0,1.0,-22.7,-95.0,False,False,False,True,False,,False,False,False,False,,False,False,False,False,False,False,False,True,False,True,,False,False,False,,,True,,True,False,,True,False,False,False,True,False,False
Washington,1711,1677.4,1712.0,1678.0,1690.0,1664.0,1663.0,,1650.9,1677.0,1665.8,1641.5,,1686.6,1590.9,1673.0,1710.9,1674.4,1638.3,1643.7,1664.7,1696.5,1675.3,,1638.0,1682.5,1658.0,,,1645.5,,1680.0,1698.9,,1665.0,,1738.3,1679.0,1717.5,1659.4,1628.0,-1.6,33.0,-1.0,11.0,-15.0,-16.0,,-28.1,-2.0,-13.2,-37.5,,7.6,-88.1,-6.0,31.9,-4.6,-40.7,-35.3,-14.3,17.5,-3.7,,-41.0,3.5,-21.0,,,-33.5,,1.0,19.9,,-14.0,,59.3,0.0,38.5,-19.6,-51.0,False,True,False,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,,False,False,False,,,False,,True,False,,False,,False,True,False,False,False
West Virginia,131,129.0,131.0,126.0,129.0,125.0,123.0,,125.1,125.0,125.1,123.7,,128.9,107.9,120.0,126.7,134.0,124.0,121.2,123.9,120.8,124.6,,112.2,125.1,136.0,,,124.2,,125.0,130.9,,125.0,,128.8,127.0,132.0,124.8,,-2.0,0.0,-5.0,-2.0,-6.0,-8.0,,-5.9,-6.0,-5.9,-7.3,,-2.1,-23.1,-11.0,-4.3,3.0,-7.0,-9.8,-7.1,-10.2,-6.4,,-18.8,-5.9,5.0,,,-6.8,,-6.0,-0.1,,-6.0,,-2.2,-4.0,1.0,-6.2,,True,False,False,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,,False,False,False,,,False,,False,True,,False,,False,False,True,False,
Wisconsin,1043,996.0,1059.0,988.0,1003.0,997.0,1024.0,,1012.5,1008.0,988.7,1000.5,,1025.1,995.8,969.0,1008.7,1055.8,1000.7,982.9,993.4,983.9,972.3,972.0,912.9,997.2,963.0,,,979.5,,990.0,1002.5,,992.0,978.7,1038.1,1009.0,999.0,995.2,954.0,-7.0,56.0,-15.0,0.0,-6.0,21.0,,9.5,5.0,-14.3,-2.5,,22.1,-7.2,-34.0,5.7,52.8,-2.3,-20.1,-9.6,-19.1,-30.7,-31.0,-90.1,-5.8,-40.0,,,-23.5,,-13.0,-0.5,,-11.0,-24.3,35.1,6.0,-4.0,-7.8,-49.0,False,False,True,True,False,,False,True,False,True,,False,False,False,True,False,True,False,False,False,False,False,False,True,False,,,False,,False,True,,False,False,False,True,True,False,False
Wyoming,28,26.9,31.0,26.0,27.0,28.0,26.0,,30.0,28.0,27.9,28.0,,26.7,31.1,27.0,28.3,31.8,29.6,26.9,26.2,30.1,27.1,,37.5,26.9,27.0,,,25.0,,27.0,27.0,,27.0,,28.3,26.0,28.0,27.0,,-1.1,3.0,-2.0,-1.0,0.0,-2.0,,2.0,0.0,-0.1,-0.0,,-1.3,3.1,-1.0,0.3,3.8,1.6,-1.1,-1.8,2.1,-0.9,,9.5,-1.1,-1.0,,,-3.0,,-1.0,-1.0,,-1.0,,0.3,-2.0,0.0,-1.0,,False,False,True,True,False,,False,True,True,True,,False,False,True,True,False,False,True,False,False,True,,False,True,True,,,False,,True,True,,True,,True,False,True,True,
