,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,LANL-GrowthRate,NotreDame-FRED,NotreDame-mobility,PSI-DRAFT,STH-3PU,SWC-TerminusCM,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,YYG-ParamSearch,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-NotreDame-FRED,error-NotreDame-mobility,error-PSI-DRAFT,error-STH-3PU,error-SWC-TerminusCM,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-YYG-ParamSearch,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-PSI-DRAFT,beat_baseline-STH-3PU,beat_baseline-SWC-TerminusCM,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-YYG-ParamSearch
Alabama,1755,1387.6,1428.8,1439.6,1228.0,1186.9,,1292.6,1293.0,,1120.0,1305.9,1443.5,1118.9,1614.9,-367.4,-326.2,-315.4,-527.0,-568.1,,-462.4,-462.0,,-635.0,-449.1,-311.5,-636.1,-140.1,True,True,False,False,,False,False,,False,False,True,False,True
Alaska,26,25.7,21.9,14.5,,20.1,,73.4,14.0,,14.0,14.9,26.2,19.8,22.6,-0.3,-4.1,-11.5,,-5.9,,47.4,-12.0,,-12.0,-11.1,0.2,-6.2,-3.4,False,False,,False,,False,False,,False,False,True,False,False
Arizona,4137,3029.0,4520.4,3231.3,2190.0,3425.5,,3193.4,3234.5,,2106.0,2938.3,4280.9,3553.5,3321.4,-1108.0,383.4,-905.7,-1947.0,-711.5,,-943.6,-902.5,,-2031.0,-1198.7,143.9,-583.5,-815.6,True,True,False,True,,True,True,,False,False,True,True,True
Arkansas,535,492.4,559.4,535.7,382.0,449.9,,634.7,500.5,,555.0,391.3,606.3,345.1,556.1,-42.6,24.4,0.7,-153.0,-85.1,,99.7,-34.5,,20.0,-143.7,71.3,-189.9,21.1,True,True,False,False,,False,True,,True,False,False,False,True
California,10307,8374.4,8952.3,8339.4,6865.0,7592.7,,7418.9,8231.0,,7753.0,8125.6,9652.2,7276.5,9363.3,-1932.6,-1354.7,-1967.6,-3442.0,-2714.3,,-2888.1,-2076.0,,-2554.0,-2181.4,-654.8,-3030.5,-943.7,True,False,False,False,,False,False,,False,False,True,False,True
Colorado,1857,1845.9,1858.0,1872.2,1813.0,1901.8,,1778.5,1814.0,,1910.0,1816.0,1915.8,1990.4,1956.8,-11.1,1.0,15.2,-44.0,44.8,,-78.5,-43.0,,53.0,-41.0,58.8,133.4,99.8,True,False,False,False,,False,False,,False,False,False,False,False
Connecticut,4441,4644.0,4493.1,4499.2,4417.0,4518.1,,4474.9,4466.5,,4428.0,4501.5,4564.0,4433.8,4585.1,203.0,52.1,58.2,-24.0,77.1,,33.9,25.5,,-13.0,60.5,123.0,-7.2,144.1,True,True,True,True,,True,True,,True,True,True,True,True
Delaware,606,928.7,523.5,559.4,595.0,588.1,,514.3,564.0,,635.0,552.9,541.2,671.9,598.4,379.7,-25.5,10.4,46.0,39.1,,-34.7,15.0,,86.0,3.9,-7.8,122.9,49.4,True,True,True,True,,True,True,,True,True,True,True,True
District of Columbia,590,649.6,584.5,610.5,644.0,588.8,,595.7,563.0,,606.0,610.0,598.1,574.0,629.5,59.6,-5.5,20.5,54.0,-1.2,,5.7,-27.0,,16.0,20.0,8.1,-16.0,39.5,True,True,True,True,,True,True,,True,True,True,True,True
Florida,8109,4930.1,9983.7,6369.2,4614.0,6491.2,,4553.1,4350.0,,4259.0,5305.6,13313.4,18276.9,5695.5,-3178.9,1874.7,-1739.8,-3495.0,-1617.8,,-3555.9,-3759.0,,-3850.0,-2803.4,5204.4,10167.9,-2413.5,True,True,False,True,,False,False,,False,True,False,False,True
Georgia,4186,3568.7,3915.2,4092.4,3713.0,3880.3,,3162.4,3598.5,,3501.0,3653.9,3505.8,4228.9,4136.6,-617.3,-270.8,-93.6,-473.0,-305.7,,-1023.6,-587.5,,-685.0,-532.1,-680.2,42.9,-49.4,True,True,True,True,,False,True,,False,True,False,True,True
Hawaii,31,23.9,28.4,22.3,,23.9,,38.1,18.0,,20.0,18.8,22.9,26.9,19.5,-7.1,-2.6,-8.7,,-7.1,,7.1,-13.0,,-11.0,-12.2,-8.1,-4.1,-11.5,True,False,,True,,True,False,,False,False,False,True,False
Idaho,235,102.7,181.0,106.1,104.0,128.1,,151.2,97.5,,,99.6,316.1,242.0,110.9,-132.3,-54.0,-128.9,-131.0,-106.9,,-83.8,-137.5,,,-135.4,81.1,7.0,-124.1,True,True,True,True,,True,False,,,False,True,True,True
Illinois,7840,8299.6,7316.2,8010.4,8387.0,8123.5,9217.5,7824.7,13963.5,,7972.0,7519.2,7215.1,7357.7,8307.7,459.6,-523.8,170.4,547.0,283.5,1377.5,-15.3,6123.5,,132.0,-320.8,-624.9,-482.3,467.7,False,True,False,True,False,True,False,,True,True,False,False,False
Indiana,2974,3081.7,2905.4,2783.7,2776.0,3071.3,3185.5,2889.8,2916.0,,2936.0,2814.2,3229.2,3009.1,3176.3,38.7,-137.6,-259.3,-267.0,28.3,142.5,-153.2,-127.0,,-107.0,-228.8,186.2,-33.9,133.3,False,False,False,True,False,False,False,,False,False,False,True,False
Iowa,927,823.1,943.9,797.6,813.0,866.5,,744.9,1191.0,,907.0,843.0,888.1,872.0,883.3,-103.9,16.9,-129.4,-114.0,-60.5,,-182.1,264.0,,-20.0,-84.0,-38.9,-55.0,-43.7,True,False,False,True,,False,False,,True,True,True,True,True
Kansas,380,339.3,349.2,349.5,289.0,352.8,,356.4,353.0,,286.0,294.5,272.7,410.8,352.8,-40.7,-30.8,-30.5,-91.0,-27.2,,-23.6,-27.0,,-94.0,-85.5,-107.3,30.8,-27.2,True,True,False,True,,True,True,,False,False,False,True,True
Kentucky,772,745.4,679.6,679.4,746.0,657.0,969.0,695.9,644.0,,655.0,747.2,743.8,741.2,765.7,-26.6,-92.4,-92.6,-26.0,-115.0,197.0,-76.1,-128.0,,-117.0,-24.8,-28.2,-30.8,-6.3,False,False,True,False,False,False,False,,False,True,False,False,True
Louisiana,4207,3749.6,3656.4,3875.1,3391.0,3774.6,,3392.0,3410.0,,3411.0,3346.0,3265.4,4417.5,3718.4,-457.4,-550.6,-331.9,-816.0,-432.4,,-815.0,-797.0,,-796.0,-861.0,-941.6,210.5,-488.6,False,True,False,True,,False,False,,False,False,False,True,False
Maine,125,115.7,117.7,114.7,112.0,123.8,,134.3,109.0,,,108.6,127.2,139.8,119.6,-9.3,-7.3,-10.3,-13.0,-1.2,,9.3,-16.0,,,-16.4,2.2,14.8,-5.4,True,False,False,True,,True,False,,,False,True,False,True
Maryland,3577,3765.4,3458.3,3403.8,3466.0,3534.1,,3412.4,3586.5,,3526.0,3441.4,3524.6,3460.5,3788.4,188.4,-118.7,-173.2,-111.0,-42.9,,-164.6,9.5,,-51.0,-135.6,-52.4,-116.5,211.4,True,True,True,True,,True,True,,True,True,True,True,False
Massachusetts,8721,9242.1,8287.3,8948.6,8304.0,8668.1,,8437.1,8422.5,,8723.0,8423.1,8594.8,8860.8,8835.0,522.1,-432.7,228.6,-416.0,-51.9,,-282.9,-297.5,,3.0,-296.9,-125.2,140.8,115.0,True,True,True,True,,True,True,,True,True,True,True,True
Michigan,6520,6549.4,6329.4,6382.3,6548.0,6885.6,7732.5,6409.9,6289.0,,6351.0,6439.5,6415.5,6582.3,6590.5,29.4,-190.6,-137.7,28.0,365.6,1212.5,-110.1,-231.0,,-169.0,-80.5,-104.5,62.3,70.5,False,False,True,False,False,False,False,,False,False,False,False,False
Minnesota,1689,1741.1,1787.4,1725.9,1494.0,1835.4,2483.0,1584.8,1718.0,,1771.0,1726.9,1509.8,1801.8,1860.5,52.1,98.4,36.9,-195.0,146.4,794.0,-104.2,29.0,,82.0,37.9,-179.2,112.8,171.5,False,True,False,False,False,False,True,,False,True,False,False,False
Mississippi,1874,1630.6,1559.9,1553.3,1450.0,1361.5,,1372.9,1320.0,,1390.0,1224.3,1363.9,1802.2,1687.9,-243.4,-314.1,-320.7,-424.0,-512.5,,-501.1,-554.0,,-484.0,-649.7,-510.1,-71.8,-186.1,False,False,False,False,,False,False,,False,False,False,True,True
Missouri,1347,1232.4,1332.0,1396.8,1289.0,1250.9,,1188.9,1093.5,,1128.0,1418.4,1477.8,1428.8,1302.7,-94.6,5.0,69.8,-38.0,-76.1,,-138.1,-233.5,,-199.0,91.4,150.8,101.8,-24.3,True,True,True,True,,False,False,,False,True,False,False,True
Montana,75,33.7,37.3,29.7,28.0,38.0,,179.5,22.0,,22.0,24.9,41.6,43.2,30.4,-41.3,-37.7,-45.3,-47.0,-37.0,,104.5,-53.0,,-53.0,-50.1,-33.4,-31.8,-44.6,True,False,False,True,,False,False,,False,False,True,True,False
Nebraska,345,401.7,328.3,389.0,326.0,349.1,,448.1,676.5,,363.0,329.0,281.4,343.4,445.3,56.7,-16.7,44.0,-19.0,4.1,,103.1,331.5,,18.0,-16.0,-63.6,-1.6,100.3,True,True,True,True,,False,False,,True,True,False,True,False
Nevada,949,576.1,924.6,700.6,551.0,862.5,,529.4,547.5,,553.0,630.6,834.2,1225.1,694.4,-372.9,-24.4,-248.4,-398.0,-86.5,,-419.6,-401.5,,-396.0,-318.4,-114.8,276.1,-254.6,True,True,False,True,,False,False,,False,True,True,True,True
New Hampshire,419,531.0,446.0,539.6,377.0,448.7,,463.1,447.0,,540.0,470.7,444.6,433.7,488.8,112.0,27.0,120.6,-42.0,29.7,,44.1,28.0,,121.0,51.7,25.6,14.7,69.8,True,False,True,True,,True,True,,False,True,True,True,True
