,actual_deaths,Baseline,IHME-CurveFit,IowaStateLW-STEM,UCLA-SuEIR,USACE-ERDC_SEIR,error-Baseline,error-IHME-CurveFit,error-IowaStateLW-STEM,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR
Alabama,1755,1614.4,1157.8,742.0,1288.7,931.9,-140.6,-597.2,-1013.0,-466.3,-823.1,False,False,False,False
Alaska,26,10.0,10.0,,14.6,11.8,-16.0,-16.0,,-11.4,-14.2,False,,True,True
Arizona,4137,2387.4,6014.0,1326.5,4843.0,1867.6,-1749.6,1877.0,-2810.5,706.0,-2269.4,False,False,True,False
Arkansas,535,181.0,112.8,336.0,151.4,236.6,-354.0,-422.2,-199.0,-383.6,-298.4,False,True,False,True
California,10307,9453.1,6679.0,4925.5,6222.4,7772.1,-853.9,-3628.0,-5381.5,-4084.6,-2534.9,False,False,False,False
Colorado,1857,4108.1,2258.6,1439.0,1700.7,1906.3,2251.1,401.6,-418.0,-156.3,49.3,True,True,True,True
Connecticut,4441,8637.0,4693.8,3971.0,4931.1,3902.9,4196.0,252.8,-470.0,490.1,-538.1,True,True,True,True
Delaware,590,1108.1,529.1,432.0,630.1,401.4,518.1,-60.9,-158.0,40.1,-188.6,True,True,True,True
District of Columbia,590,1094.4,554.3,556.0,602.4,534.4,504.4,-35.7,-34.0,12.4,-55.6,True,True,True,True
Florida,8109,4961.0,4581.1,2692.0,3042.4,2641.6,-3148.0,-3527.9,-5417.0,-5066.6,-5467.4,False,False,False,False
Georgia,4186,4028.9,2322.3,1898.0,2270.9,2042.1,-157.1,-1863.7,-2288.0,-1915.1,-2143.9,False,False,False,False
Hawaii,31,17.0,17.0,,24.5,19.4,-14.0,-14.0,,-6.5,-11.6,False,,True,True
Idaho,235,144.1,76.5,78.0,124.9,88.0,-90.9,-158.5,-157.0,-110.1,-147.0,False,False,False,False
Illinois,7840,13318.9,8451.9,7448.0,8935.2,6151.8,5478.9,611.9,-392.0,1095.2,-1688.2,True,True,True,True
Indiana,3036,4632.3,2479.3,2438.0,2578.4,2959.4,1596.3,-556.7,-598.0,-457.6,-76.6,True,True,True,True
Iowa,927,1370.7,1014.6,603.0,1000.1,420.2,443.7,87.6,-324.0,73.1,-506.8,True,True,True,False
Kansas,380,444.0,316.6,284.0,298.2,470.1,64.0,-63.4,-96.0,-81.8,90.1,True,False,False,False
Kentucky,772,689.7,483.1,483.0,448.7,863.6,-82.3,-288.9,-289.0,-323.3,91.6,False,False,False,False
Louisiana,4207,4921.7,3065.2,3338.0,3131.8,2725.3,714.7,-1141.8,-869.0,-1075.2,-1481.7,False,False,False,False
Maine,125,141.1,80.5,1332.0,130.9,155.8,16.1,-44.5,1207.0,5.9,30.8,False,False,True,False
Maryland,3577,6118.3,4295.2,3068.5,3814.3,2985.3,2541.3,718.2,-508.5,237.3,-591.7,True,True,True,True
Massachusetts,8721,15496.1,8637.5,8367.5,10395.9,6518.9,6775.1,-83.5,-353.5,1674.9,-2202.1,True,True,True,True
Michigan,6520,8875.0,5896.9,5900.0,6238.3,4945.7,2588.0,-390.1,-387.0,-48.7,-1341.3,True,True,True,True
Minnesota,1689,2545.1,1740.9,3556.5,1955.4,2616.5,856.1,51.9,1867.5,266.4,927.5,True,False,True,False
Mississippi,1874,1600.0,940.3,1032.0,1054.3,897.0,-274.0,-933.7,-842.0,-819.7,-977.0,False,False,False,False
Missouri,1327,1750.1,1456.0,1052.0,1049.6,899.3,521.1,227.0,-177.0,-179.4,-329.7,True,True,True,True
Montana,75,16.0,16.0,16.0,22.0,17.8,-59.0,-59.0,-59.0,-53.0,-57.2,False,False,True,True
Nebraska,345,514.3,246.7,371.0,481.7,141.3,169.3,-98.3,26.0,136.7,-203.7,True,True,True,False
Nevada,949,824.3,586.0,515.0,566.8,529.6,-124.7,-363.0,-434.0,-382.2,-419.4,False,False,False,False
