,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,USACE-ERDC_SEIR,YYG-ParamSearch,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-YYG-ParamSearch,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-YYG-ParamSearch
Alabama,1755,1291.6,1477.6,1475.1,1109.0,,1433.1,1476.2,1490.2,-463.4,-277.4,-279.9,-646.0,,-321.9,-278.8,-264.8,True,True,False,,True,True,True
Alaska,26,12.0,20.4,17.0,,,13.4,27.5,17.6,-14.0,-5.6,-9.0,,,-12.6,1.5,-8.4,True,True,,,True,True,True
Arizona,4137,2432.4,4257.0,3587.1,2841.0,,3002.2,5587.2,2911.0,-1704.6,120.0,-549.9,-1296.0,,-1134.8,1450.2,-1226.0,True,True,True,,True,True,True
Arkansas,535,540.4,502.8,668.6,655.0,,475.8,573.9,524.3,5.4,-32.2,133.6,120.0,,-59.2,38.9,-10.7,False,False,False,,False,False,False
California,10307,8367.6,8483.2,8944.8,7470.0,,7603.6,9728.6,8966.1,-1939.4,-1823.8,-1362.2,-2837.0,,-2703.4,-578.4,-1340.9,True,True,False,,False,True,True
Colorado,1857,1983.0,1871.4,1792.4,1761.0,,1840.7,1923.0,2050.1,126.0,14.4,-64.6,-96.0,,-16.3,66.0,193.1,True,True,True,,True,True,False
Connecticut,4441,4664.6,4542.9,4475.0,4429.0,,4576.8,4505.9,4560.8,223.6,101.9,34.0,-12.0,,135.8,64.9,119.8,True,True,True,,True,True,True
Delaware,590,524.1,513.3,493.9,475.0,,504.3,471.7,534.4,-65.9,-76.7,-96.1,-115.0,,-85.7,-118.3,-55.6,False,False,False,,False,False,True
District of Columbia,590,656.4,598.8,628.5,643.0,,628.5,601.4,614.3,66.4,8.8,38.5,53.0,,38.5,11.4,24.3,True,True,True,,True,True,True
Florida,8109,4738.1,6627.8,7023.3,5055.0,,4509.0,7154.3,5564.8,-3370.9,-1481.2,-1085.7,-3054.0,,-3600.0,-954.7,-2544.2,True,True,True,,False,True,True
Georgia,4186,3959.6,3510.5,4632.3,3176.0,,3532.0,3444.4,4276.7,-226.4,-675.5,446.3,-1010.0,,-654.0,-741.6,90.7,False,False,False,,False,False,True
Hawaii,31,17.0,21.0,22.4,,,18.1,23.8,18.6,-14.0,-10.0,-8.6,,,-12.9,-7.2,-12.4,True,True,,,True,True,True
Idaho,235,102.7,136.1,111.3,110.0,,96.0,123.9,108.3,-132.3,-98.9,-123.7,-125.0,,-139.0,-111.1,-126.7,True,True,True,,False,True,True
Illinois,7840,8971.6,7333.7,7965.4,8038.0,,7550.5,7184.9,8354.9,1131.6,-506.3,125.4,198.0,,-289.5,-655.1,514.9,True,True,True,,True,True,True
Indiana,3036,3349.1,2972.5,2957.1,2659.0,,2816.5,3261.3,3429.6,313.1,-63.5,-78.9,-377.0,,-219.5,225.3,393.6,True,True,False,,True,True,False
Iowa,927,919.1,975.4,829.4,778.0,,862.1,871.6,929.2,-7.9,48.4,-97.6,-149.0,,-64.9,-55.4,2.2,False,False,False,,False,False,True
Kansas,380,339.3,314.2,351.9,325.0,,290.3,217.4,346.5,-40.7,-65.8,-28.1,-55.0,,-89.7,-162.6,-33.5,False,True,False,,False,False,True
Kentucky,772,711.1,674.3,710.4,640.0,,764.0,692.0,742.1,-60.9,-97.7,-61.6,-132.0,,-8.0,-80.0,-29.9,False,False,False,,True,False,True
Louisiana,4207,3729.0,3583.0,3821.2,3743.0,,3317.6,3245.9,3670.9,-478.0,-624.0,-385.8,-464.0,,-889.4,-961.1,-536.1,False,True,True,,False,False,False
Maine,125,115.7,120.1,113.0,111.0,,109.0,132.1,119.4,-9.3,-4.9,-12.0,-14.0,,-16.0,7.1,-5.6,True,False,False,,False,True,True
Maryland,3577,3936.9,3593.9,3479.3,3685.0,,3500.3,3583.5,3798.0,359.9,16.9,-97.7,108.0,,-76.7,6.5,221.0,True,True,True,,True,True,True
Massachusetts,8721,9454.7,8322.5,8558.0,8654.0,,8495.3,8255.1,8672.3,734.7,-397.5,-162.0,-66.0,,-224.7,-464.9,-47.7,True,True,True,,True,True,True
