,actual_deaths,Baseline,IowaStateLW-STEM,error-Baseline,error-IowaStateLW-STEM,beat_baseline-IowaStateLW-STEM
Alabama,1755,1140.1,334.0,-614.9,-1421.0,False
Alaska,26,9.0,,-17.0,,
Arizona,4137,1627.0,591.0,-2510.0,-3546.0,False
Arkansas,535,229.3,186.0,-305.7,-349.0,False
California,10307,9866.7,3449.0,-440.3,-6858.0,False
Colorado,1857,4669.7,1557.0,2812.7,-300.0,True
Connecticut,4441,13765.1,3757.0,9324.1,-684.0,True
Delaware,590,907.4,481.0,317.4,-109.0,True
District of Columbia,590,1396.3,452.0,806.3,-138.0,True
Florida,8109,5547.0,2172.0,-2562.0,-5937.0,False
Georgia,4186,4318.3,2091.0,132.3,-2095.0,False
Hawaii,31,73.4,,42.4,,
Idaho,235,234.3,102.0,-0.7,-133.0,False
Illinois,7840,11486.1,4900.0,3646.1,-2940.0,True
Indiana,3036,4542.1,1457.0,1506.1,-1579.0,False
Iowa,927,756.9,548.0,-170.1,-379.0,False
Kansas,380,537.0,970.0,157.0,590.0,False
Kentucky,772,1129.1,331.0,357.1,-441.0,False
Louisiana,4207,8162.1,2976.0,3955.1,-1231.0,True
Maine,125,287.7,70.0,162.7,-55.0,True
Maryland,3577,7580.9,2302.0,4003.9,-1275.0,True
Massachusetts,8721,20623.6,6618.0,11902.6,-2103.0,True
Michigan,6520,17043.0,5153.0,10713.0,-1177.0,True
Minnesota,1689,2322.3,526.0,633.3,-1163.0,False
Mississippi,1874,1237.3,391.0,-636.7,-1483.0,False
Missouri,1327,1531.0,723.0,295.0,-513.0,False
Montana,75,73.4,20.0,-1.6,-55.0,False
Nebraska,345,472.0,860.0,127.0,515.0,False
Nevada,949,919.1,521.0,-29.9,-428.0,False
New Hampshire,419,386.9,119.0,-32.1,-300.0,False
New Jersey,15869,29352.9,13261.0,14875.9,-1216.0,True
New Mexico,681,752.7,192.0,71.7,-489.0,False
New York,32768,77047.3,31800.0,44927.3,-320.0,True
North Carolina,2184,2166.3,538.0,-17.7,-1646.0,False
North Dakota,112,135.9,53.0,23.9,-59.0,False
Ohio,3668,4546.3,1860.0,878.3,-1808.0,False
Oklahoma,603,1012.1,299.0,409.1,-304.0,True
Oregon,355,359.4,148.0,4.4,-207.0,False
Pennsylvania,7310,9838.9,3972.0,2528.9,-3338.0,False
Rhode Island,1014,1355.1,954.0,341.1,-60.0,True
South Carolina,2007,976.3,367.0,-1030.7,-1640.0,False
South Dakota,146,70.4,242.0,-75.6,96.0,False
Tennessee,1215,671.3,1270.0,-543.7,55.0,True
Texas,9058,3043.0,3645.0,-5928.0,-5326.0,True
Utah,335,249.0,233.0,-86.0,-102.0,False
Vermont,58,164.9,53.0,106.9,-5.0,True
Virginia,2322,3004.4,1576.0,682.4,-746.0,False
Washington,1688,2427.9,1254.0,739.9,-434.0,True
West Virginia,131,271.7,295.0,140.7,164.0,False
Wisconsin,996,1044.6,459.0,48.6,-537.0,False
Wyoming,28,81.3,13.0,53.3,-15.0,True
US,162423,261930.1,,101915.1,,
