,actual_deaths,Baseline,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,GT_CHHS-COVID19,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RobertWalraven-ESG,STH-3PU,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RobertWalraven-ESG,error-STH-3PU,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Alabama,1755,1818.4,1802.0,1796.0,1864.0,1943.0,,1664.5,1930.0,2012.6,1786.2,,1783.8,1755.0,1779.0,1878.8,1790.3,1690.0,1813.9,1692.5,1860.0,,1657.6,1861.3,1924.0,,1663.2,,1952.0,1768.8,,1817.0,1720.5,1871.2,1792.0,1918.0,1898.3,1870.0,63.4,47.0,41.0,109.0,188.0,,-90.5,175.0,257.6,31.2,,28.8,0.0,24.0,123.8,35.3,-65.0,58.9,-62.5,105.0,,-97.4,106.3,169.0,,-91.8,,197.0,13.8,,62.0,-34.5,116.2,37.0,163.0,143.3,115.0,True,True,False,False,,False,False,False,True,,True,True,True,False,True,False,True,True,False,,False,False,False,,False,,False,True,,True,True,False,True,False,False,False
Alaska,26,23.7,26.0,24.0,27.0,29.0,,31.4,30.0,29.2,23.7,,18.7,,30.5,40.0,32.0,28.2,21.2,25.9,23.8,,24.5,24.6,26.0,,21.3,,31.0,25.0,,29.0,,25.8,26.0,36.0,24.7,,-2.3,0.0,-2.0,1.0,3.0,,5.4,4.0,3.2,-2.3,,-7.3,,4.5,14.0,6.0,2.2,-4.8,-0.1,-2.2,,-1.5,-1.4,0.0,,-4.7,,5.0,-1.0,,3.0,,-0.2,0.0,10.0,-1.3,,True,True,True,False,,False,False,False,False,,False,,False,False,False,True,False,True,True,,True,True,True,,False,,False,True,,False,,True,True,False,True,
Arizona,4137,4315.3,4305.0,4398.0,4241.0,4046.0,,3653.3,3982.0,5774.4,4429.3,,4140.3,4303.0,4032.0,3974.9,4239.9,4062.7,4209.4,3101.3,4741.5,,4710.8,4201.7,4898.0,,3838.5,,4112.0,4241.2,,4112.0,4368.4,4148.7,4205.0,5100.0,4252.3,4482.0,178.3,168.0,261.0,104.0,-91.0,,-483.7,-155.0,1637.4,292.3,,3.3,166.0,-105.0,-162.1,102.9,-74.3,72.4,-1035.7,604.5,,573.8,64.7,761.0,,-298.5,,-25.0,104.2,,-25.0,231.4,11.7,68.0,963.0,115.3,345.0,True,False,True,True,,False,True,False,False,,True,True,True,True,True,True,True,False,False,,False,True,False,,False,,True,True,,True,False,True,True,False,True,False
Arkansas,535,482.7,491.0,483.0,490.0,566.0,,533.9,510.0,519.5,481.3,,484.7,453.0,527.1,583.0,475.9,460.1,480.1,459.4,494.8,,485.3,492.4,467.5,,,,498.0,479.5,,479.0,489.7,490.5,482.0,493.0,491.0,,-52.3,-44.0,-52.0,-45.0,31.0,,-1.1,-25.0,-15.5,-53.7,,-50.3,-82.0,-7.9,48.0,-59.1,-74.9,-54.9,-75.6,-40.2,,-49.7,-42.6,-67.5,,,,-37.0,-55.5,,-56.0,-45.3,-44.5,-53.0,-42.0,-44.0,,True,True,True,True,,True,True,True,False,,True,False,True,True,False,False,False,False,True,,True,True,False,,,,True,False,,False,True,True,False,True,True,
California,10307,9809.3,9877.0,9820.0,9978.0,10520.0,,9618.6,10589.0,10228.6,9955.6,,10252.4,10181.0,10111.2,10405.5,10129.4,9223.2,9952.9,10280.5,9937.7,,9123.8,9913.7,10192.0,,9401.7,,10118.0,9792.8,9144.0,9782.0,9683.7,10617.2,9707.0,10311.5,9954.3,9627.0,-497.7,-430.0,-487.0,-329.0,213.0,,-688.4,282.0,-78.4,-351.4,,-54.6,-126.0,-195.8,98.5,-177.6,-1083.8,-354.1,-26.5,-369.3,,-1183.2,-393.3,-115.0,,-905.3,,-189.0,-514.2,-1163.0,-525.0,-623.3,310.2,-600.0,4.5,-352.7,-680.0,True,True,True,True,,False,True,True,True,,True,True,True,True,True,False,True,True,True,,False,True,True,,False,,True,False,False,False,False,True,False,True,True,False
Colorado,1857,1872.0,1880.0,1878.1,1887.0,1966.0,,1867.5,1908.0,1841.9,1916.8,,1898.0,1888.0,1887.5,1900.3,1769.8,1865.1,1859.2,1975.5,1931.5,,1836.9,1897.9,1833.0,,1841.8,,1884.0,1892.0,,1881.0,,2015.9,1875.0,1873.0,1891.1,,15.0,23.0,21.1,30.0,109.0,,10.5,51.0,-15.1,59.8,,41.0,31.0,30.5,43.3,-87.2,8.1,2.2,118.5,74.5,,-20.1,40.9,-24.0,,-15.2,,27.0,35.0,,24.0,,158.9,18.0,16.0,34.1,,False,False,False,False,,True,False,False,False,,False,False,False,False,False,True,True,False,False,,False,False,False,,False,,False,False,,False,,False,False,False,False,
Connecticut,4441,4444.6,4442.0,4464.4,4447.0,4487.0,,4423.9,4423.0,4431.9,4502.6,,4480.4,4457.0,4431.3,4458.2,4441.1,4502.3,4437.2,4443.3,4476.6,,4434.2,4462.2,4440.0,,4458.1,,4429.0,4419.8,,4442.0,4525.2,4517.7,4472.0,4436.0,4444.4,,3.6,1.0,23.4,6.0,46.0,,-17.1,-18.0,-9.1,61.6,,39.4,16.0,-9.7,17.2,0.1,61.3,-3.8,2.3,35.6,,-6.8,21.2,-1.0,,17.1,,-12.0,-21.2,,1.0,84.2,76.7,31.0,-5.0,3.4,,True,False,False,False,,False,False,False,False,,False,False,False,False,True,False,False,True,False,,False,False,True,,False,,False,False,,True,False,False,False,False,True,
Delaware,590,683.0,653.0,691.0,603.0,622.0,,556.0,603.0,602.8,617.2,,532.9,595.0,598.3,614.9,586.2,590.6,609.5,561.8,617.2,,532.2,595.8,579.0,,591.7,,626.0,730.5,,804.0,,630.6,630.0,634.0,592.9,,93.0,63.0,101.0,13.0,32.0,,-34.0,13.0,12.8,27.2,,-57.1,5.0,8.3,24.9,-3.8,0.6,19.5,-28.2,27.2,,-57.8,5.8,-11.0,,1.7,,36.0,140.5,,214.0,,40.6,40.0,44.0,2.9,,True,False,True,True,,True,True,True,True,,True,True,True,True,True,True,True,True,True,,True,True,True,,True,,True,False,,False,,True,True,True,True,
District of Columbia,590,586.6,590.0,588.8,592.0,609.0,,588.3,597.0,587.7,599.1,,603.0,584.0,591.4,597.1,597.6,608.5,585.6,579.6,,,591.8,587.9,585.0,,592.5,,592.0,582.3,,595.0,,616.8,588.0,595.0,590.1,,-3.4,0.0,-1.2,2.0,19.0,,-1.7,7.0,-2.3,9.1,,13.0,-6.0,1.4,7.1,7.6,18.5,-4.4,-10.4,,,1.8,-2.1,-5.0,,2.5,,2.0,-7.7,,5.0,,26.8,-2.0,5.0,0.1,,True,True,True,False,,True,False,True,False,,False,False,True,False,False,False,False,False,,,True,True,False,,True,,True,False,,False,,False,True,False,True,
Florida,8109,7473.4,7585.0,7540.9,7705.0,8108.0,,7705.1,7803.0,9377.3,7287.2,,7390.9,7657.0,7867.9,7297.2,9364.5,7236.6,7692.2,5938.7,8043.3,,7338.7,7719.0,8871.0,,7178.4,,7836.0,7636.9,,7556.0,7142.2,7801.2,7460.0,9289.0,7594.9,7673.0,-635.6,-524.0,-568.1,-404.0,-1.0,,-403.9,-306.0,1268.3,-821.8,,-718.1,-452.0,-241.1,-811.8,1255.5,-872.4,-416.8,-2170.3,-65.7,,-770.3,-390.0,762.0,,-930.6,,-273.0,-472.1,,-553.0,-966.8,-307.8,-649.0,1180.0,-514.1,-436.0,True,True,True,True,,True,True,False,False,,False,True,True,False,False,False,True,False,True,,False,True,False,,False,,True,True,,True,False,True,False,False,True,True
