,actual_deaths,Baseline,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,GT-DeepCOVID,GT_CHHS-COVID19,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RobertWalraven-ESG,STH-3PU,UA-EpiCovDA,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RobertWalraven-ESG,error-STH-3PU,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Alabama,1755,1761.3,1421.0,1801.9,1828.0,1720.0,,1640.6,1908.0,1897.5,,1563.6,1609.0,1891.9,1382.8,1698.1,1467.2,1734.8,1890.3,,1759.3,2038.9,2118.0,,10414.4,,1680.0,1718.7,1909.0,1652.7,1918.9,2151.9,1968.0,1852.8,1671.0,6.3,-334.0,46.9,73.0,-35.0,,-114.4,153.0,142.5,,-191.4,-146.0,136.9,-372.2,-56.9,-287.8,-20.2,135.3,,4.3,283.9,363.0,,8659.4,,-75.0,-36.3,154.0,-102.3,163.9,396.9,213.0,97.8,-84.0,False,False,False,False,,False,False,False,,False,False,False,False,False,False,False,False,,True,False,False,,False,,False,False,False,False,False,False,False,False,False
Alaska,26,20.9,21.0,21.0,27.0,17.0,,32.5,28.0,23.6,,22.3,,49.6,19.5,25.1,18.1,27.5,22.7,,28.3,21.9,27.0,,24.6,,32.0,21.4,29.0,,27.0,30.8,32.0,21.2,,-5.1,-5.0,-5.0,1.0,-9.0,,6.5,2.0,-2.4,,-3.7,,23.6,-6.5,-0.9,-7.9,1.5,-3.3,,2.3,-4.1,1.0,,-1.4,,6.0,-4.6,3.0,,1.0,4.8,6.0,-4.8,,True,True,True,False,,False,True,True,,True,,False,False,True,False,True,True,,True,True,True,,True,,False,True,True,,True,True,False,True,
Arizona,4137,4258.1,3129.0,4466.6,4270.0,3739.0,,3724.4,3948.0,4555.8,,3418.3,4071.0,3823.6,3299.1,3735.9,3230.8,2593.0,4810.5,,4343.0,4605.4,5000.0,,11128.2,,3926.0,4039.3,3955.0,4489.9,6128.6,4385.4,5399.0,4115.9,3989.0,121.1,-1008.0,329.6,133.0,-398.0,,-412.6,-189.0,418.8,,-718.7,-66.0,-313.4,-837.9,-401.1,-906.2,-1544.0,673.5,,206.0,468.4,863.0,,6991.2,,-211.0,-97.7,-182.0,352.9,1991.6,248.4,1262.0,-21.1,-148.0,False,False,False,False,,False,False,False,,False,True,False,False,False,False,False,False,,False,False,False,,False,,False,True,False,False,False,False,False,True,False
Arkansas,535,459.9,403.0,471.0,492.0,510.0,,536.6,512.0,513.9,,444.2,424.0,673.3,378.3,437.7,399.3,447.0,500.0,,485.7,496.2,503.0,,,,465.0,442.5,476.0,485.7,553.3,490.7,489.0,479.8,,-75.1,-132.0,-64.0,-43.0,-25.0,,1.6,-23.0,-21.1,,-90.8,-111.0,138.3,-156.7,-97.3,-135.7,-88.0,-35.0,,-49.3,-38.8,-32.0,,,,-70.0,-92.5,-59.0,-49.3,18.3,-44.3,-46.0,-55.2,,False,True,True,True,,True,True,True,,False,False,False,False,False,False,False,True,,True,True,True,,,,True,False,True,True,True,True,True,True,
California,10307,9612.1,8527.0,9727.1,9914.0,9563.0,,10002.8,10846.0,10359.5,,11162.6,9994.0,11149.0,8112.3,8852.9,8447.6,10691.5,10916.7,,9145.0,10023.2,9476.0,,1879.0,,9957.0,9520.1,9756.0,9415.3,12774.5,10212.3,10394.0,9687.8,9288.0,-694.9,-1780.0,-579.9,-393.0,-744.0,,-304.2,539.0,52.5,,855.6,-313.0,842.0,-2194.7,-1454.1,-1859.4,384.5,609.7,,-1162.0,-283.8,-831.0,,-8428.0,,-350.0,-786.9,-551.0,-891.7,2467.5,-94.7,87.0,-619.2,-1019.0,False,True,True,False,,True,True,True,,False,True,False,False,False,False,True,True,,False,True,False,,False,,True,False,True,False,False,True,True,True,False
Colorado,1857,1829.1,1787.0,1838.7,1873.0,1835.0,,1875.4,1884.0,,,1832.8,1860.0,1909.9,1803.5,1834.4,1780.6,1947.6,2062.0,,1849.5,1867.2,1855.0,,834.8,,1885.0,1834.1,1858.0,1811.6,1917.9,1927.9,1824.0,1913.7,,-27.9,-70.0,-18.3,16.0,-22.0,,18.4,27.0,,,-24.2,3.0,52.9,-53.5,-22.6,-76.4,90.6,205.0,,-7.5,10.2,-2.0,,-1022.2,,28.0,-22.9,1.0,-45.4,60.9,70.9,-33.0,56.7,,False,True,True,True,,True,True,,,True,True,False,False,True,False,False,False,,True,True,True,,False,,False,True,True,False,False,False,False,False,
Connecticut,4441,4533.1,4413.0,4563.3,4477.0,4446.0,,4433.6,4413.0,4551.8,,4395.3,4496.0,4478.6,4406.2,4481.2,4409.3,4419.2,4497.5,,4423.2,4487.2,4496.0,,4739.5,,4432.0,4500.6,4456.0,4482.0,4499.7,4479.7,4462.0,4453.2,,92.1,-28.0,122.3,36.0,5.0,,-7.4,-28.0,110.8,,-45.7,55.0,37.6,-34.8,40.2,-31.7,-21.8,56.5,,-17.8,46.2,55.0,,298.5,,-9.0,59.6,15.0,41.0,58.7,38.7,21.0,12.2,,True,False,True,True,,True,True,False,,True,True,True,True,True,True,True,True,,True,True,True,,False,,True,True,True,True,True,True,True,True,
Delaware,590,540.1,523.0,544.8,549.0,537.0,,573.7,563.0,,,531.7,551.0,579.5,525.6,546.2,527.2,569.4,555.3,,528.2,543.1,577.0,,811.0,,533.0,544.9,540.0,559.9,593.4,536.2,534.5,551.4,,-49.9,-67.0,-45.2,-41.0,-53.0,,-16.3,-27.0,,,-58.3,-39.0,-10.5,-64.4,-43.8,-62.8,-20.6,-34.7,,-61.8,-46.9,-13.0,,221.0,,-57.0,-45.1,-50.0,-30.1,3.4,-53.8,-55.5,-38.6,,False,True,True,False,,True,True,,,False,True,True,False,True,False,True,True,,False,True,True,,False,,False,True,False,True,True,False,False,True,
District of Columbia,590,606.6,587.0,608.7,607.0,602.0,,587.6,601.0,615.8,,606.9,610.0,606.9,586.3,620.9,583.5,572.0,,,592.0,616.9,624.5,,0.0,,613.0,603.2,612.0,,620.9,625.6,600.0,602.3,,16.6,-3.0,18.7,17.0,12.0,,-2.4,11.0,25.8,,16.9,20.0,16.9,-3.7,30.9,-6.5,-18.0,,,2.0,26.9,34.5,,-590.0,,23.0,13.2,22.0,,30.9,35.6,10.0,12.3,,True,False,False,True,,True,True,False,,False,False,False,True,False,True,False,,,True,False,False,,False,,False,True,False,,False,False,True,True,
Florida,8109,7096.3,5763.0,6988.7,7861.0,7955.0,,8533.2,8443.0,8146.4,,7413.7,7636.0,6908.3,13439.9,7286.0,5892.4,5150.5,7671.6,,7038.0,7484.9,8239.0,,28045.2,,7591.0,7057.5,7916.0,7655.5,12768.2,7341.2,9779.5,7807.6,6899.0,-1012.7,-2346.0,-1120.3,-248.0,-154.0,,424.2,334.0,37.4,,-695.3,-473.0,-1200.7,5330.9,-823.0,-2216.6,-2958.5,-437.4,,-1071.0,-624.1,130.0,,19936.2,,-518.0,-1051.5,-193.0,-453.5,4659.2,-767.8,1670.5,-301.4,-1210.0,False,False,True,True,,True,True,True,,True,True,False,False,True,False,False,True,,False,True,True,,False,,True,False,True,True,False,True,False,True,False
