,actual_deaths,Baseline,IHME-CurveFit,UCLA-SuEIR,error-Baseline,error-IHME-CurveFit,error-UCLA-SuEIR,beat_baseline-IHME-CurveFit,beat_baseline-UCLA-SuEIR
Alabama,1755,1717.3,1553.7,781.1,-37.7,-201.3,-973.9,False,False
Alaska,26,22.9,5.0,14.8,-3.1,-21.0,-11.2,False,False
Arizona,4137,2773.1,2987.2,1201.4,-1363.9,-1149.8,-2935.6,True,False
Arkansas,535,283.9,213.3,311.8,-251.1,-321.7,-223.2,False,True
California,10307,9144.6,6086.4,7307.7,-1162.4,-4220.6,-2999.3,False,False
Colorado,1857,2629.6,1676.0,1859.9,772.6,-181.0,2.9,True,True
Connecticut,4441,9794.1,4574.7,4463.8,5353.1,133.7,22.8,True,True
Delaware,590,786.7,412.8,466.4,196.7,-177.2,-123.6,True,True
District of Columbia,590,1248.7,536.4,585.3,658.7,-53.6,-4.7,True,True
Florida,8109,6118.1,5439.7,2784.3,-1990.9,-2669.3,-5324.7,False,False
Georgia,4186,4260.3,3596.1,2882.3,74.3,-589.9,-1303.7,False,False
Hawaii,31,17.0,19.0,25.7,-14.0,-12.0,-5.3,True,True
Idaho,235,105.6,75.1,113.5,-129.4,-159.9,-121.5,False,True
Illinois,7840,13537.4,7395.4,6845.0,5697.4,-444.6,-995.0,True,True
Indiana,3036,6342.3,4091.2,2799.5,3306.3,1055.2,-236.5,True,True
Iowa,927,1306.4,914.7,2473.8,379.4,-12.3,1546.8,True,False
Kansas,380,559.7,411.4,1103.6,179.7,31.4,723.6,True,False
Kentucky,772,959.7,703.0,730.9,187.7,-69.0,-41.1,True,True
Louisiana,4207,5808.9,3232.5,3521.9,1601.9,-974.5,-685.1,True,True
Maine,125,154.0,91.6,134.6,29.0,-33.4,9.6,False,True
Maryland,3577,6311.1,2606.4,3115.1,2734.1,-970.6,-461.9,True,True
Massachusetts,8721,17514.7,7544.9,7640.5,8793.7,-1176.1,-1080.5,True,True
Michigan,6520,11009.3,6216.6,6660.9,4717.3,-75.4,368.9,True,True
Minnesota,1689,2635.1,2073.3,1802.4,946.1,384.3,113.4,True,True
Mississippi,1874,2062.9,1235.8,775.7,188.9,-638.2,-1098.3,False,False
Missouri,1327,2071.6,1983.6,851.9,846.6,758.6,-373.1,True,True
Montana,75,16.0,14.0,23.2,-59.0,-61.0,-51.8,False,True
Nebraska,345,244.3,218.1,882.1,-100.7,-126.9,537.1,False,False
Nevada,949,978.6,511.4,521.4,29.6,-437.6,-427.6,False,False
New Hampshire,419,737.3,227.8,296.3,318.3,-191.2,-122.7,True,True
New Jersey,15869,27063.1,14752.1,14026.6,12900.1,589.1,-136.4,True,True
New Mexico,681,830.0,381.7,351.8,149.0,-299.3,-329.2,False,False
New York,32768,51493.9,31620.5,39052.2,19724.9,-148.5,7283.2,True,True
North Carolina,2184,2235.4,1190.4,1012.5,51.4,-993.6,-1171.5,False,False
North Dakota,112,163.6,80.9,103.1,51.6,-31.1,-8.9,True,True
Ohio,3668,5223.9,2959.6,2450.2,1555.9,-708.4,-1217.8,True,True
Oklahoma,603,709.1,470.2,490.5,106.1,-132.8,-112.5,False,False
Oregon,355,358.4,203.8,255.7,3.4,-151.2,-99.3,False,False
Pennsylvania,7310,17768.9,10742.4,5431.6,10458.9,3432.4,-1878.4,True,True
Rhode Island,1014,1733.4,675.0,893.4,719.4,-339.0,-120.6,True,True
South Carolina,2007,1051.0,743.9,566.7,-956.0,-1263.1,-1440.3,False,False
South Dakota,146,201.1,166.8,70.4,55.1,20.8,-75.6,True,False
Tennessee,1215,667.3,506.8,542.3,-547.7,-708.2,-672.7,False,False
Texas,9058,3871.1,2567.1,2247.3,-5122.9,-6426.9,-6746.7,False,False
Utah,335,285.6,149.5,138.5,-49.4,-185.5,-196.5,False,False
Vermont,58,53.0,52.3,78.8,-5.0,-5.7,20.8,False,False
Virginia,2322,3140.4,1396.1,1904.1,818.4,-925.9,-417.9,False,True
Washington,1688,2178.1,1120.1,1413.1,490.1,-567.9,-274.9,False,True
West Virginia,131,131.1,78.6,89.0,0.1,-52.4,-42.0,False,False
Wisconsin,996,1184.3,672.8,1031.4,188.3,-323.2,35.4,False,True
Wyoming,28,7.0,6.0,19.3,-21.0,-22.0,-8.7,False,True
US,162423,231806.0,137183.7,130781.2,72482.0,-22140.3,-28542.8,True,True
