,actual_deaths,Baseline,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,GT-DeepCOVID,GT_CHHS-COVID19,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,MITCovAlliance-SIR,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RobertWalraven-ESG,STH-3PU,UA-EpiCovDA,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RobertWalraven-ESG,error-STH-3PU,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Alabama,1755,1560.7,1542.4,1666.9,1565.0,,1560.7,1888.0,,,1824.0,1843.9,1571.3,1721.4,1575.5,,1581.1,1698.1,1494.0,,1282.9,,1471.0,1569.7,1808.0,,1766.5,1856.6,1793.5,1803.0,1576.0,-194.3,-212.6,-88.1,-190.0,,-194.3,133.0,,,69.0,88.9,-183.7,-33.6,-179.5,,-173.9,-56.9,-261.0,,-472.1,,-284.0,-185.3,53.0,,11.5,101.6,38.5,48.0,-179.0,False,True,True,,True,True,,,True,True,True,True,True,,True,True,False,,False,,False,True,True,,True,True,True,True,True
Alaska,26,20.9,21.0,26.3,17.0,,29.9,25.0,23.8,,,41.2,34.6,14.1,26.5,,32.6,24.6,27.0,,18.7,,23.0,21.3,39.0,,40.1,31.9,31.0,23.1,,-5.1,-5.0,0.3,-9.0,,3.9,-1.0,-2.2,,,15.2,8.6,-11.9,0.5,,6.6,-1.4,1.0,,-7.3,,-3.0,-4.7,13.0,,14.1,5.9,5.0,-2.9,,True,True,False,,True,True,True,,,False,False,False,True,,False,True,True,,False,,True,True,False,,False,False,True,True,
Arizona,4137,3826.1,3487.4,3795.6,3205.0,,4067.7,4407.0,4203.9,,3420.0,3590.1,2974.3,1996.0,3522.5,,4044.1,3885.8,3370.5,,3095.5,,3507.0,3714.9,3854.0,,3733.2,3384.5,5766.0,3851.0,3692.0,-310.9,-649.6,-341.4,-932.0,,-69.3,270.0,66.9,,-717.0,-546.9,-1162.7,-2141.0,-614.5,,-92.9,-251.2,-766.5,,-1041.5,,-630.0,-422.1,-283.0,,-403.8,-752.5,1629.0,-286.0,-445.0,False,False,False,,True,True,True,,False,False,False,False,False,,True,True,False,,False,,False,False,True,,False,False,False,True,False
Arkansas,535,452.1,451.0,490.8,437.0,,535.0,525.0,428.3,,556.0,774.2,431.9,360.8,496.5,,476.8,522.4,387.0,,435.5,,432.0,427.2,480.0,,491.3,501.1,487.0,527.4,,-82.9,-84.0,-44.2,-98.0,,-0.0,-10.0,-106.7,,21.0,239.2,-103.1,-174.2,-38.5,,-58.2,-12.6,-148.0,,-99.5,,-103.0,-107.8,-55.0,,-43.7,-33.9,-48.0,-7.6,,False,True,False,,True,True,False,,True,False,False,False,True,,True,True,False,,False,,False,False,True,,True,True,True,True,
California,10307,9666.1,9798.2,9850.3,10480.0,,9897.6,11407.0,10463.0,,9214.0,11676.9,8455.3,12138.3,9040.4,,8702.8,11337.4,8695.5,,11083.3,,9060.0,9499.3,10092.0,,11406.3,11700.9,10564.0,10124.9,9363.0,-640.9,-508.8,-456.7,173.0,,-409.4,1100.0,156.0,,-1093.0,1369.9,-1851.7,1831.3,-1266.6,,-1604.2,1030.4,-1611.5,,776.3,,-1247.0,-807.7,-215.0,,1099.3,1393.9,257.0,-182.1,-944.0,True,True,True,,True,False,True,,False,False,False,False,False,,False,False,False,,False,,False,False,True,,False,False,True,True,False
Colorado,1857,1817.6,1838.3,1883.8,1996.0,,1867.6,1879.0,1981.9,,1908.0,1931.4,1862.1,1828.4,1875.3,,1890.9,1997.4,1740.0,,1851.3,,1886.0,1821.2,1916.0,,1949.4,1968.8,1801.0,1891.0,,-39.4,-18.7,26.8,139.0,,10.6,22.0,124.9,,51.0,74.4,5.1,-28.6,18.3,,33.9,140.4,-117.0,,-5.7,,29.0,-35.8,59.0,,92.4,111.8,-56.0,34.0,,True,True,False,,True,True,False,,False,False,True,True,True,,True,False,False,,True,,True,True,False,,False,False,False,True,
Connecticut,4441,4398.1,4491.4,4440.2,4386.0,,4442.0,4382.0,4852.3,,4465.0,4479.5,4415.6,4572.5,4477.3,,4386.5,4396.0,4476.0,,4544.0,,4375.0,4403.0,4370.0,,4397.8,4429.8,4390.0,4399.1,,-42.9,50.4,-0.8,-55.0,,1.0,-59.0,411.3,,24.0,38.5,-25.4,131.5,36.3,,-54.5,-45.0,35.0,,103.0,,-66.0,-38.0,-71.0,,-43.2,-11.2,-51.0,-41.9,,False,True,False,,True,False,False,,True,True,True,False,True,,False,False,True,,False,,False,True,False,,False,True,False,True,
Delaware,590,536.3,546.3,555.9,539.0,,591.9,584.0,,,581.0,607.8,539.7,542.4,571.0,,523.7,545.0,637.0,,534.1,,529.0,558.6,540.0,,550.2,621.8,534.0,556.9,,-53.7,-43.7,-34.1,-51.0,,1.9,-6.0,,,-9.0,17.8,-50.3,-47.6,-19.0,,-66.3,-45.0,47.0,,-55.9,,-61.0,-31.4,-50.0,,-39.8,31.8,-56.0,-33.1,,True,True,True,,True,True,,,True,True,True,True,True,,False,True,True,,False,,False,True,True,,True,True,False,True,
District of Columbia,590,602.7,613.2,606.2,601.0,,583.0,585.0,658.0,,596.0,605.1,616.6,554.0,,,592.0,630.6,622.0,,619.0,,607.0,598.1,607.0,,591.8,650.3,595.0,599.2,,12.7,23.2,16.2,11.0,,-7.0,-5.0,68.0,,6.0,15.1,26.6,-36.0,,,2.0,40.6,32.0,,29.0,,17.0,8.1,17.0,,1.8,60.3,5.0,9.2,,False,False,True,,True,True,False,,True,False,False,False,,,True,False,False,,False,,False,True,False,,True,False,True,True,
Florida,8109,6213.0,6177.0,7104.1,7708.0,,9045.4,8602.0,7200.6,,6004.0,6667.3,7619.6,5995.6,5424.7,,6062.3,7055.4,5209.0,,5245.0,,5696.0,6886.4,8337.0,,7854.7,9276.3,9693.0,7019.6,6599.0,-1896.0,-1932.0,-1004.9,-401.0,,936.4,493.0,-908.4,,-2105.0,-1441.7,-489.4,-2113.4,-2684.3,,-2046.7,-1053.6,-2900.0,,-2864.0,,-2413.0,-1222.6,228.0,,-254.3,1167.3,1584.0,-1089.4,-1510.0,False,True,True,,True,True,True,,False,True,True,False,False,,False,True,False,,False,,False,True,True,,True,True,True,True,True
