,total_deaths_2020-06-07,predicted_deaths,actual_deaths,predicted_addl_deaths,actual_addl_deaths,error,perc_error
YYG-ParamSearch,113602,162806.6,162498,52292.6,48896,3396.6,6.9%
Baseline,113602,164834.9,162498,54320.9,48896,5424.9,11.1%
IHME-CurveFit,113602,147938.0,162498,37424.0,48896,-11472.0,-23.5%
UCLA-SuEIR,113602,132467.2,162498,21953.2,48896,-26942.8,-55.1%
IowaStateLW-STEM,113602,131910.0,162498,21396.0,48896,-27500.0,-56.2%
USACE-ERDC_SEIR,113602,129784.5,162498,19270.5,48896,-29625.5,-60.6%
Covid19Sim-Simulator,113602,128963.3,162498,18449.3,48896,-30446.7,-62.3%
