,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,USACE-ERDC_SEIR,YYG-ParamSearch,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-YYG-ParamSearch,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-YYG-ParamSearch
Alabama,1755,1409.4,1494.7,2055.7,1008.0,,1359.4,1564.2,1618.1,-345.6,-260.3,300.7,-747.0,,-395.6,-190.8,-136.9,True,True,False,,False,True,True
Alaska,26,27.7,20.2,20.1,,,13.7,28.5,13.5,1.7,-5.8,-5.9,,,-12.3,2.5,-12.5,False,False,,,False,False,False
Arizona,4137,2291.0,4341.3,4141.2,2590.0,,2284.4,4385.4,2748.4,-1846.0,204.3,4.2,-1547.0,,-1852.6,248.4,-1388.6,True,True,True,,False,True,True
Arkansas,535,375.4,457.1,615.9,632.0,,432.6,509.3,448.4,-159.6,-77.9,80.9,97.0,,-102.4,-25.7,-86.6,True,True,True,,True,True,True
California,10307,8768.3,8407.7,8961.3,7151.0,,7292.3,9574.1,10066.5,-1538.7,-1899.3,-1345.7,-3156.0,,-3014.7,-732.9,-240.5,False,True,False,,False,True,True
Colorado,1857,2155.9,1939.6,3019.2,1750.0,,1863.7,1855.5,2310.6,298.9,82.6,1162.2,-107.0,,6.7,-1.5,453.6,True,False,True,,True,True,False
Connecticut,4441,5222.4,4677.4,4391.5,4501.0,,4625.9,4364.5,4909.2,781.4,236.4,-49.5,60.0,,184.9,-76.5,468.2,True,True,True,,True,True,True
Delaware,590,610.6,517.1,520.9,483.0,,509.3,480.6,608.6,20.6,-72.9,-69.1,-107.0,,-80.7,-109.4,18.6,False,False,False,,False,False,True
District of Columbia,590,719.3,644.6,616.7,651.0,,619.4,589.2,663.0,129.3,54.6,26.7,61.0,,29.4,-0.8,73.0,True,True,True,,True,True,True
Florida,8109,4746.0,5365.8,6703.3,5225.0,,4501.8,5376.5,5657.3,-3363.0,-2743.2,-1405.7,-2884.0,,-3607.2,-2732.5,-2451.7,True,True,True,,False,True,True
