,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,UCLA-SuEIR,USACE-ERDC_SEIR,YYG-ParamSearch,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-YYG-ParamSearch,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-YYG-ParamSearch
Alabama,1755,1241.1,1152.8,1071.6,841.0,990.7,1213.3,1673.4,-513.9,-602.2,-683.4,-914.0,-764.3,-541.7,-81.6,False,False,False,False,False,True
Alaska,26,10.0,14.8,10.6,,10.9,11.2,11.2,-16.0,-11.2,-15.4,,-15.1,-14.8,-14.8,True,True,,True,True,True
Arizona,4137,2326.4,1501.7,4692.6,1781.0,2575.8,3353.7,2732.5,-1810.6,-2635.3,555.6,-2356.0,-1561.2,-783.3,-1404.5,False,True,False,True,True,True
Arkansas,535,340.0,374.2,1003.6,310.0,367.0,519.6,428.8,-195.0,-160.8,468.6,-225.0,-168.0,-15.4,-106.2,True,False,False,True,True,True
California,10307,8706.3,7296.5,8930.5,6615.0,7033.5,9006.6,9997.9,-1600.7,-3010.5,-1376.5,-3692.0,-3273.5,-1300.4,-309.1,False,True,False,False,True,True
Colorado,1857,2253.3,1756.8,2083.9,1722.0,2362.7,1714.6,2467.5,396.3,-100.2,226.9,-135.0,505.7,-142.4,610.5,True,True,True,False,True,False
Connecticut,4441,5195.9,4453.3,4314.8,4426.0,4960.7,4084.3,4909.0,754.9,12.3,-126.2,-15.0,519.7,-356.7,468.0,True,True,True,True,True,True
Delaware,590,681.4,448.9,469.3,465.0,503.7,436.6,634.1,91.4,-141.1,-120.7,-125.0,-86.3,-153.4,44.1,False,False,False,True,False,True
District of Columbia,590,692.7,553.7,592.9,648.0,802.3,563.4,653.4,102.7,-36.3,2.9,58.0,212.3,-26.6,63.4,True,True,True,False,True,True
Florida,8109,4905.4,3385.5,4478.3,4050.0,4471.6,3762.8,5764.4,-3203.6,-4723.5,-3630.7,-4059.0,-3637.4,-4346.2,-2344.6,False,False,False,False,False,True
Georgia,4186,3304.9,2766.7,4442.2,2620.0,2860.8,2666.7,3736.9,-881.1,-1419.3,256.2,-1566.0,-1325.2,-1519.3,-449.1,False,True,False,False,False,True
Hawaii,31,17.0,17.7,19.6,,18.4,17.7,19.8,-14.0,-13.3,-11.4,,-12.6,-13.3,-11.2,True,True,,True,True,True
Idaho,235,91.9,119.6,155.0,84.0,92.2,84.9,97.7,-143.1,-115.4,-80.0,-151.0,-142.8,-150.1,-137.3,True,True,False,True,False,True
Illinois,7840,10456.6,6967.9,7423.1,7708.0,8689.1,6662.6,9354.0,2616.6,-872.1,-416.9,-132.0,849.1,-1177.4,1514.0,True,True,True,True,True,True
Indiana,3036,3799.9,2649.3,2982.1,2428.0,3077.7,2820.2,4170.4,763.9,-386.7,-53.9,-608.0,41.7,-215.8,1134.4,True,True,True,True,True,False
Iowa,927,1225.0,816.5,1552.0,755.0,889.6,670.5,1343.2,298.0,-110.5,625.0,-172.0,-37.4,-256.5,416.2,True,False,True,True,True,False
Kansas,380,392.4,298.2,497.7,329.0,298.7,231.4,355.2,12.4,-81.8,117.7,-51.0,-81.3,-148.6,-24.8,False,False,False,False,False,False
Kentucky,772,815.4,573.8,935.3,559.0,898.5,765.0,953.4,43.4,-198.2,163.3,-213.0,126.5,-7.0,181.4,False,False,False,False,True,False
Louisiana,4207,4220.3,3245.6,3224.1,3260.0,3307.5,2906.0,4020.0,13.3,-961.4,-982.9,-947.0,-899.5,-1301.0,-187.0,False,False,False,False,False,False
Maine,125,187.6,134.2,310.6,123.0,111.2,172.9,142.3,62.6,9.2,185.6,-2.0,-13.8,47.9,17.3,True,False,True,True,True,True
Maryland,3577,4671.0,3626.3,3639.3,3718.0,4152.7,3642.2,5242.6,1094.0,49.3,62.3,141.0,575.7,65.2,1665.6,True,True,True,True,True,False
Massachusetts,8721,11478.9,8238.3,8096.2,8806.0,8963.4,7363.1,8995.9,2757.9,-482.7,-624.8,85.0,242.4,-1357.9,274.9,True,True,True,True,True,True
Michigan,6520,9473.3,6017.5,6499.0,7258.0,6739.1,5748.0,6849.3,2985.3,-470.5,11.0,770.0,251.1,-740.0,361.3,True,True,True,True,True,True
Minnesota,1689,2499.0,1640.7,2253.3,2074.0,1828.3,1416.0,3197.2,810.0,-48.3,564.3,385.0,139.3,-273.0,1508.2,True,True,True,True,True,False
