,mean_rank
COVIDhub-ensemble,9.7
CMU-TimeSeries,10.1
YYG-ParamSearch,10.8
OliverWyman-Navigator,11.7
UA-EpiCovDA,11.9
USC-SI_kJalpha,12.0
UMass-MechBayes,12.2
JCB-PRM,12.3
COVIDhub-baseline,12.9
LNQ-ens1,13.0
DDS-NBDS,13.2
CovidAnalytics-DELPHI,13.6
Karlen-pypm,13.6
UCLA-SuEIR,14.0
MOBS-GLEAM_COVID,14.1
GT-DeepCOVID,15.1
LANL-GrowthRate,15.1
Covid19Sim-Simulator,15.5
UT-Mobility,16.0
IowaStateLW-STEM,16.0
CU-select,16.8
USACE-ERDC_SEIR,17.2
JHU_IDD-CovidSP,17.7
NotreDame-mobility,17.9
PSI-DRAFT,18.0
IHME-CurveFit,18.2
MITCovAlliance-SIR,18.2
RobertWalraven-ESG,19.2
