,actual_deaths,Baseline,Covid19Sim-Simulator,IowaStateLW-STEM,UCLA-SuEIR,USACE-ERDC_SEIR,error-Baseline,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR
Alabama,1755,1235.0,994.1,676.0,1063.6,1012.7,-520.0,-760.9,-1079.0,-691.4,-742.3,False,False,False,False
Alaska,26,10.0,11.3,,11.4,11.8,-16.0,-14.7,,-14.6,-14.2,True,,True,True
Arizona,4137,2114.7,1869.6,1506.0,1954.3,1744.2,-2022.3,-2267.4,-2631.0,-2182.7,-2392.8,False,False,False,False
Arkansas,535,311.4,262.3,764.0,312.7,277.2,-223.6,-272.7,229.0,-222.3,-257.8,False,False,True,False
California,10307,9334.6,6083.9,6650.0,6722.7,7746.7,-973.4,-4224.1,-3658.0,-3585.3,-2561.3,False,False,False,False
Colorado,1857,2602.3,1758.0,1990.0,2432.5,1873.8,745.3,-99.0,133.0,575.5,16.8,True,True,True,True
Connecticut,4441,6787.3,4654.6,4198.0,5034.3,4041.1,2346.3,213.6,-243.0,593.3,-399.9,True,True,True,True
Delaware,590,716.9,465.8,435.0,482.4,408.6,126.9,-124.2,-155.0,-107.6,-181.4,True,False,True,False
District of Columbia,590,964.0,562.9,677.0,913.3,569.0,374.0,-27.1,87.0,323.3,-21.0,True,True,True,True
Florida,8109,5103.3,2977.0,2991.0,4116.9,2799.3,-3005.7,-5132.0,-5118.0,-3992.1,-5309.7,False,False,False,False
Georgia,4186,4183.0,2499.9,2452.0,2441.0,2139.1,-3.0,-1686.1,-1734.0,-1745.0,-2046.9,False,False,False,False
Hawaii,31,17.0,18.1,,19.3,19.0,-14.0,-12.9,,-11.7,-12.0,True,,True,True
Idaho,235,144.1,111.3,88.0,98.1,91.5,-90.9,-123.7,-147.0,-136.9,-143.5,False,False,False,False
Illinois,7840,12228.0,7557.0,7795.0,8984.2,7033.9,4388.0,-283.0,-45.0,1144.2,-806.1,True,True,True,True
Indiana,3036,4418.9,2620.5,2802.0,2686.2,2754.7,1382.9,-415.5,-234.0,-349.8,-281.3,True,True,True,True
Iowa,927,1596.0,674.2,719.0,857.2,543.1,669.0,-252.8,-208.0,-69.8,-383.9,True,True,True,True
Kansas,380,313.6,326.4,382.0,351.4,224.0,-66.4,-53.6,2.0,-28.6,-156.0,True,True,True,False
Kentucky,772,1009.9,523.9,480.0,692.2,799.7,237.9,-248.1,-292.0,-79.8,27.7,False,False,True,True
Louisiana,4207,4862.4,3232.7,4030.0,3241.0,2911.8,655.4,-974.3,-177.0,-966.0,-1295.2,False,True,False,False
